rt,stimulus,response,subjectID,databaseID,exp_name,exp_stage,trial_type,trial_index,time_elapsed,internal_node_id,rest_warning,choice_idxs,q_name,prolificID,start_time,date
21479.0,How <b>happy</b> are you right now?,0.5399305106987686,HVtgqhIwqSZNq9sUTunXDYHUQ7G2,HVtgqhIwqSZNq9sUTunXDYHUQ7G2,delaylearn,survey,lmdlab-html-vas-response,45,906799,0.0-45.0-0.0,,,,62d6dcf502178276f7fba480,07:38:03,04/04/2024
8614.600000023842,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Next, there are a few questions about the task.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,HVtgqhIwqSZNq9sUTunXDYHUQ7G2,HVtgqhIwqSZNq9sUTunXDYHUQ7G2,delaylearn,survey,html-keyboard-response,46,915415,0.0-45.0-1.0,,,,62d6dcf502178276f7fba480,07:38:03,04/04/2024
13372.399999976158,"<p style='font-size: 4rem; line-height: 1.3'>The following questions are very important for our scientific<br>research, but they will not affect your compensation in any way.<br><br>We would appreciate it if you respond honestly!<br><br><br><br></p>",,HVtgqhIwqSZNq9sUTunXDYHUQ7G2,HVtgqhIwqSZNq9sUTunXDYHUQ7G2,delaylearn,survey,lmdlab-rest-trial-limit,47,929301,0.0-45.0-2.0,0.0,,,62d6dcf502178276f7fba480,07:38:03,04/04/2024
47893.0,,"{""Q0"":""Average""}",HVtgqhIwqSZNq9sUTunXDYHUQ7G2,HVtgqhIwqSZNq9sUTunXDYHUQ7G2,delaylearn,survey,lmdlab-evan-quiz,48,978467,0.0-45.0-3.0,,[2],memory,62d6dcf502178276f7fba480,07:38:03,04/04/2024
23533.0,"<p style=""line-height: 1.3;"">How engaged and focused were you during this task?</p>",0.9961660115012532,HVtgqhIwqSZNq9sUTunXDYHUQ7G2,HVtgqhIwqSZNq9sUTunXDYHUQ7G2,delaylearn,survey,lmdlab-html-vas-response,49,1003023,0.0-45.0-4.0,,,engagement1,62d6dcf502178276f7fba480,07:38:03,04/04/2024
22690.0,,"{""Q0"":""Yes""}",HVtgqhIwqSZNq9sUTunXDYHUQ7G2,HVtgqhIwqSZNq9sUTunXDYHUQ7G2,delaylearn,survey,lmdlab-evan-quiz,50,1026983,0.0-45.0-5.0,,[0],engagement2,62d6dcf502178276f7fba480,07:38:03,04/04/2024
79425.20000004768,,{'Q0': 'I did not experience any instances of inattention or distraction during the experiment.'},HVtgqhIwqSZNq9sUTunXDYHUQ7G2,HVtgqhIwqSZNq9sUTunXDYHUQ7G2,delaylearn,survey,lmdlab-survey-text,51,1107168,0.0-45.0-6.0,,,engagement3,62d6dcf502178276f7fba480,07:38:03,04/04/2024
27026.0,,"{""Q0"":""Same room + Same computer""}",HVtgqhIwqSZNq9sUTunXDYHUQ7G2,HVtgqhIwqSZNq9sUTunXDYHUQ7G2,delaylearn,survey,lmdlab-evan-quiz,52,1135467,0.0-45.0-7.0,,[0],environment1,62d6dcf502178276f7fba480,07:38:03,04/04/2024
127297.30000007153,,"{'Q0': ""I found the task enjoyable to do and interesting to see which images I remembered being more lucky. I found nothing unclear and the task doesn't need improving.""}",HVtgqhIwqSZNq9sUTunXDYHUQ7G2,HVtgqhIwqSZNq9sUTunXDYHUQ7G2,delaylearn,survey,lmdlab-survey-text,53,1263518,0.0-45.0-8.0,,,comment1,62d6dcf502178276f7fba480,07:38:03,04/04/2024
8040.299999952316,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Finally, there are a four short questions about stress, sleep, and the overall experiment.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,HVtgqhIwqSZNq9sUTunXDYHUQ7G2,HVtgqhIwqSZNq9sUTunXDYHUQ7G2,delaylearn,survey,html-keyboard-response,209,2259878,0.0-47.0-0.0,,,,62d6dcf502178276f7fba480,07:38:03,04/04/2024
12646.0,"<p style='font-size: 3.4rem; line-height: 1.4'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>",0.10918206151593653,HVtgqhIwqSZNq9sUTunXDYHUQ7G2,HVtgqhIwqSZNq9sUTunXDYHUQ7G2,delaylearn,survey,lmdlab-html-vas-response,210,2274054,0.0-47.0-1.0,,,state_stress,62d6dcf502178276f7fba480,07:38:03,04/04/2024
9709.0,,"{""Q0"":""Average""}",HVtgqhIwqSZNq9sUTunXDYHUQ7G2,HVtgqhIwqSZNq9sUTunXDYHUQ7G2,delaylearn,survey,lmdlab-evan-quiz,211,2285038,0.0-47.0-2.0,,[2],sleep1,62d6dcf502178276f7fba480,07:38:03,04/04/2024
8708.0,,"{""Q0"":""Average""}",HVtgqhIwqSZNq9sUTunXDYHUQ7G2,HVtgqhIwqSZNq9sUTunXDYHUQ7G2,delaylearn,survey,lmdlab-evan-quiz,212,2294506,0.0-47.0-3.0,,[2],sleep2,62d6dcf502178276f7fba480,07:38:03,04/04/2024
19256.0,,"{""Q0"":""Good""}",HVtgqhIwqSZNq9sUTunXDYHUQ7G2,HVtgqhIwqSZNq9sUTunXDYHUQ7G2,delaylearn,survey,lmdlab-evan-quiz,213,2314521,0.0-47.0-4.0,,[1],sleep3,62d6dcf502178276f7fba480,07:38:03,04/04/2024
