exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,rest_warning,span,answer,correct,correct_full,span_history,q_name,choice_idxs,prolificID,start_time,date
all,fullscreen,jx7bl8HKAiWJBMR6xPXQ6l4Mwpk1,jx7bl8HKAiWJBMR6xPXQ6l4Mwpk1,lmdlab-fullscreen,0,5832,0.0-0.0,,,,,,,,,,,,,,,63f77df437de29d7fd62b0c8,11:21:13,15/01/2024
delaylearn,instructions,jx7bl8HKAiWJBMR6xPXQ6l4Mwpk1,jx7bl8HKAiWJBMR6xPXQ6l4Mwpk1,lmdlab-rest-trial,1,17584,0.0-1.0,11246.200000000186,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,63f77df437de29d7fd62b0c8,11:21:13,15/01/2024
delaylearn,survey,jx7bl8HKAiWJBMR6xPXQ6l4Mwpk1,jx7bl8HKAiWJBMR6xPXQ6l4Mwpk1,lmdlab-html-vas-response,2,21797,0.0-2.0,2696.0,How <b>happy</b> are you right now?,0.7083333333333334,,,,,,,,,,,,63f77df437de29d7fd62b0c8,11:21:13,15/01/2024
delaylearn,instructions,jx7bl8HKAiWJBMR6xPXQ6l4Mwpk1,jx7bl8HKAiWJBMR6xPXQ6l4Mwpk1,lmdlab-rest-trial,3,26797,0.0-3.0,4489.0,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,63f77df437de29d7fd62b0c8,11:21:13,15/01/2024
survey,introduction,jx7bl8HKAiWJBMR6xPXQ6l4Mwpk1,,html-button-response,4,32449,0.0-4.0-0.0-0.0,5649.399999999907,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,,,,,,,,,,,,63f77df437de29d7fd62b0c8,11:21:13,15/01/2024
survey,SDS,jx7bl8HKAiWJBMR6xPXQ6l4Mwpk1,,html-button-response,5,36167,0.0-4.0-1.0-0.0-0.0,3718.1999999997206,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Please read each statement and decide <b>how much</b> of the
time the statement describes how you have been feeling
during the <b>past several days</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,63f77df437de29d7fd62b0c8,11:21:13,15/01/2024
survey,SDS,jx7bl8HKAiWJBMR6xPXQ6l4Mwpk1,,lmdlab-survey-likert,6,69423,0.0-4.0-1.0-0.0-1.0,,,,"{""SDS2"":1,""SDS3"":0,""SDS5"":3,""SDS6"":1,""SDS7"":0,""SDS8"":0,""Catch"":0,""SDS9"":0,""SDS10"":1,""SDS11"":2,""SDS12"":2,""SDS14"":1,""SDS16"":2,""SDS17"":1,""SDS18"":1,""SDS20"":2}","{""trialStart"":62021.90000000037,""SDS2"":2789.5999999996275,""SDS3"":4381.399999999907,""SDS5"":6877.5,""SDS6"":8261.599999999627,""SDS7"":9549.399999999907,""SDS8"":11557.5,""Catch"":16349.299999999814,""SDS9"":17517.899999999907,""SDS10"":18981.5,""SDS11"":20925.399999999907,""SDS12"":23077.399999999907,""SDS14"":24845.399999999907,""SDS16"":26469.399999999907,""SDS17"":27821.5,""SDS18"":30533.399999999907,""SDS20"":31317.399999999907}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,,,,,,63f77df437de29d7fd62b0c8,11:21:13,15/01/2024
survey,GAD7,jx7bl8HKAiWJBMR6xPXQ6l4Mwpk1,,html-button-response,7,72319,0.0-4.0-1.0-1.0-0.0,2893.7000000001863,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Over the <u>last two weeks</u>, how often have you been bothered by the following problems?</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,63f77df437de29d7fd62b0c8,11:21:13,15/01/2024
survey,GAD7,jx7bl8HKAiWJBMR6xPXQ6l4Mwpk1,,lmdlab-survey-likert,8,88796,0.0-4.0-1.0-1.0-1.0,,,,"{""GAD1"":2,""GAD2"":1,""GAD3"":1,""GAD4"":1,""GAD5"":0,""GAD6"":1,""GAD7"":1}","{""trialStart"":98172.70000000019,""GAD1"":2895,""GAD2"":5598.5999999996275,""GAD3"":7519.0999999996275,""GAD4"":8822.700000000186,""GAD5"":12134.599999999627,""GAD6"":13166.700000000186,""GAD7"":14878.700000000186}","[0,1,2,3,4,5,6]",,,,,,,,,63f77df437de29d7fd62b0c8,11:21:13,15/01/2024
survey,AES,jx7bl8HKAiWJBMR6xPXQ6l4Mwpk1,,html-button-response,9,90560,0.0-4.0-1.0-2.0-0.0,1761.2999999998137,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> For each question, choose the answer that best describes your
thoughts, feelings, and actions during the <b>past 4 weeks</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,63f77df437de29d7fd62b0c8,11:21:13,15/01/2024
survey,AES,jx7bl8HKAiWJBMR6xPXQ6l4Mwpk1,,lmdlab-survey-likert,10,133738,0.0-4.0-1.0-2.0-1.0,,,,"{""AES1"":1,""AES2"":2,""AES3"":3,""AES4"":2,""AES5"":3,""AES6"":0,""AES7"":2,""AES8"":3,""Catch"":0,""AES9"":1,""AES10"":0,""AES11"":0,""AES12"":3,""AES13"":2,""AES14"":3,""AES15"":2,""AES16"":3,""AES17"":1,""AES18"":1,""FSS9"":1}","{""trialStart"":116413.5,""AES1"":1565.9000000003725,""AES2"":4949.799999999814,""AES3"":7518,""AES4"":9574,""AES5"":10918,""AES6"":12238.400000000373,""AES7"":16710.10000000056,""AES8"":18550.10000000056,""Catch"":20286,""AES9"":22822,""AES10"":24814.400000000373,""AES11"":26302.400000000373,""AES12"":27645.799999999814,""AES13"":29182.299999999814,""AES14"":30429.799999999814,""AES15"":32805.90000000037,""AES16"":34814.200000000186,""AES17"":35830.40000000037,""AES18"":37582.299999999814,""FSS9"":41374.40000000037}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]",,,,,,,,,63f77df437de29d7fd62b0c8,11:21:13,15/01/2024
survey,PHQ9,jx7bl8HKAiWJBMR6xPXQ6l4Mwpk1,,html-button-response,11,135542,0.0-4.0-1.0-3.0-0.0,1800.8999999994412,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Over the <u>last two weeks</u>, how often have you been bothered by any of the following problems?</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,63f77df437de29d7fd62b0c8,11:21:13,15/01/2024
survey,PHQ9,jx7bl8HKAiWJBMR6xPXQ6l4Mwpk1,,lmdlab-survey-likert,12,161391,0.0-4.0-1.0-3.0-1.0,,,,"{""PHQ1"":1,""PHQ2"":1,""PHQ3"":1,""PHQ4"":1,""Catch"":0,""PHQ5"":0,""PHQ6"":2,""PHQ7"":0,""PHQ8"":0,""PHQ9"":0}","{""trialStart"":161396.7999999998,""PHQ1"":4014.800000000745,""PHQ2"":5647,""PHQ3"":7799,""PHQ4"":10151.100000000559,""Catch"":11807.100000000559,""PHQ5"":13327,""PHQ6"":15814.700000000186,""PHQ7"":18399,""PHQ8"":20535.10000000056,""PHQ9"":23951}","[0,1,2,3,4,5,6,7,8,9]",,,,,,,,,63f77df437de29d7fd62b0c8,11:21:13,15/01/2024
survey,STICSA,jx7bl8HKAiWJBMR6xPXQ6l4Mwpk1,,html-button-response,13,165892,0.0-4.0-1.0-4.0-0.0,4498.5999999996275,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> You will see a list of statements which can be used to describe how people feel.
Below each statement are four options which indicate how often each statement
is true of you. Please read each statement carefully and select the option which best indicates
how often, <b>in general</b>, the statement is true of you.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,63f77df437de29d7fd62b0c8,11:21:13,15/01/2024
survey,STICSA,jx7bl8HKAiWJBMR6xPXQ6l4Mwpk1,,lmdlab-survey-likert,14,185512,0.0-4.0-1.0-4.0-1.0,,,,"{""STICSA2"":1,""STICSA6"":0,""STICSA7"":0,""STICSA8"":0,""STICSA12"":1,""STICSA14"":0,""Catch"":3,""STICSA15"":2,""STICSA18"":1,""STICSA20"":0,""STICSA21"":1}","{""trialStart"":191749.7000000002,""STICSA2"":2933.7999999998137,""STICSA6"":3894.0999999996275,""STICSA7"":4589.700000000186,""STICSA8"":6510.200000000186,""STICSA12"":8398.200000000186,""STICSA14"":9694.299999999814,""Catch"":10670.200000000186,""STICSA15"":13094.299999999814,""STICSA18"":14461.799999999814,""STICSA20"":16494.200000000186,""STICSA21"":17998.200000000186}","[0,1,2,3,4,5,6,7,8,9,10]",,,,,,,,,63f77df437de29d7fd62b0c8,11:21:13,15/01/2024
survey,resources,jx7bl8HKAiWJBMR6xPXQ6l4Mwpk1,,html-button-response,15,189260,0.0-4.0-2.0-0.0,3745.5,"<p style=""font-size: 3.5rem; line-height: 1.5"">If you feel affected by the issues raised by these questions and<br>wish to access any further support with regards to your mental<br>health you can find more information on this website:<br><br><b>https://www.nhs.uk/nhs-services/mental-health-services/where-to-get-urgent-help-for-mental-health/</b><br><br><br>Should you wish to talk, any time of day or night, you can call<br>116 123 to talk to the Samaritans you can also text ""SHOUT""<br>to 85258 to contact the Shout Crisis Text Line.<br><br><br><br></p>",0,,,,,,,,,,,,63f77df437de29d7fd62b0c8,11:21:13,15/01/2024
survey,finish,jx7bl8HKAiWJBMR6xPXQ6l4Mwpk1,,html-button-response,16,190532,0.0-4.0-3.0,1271.0,"<p style=""font-size: 3rem"">Thank you!  You have finished this part of the experiment!<br><br><br>",0,,,,,,,,,,,,63f77df437de29d7fd62b0c8,11:21:13,15/01/2024
delaylearn,survey,jx7bl8HKAiWJBMR6xPXQ6l4Mwpk1,jx7bl8HKAiWJBMR6xPXQ6l4Mwpk1,lmdlab-html-vas-response,17,194142,0.0-5.0,2089.0,How <b>happy</b> are you right now?,0.8055555555555556,,,,,,,,,,,,63f77df437de29d7fd62b0c8,11:21:13,15/01/2024
delaylearn,rest,jx7bl8HKAiWJBMR6xPXQ6l4Mwpk1,jx7bl8HKAiWJBMR6xPXQ6l4Mwpk1,lmdlab-rest-trial-limit,18,219639,0.0-6.0,24996.099999999627,"<p style='font-size: 4.4rem; color: white;'>Great work on that part! Please take a break.<br><br><br><br><i>(For example, stand up, stretch, get some water)</i><br><br><br><br><br>When you are ready, press the button<br><br>to start the next section.</p><br><br><br><br>",0,,,,0.0,,,,,,,,63f77df437de29d7fd62b0c8,11:21:13,15/01/2024
fwdspan,instruct,jx7bl8HKAiWJBMR6xPXQ6l4Mwpk1,,html-button-response,19,222450,0.0-7.0-0.0,2809.9000000003725,"<p style=""font-size:4rem""><br><br>In the next part today, we have a completely different short task.<br><br><br>This part involves keeping numbers in you mind. Participation takes around 5 minutes.<br><br><br></p>",0,,,,,,,,,,,,63f77df437de29d7fd62b0c8,11:21:13,15/01/2024
