exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,rest_warning,span,answer,correct,correct_full,span_history,q_name,choice_idxs,prolificID,start_time,date
all,fullscreen,ca9Ybt6NjFPkmz6yshl8t22qfzv1,ca9Ybt6NjFPkmz6yshl8t22qfzv1,lmdlab-fullscreen,0,3612,0.0-0.0,,,,,,,,,,,,,,,5f5f66b2c050a00169ba939c,11:22:24,15/01/2024
delaylearn,instructions,ca9Ybt6NjFPkmz6yshl8t22qfzv1,ca9Ybt6NjFPkmz6yshl8t22qfzv1,lmdlab-rest-trial,1,23253,0.0-1.0,19138.79999999702,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,5f5f66b2c050a00169ba939c,11:22:24,15/01/2024
delaylearn,survey,ca9Ybt6NjFPkmz6yshl8t22qfzv1,ca9Ybt6NjFPkmz6yshl8t22qfzv1,lmdlab-html-vas-response,2,29149,0.0-2.0,4363.0,How <b>happy</b> are you right now?,0.21643513967089525,,,,,,,,,,,,5f5f66b2c050a00169ba939c,11:22:24,15/01/2024
delaylearn,instructions,ca9Ybt6NjFPkmz6yshl8t22qfzv1,ca9Ybt6NjFPkmz6yshl8t22qfzv1,lmdlab-rest-trial,3,34865,0.0-3.0,5206.699999988079,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,5f5f66b2c050a00169ba939c,11:22:24,15/01/2024
survey,introduction,ca9Ybt6NjFPkmz6yshl8t22qfzv1,,html-button-response,4,41206,0.0-4.0-0.0-0.0,6338.20000000298,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,,,,,,,,,,,,5f5f66b2c050a00169ba939c,11:22:24,15/01/2024
survey,STAI,ca9Ybt6NjFPkmz6yshl8t22qfzv1,,html-button-response,5,52673,0.0-4.0-1.0-0.0-0.0,11464.60000000894,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> A number of statements which people have used to describe themselves are
given below. Read each statement and then rate according to the labels to
indicate <b>how you generally feel</b>.<br>
There are no right or wrong answers. Do not spend too much time on any one
statement but give the answer which seems to describe how you generally feel.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5f5f66b2c050a00169ba939c,11:22:24,15/01/2024
survey,STAI,ca9Ybt6NjFPkmz6yshl8t22qfzv1,,lmdlab-survey-likert,6,112800,0.0-4.0-1.0-0.0-1.0,,,,"{""STAI1"":1,""STAI3"":1,""STAI4"":2,""STAI6"":1,""STAI7"":0,""STAI8"":1,""STAI9"":2,""STAI10"":1,""STAI11"":1,""STAI12"":2,""STAI13"":0,""STAI14"":1,""Catch"":0,""STAI15"":1,""STAI16"":2,""STAI17"":3,""STAI18"":2,""STAI19"":1,""STAI20"":2,""BDI5"":1,""LOTR1"":0,""RRQ3"":3}","{""trialStart"":87566.90000000596,""STAI1"":4295.5999999940395,""STAI3"":5543.199999988079,""STAI4"":7406.899999991059,""STAI6"":8703,""STAI7"":11628,""STAI8"":13868.699999988079,""STAI9"":15931.09999999404,""STAI10"":17107.19999998808,""STAI11"":19211.79999999702,""STAI12"":20451.89999999106,""STAI13"":22796.59999999404,""STAI14"":24835.29999999702,""Catch"":26643.69999998808,""STAI15"":32940.09999999404,""STAI16"":34635.59999999404,""STAI17"":37915.89999999106,""STAI18"":41528.29999999702,""STAI19"":43100.09999999404,""STAI20"":45660.59999999404,""BDI5"":51524.39999999106,""LOTR1"":55852.89999999106,""RRQ3"":57877}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,,,,,,,,5f5f66b2c050a00169ba939c,11:22:24,15/01/2024
survey,SDS,ca9Ybt6NjFPkmz6yshl8t22qfzv1,,html-button-response,7,116604,0.0-4.0-1.0-1.0-0.0,3801.9000000059605,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Please read each statement and decide <b>how much</b> of the
time the statement describes how you have been feeling
during the <b>past several days</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5f5f66b2c050a00169ba939c,11:22:24,15/01/2024
survey,SDS,ca9Ybt6NjFPkmz6yshl8t22qfzv1,,lmdlab-survey-likert,8,160682,0.0-4.0-1.0-1.0-1.0,,,,"{""SDS2"":1,""SDS3"":2,""SDS5"":2,""SDS6"":0,""SDS7"":0,""SDS8"":0,""Catch"":0,""SDS9"":3,""SDS10"":2,""SDS11"":1,""SDS12"":1,""SDS14"":1,""SDS16"":1,""SDS17"":0,""SDS18"":1,""SDS20"":1}","{""trialStart"":151495.29999999702,""SDS2"":2508.4000000059605,""SDS3"":5292.70000000298,""SDS5"":8684.70000000298,""SDS6"":10877.40000000596,""SDS7"":14061.5,""SDS8"":17205.29999999702,""Catch"":20869.20000000298,""SDS9"":22917.40000000596,""SDS10"":24517,""SDS11"":26236.79999999702,""SDS12"":29125.70000000298,""SDS14"":33421.79999999702,""SDS16"":35541.90000000596,""SDS17"":36961.90000000596,""SDS18"":38869.79999999702,""SDS20"":40406.70000000298}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,,,,,,5f5f66b2c050a00169ba939c,11:22:24,15/01/2024
survey,PVSS,ca9Ybt6NjFPkmz6yshl8t22qfzv1,,html-button-response,9,180010,0.0-4.0-1.0-2.0-0.0,19324.30000001192,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Please indicate to what extent these statements describe your responses <b>over the last two 
weeks, including today</b>.<br>
Did you <b>not</b> have this experience? No problem. Please indicate how you <u>would have responded</u>
if you had experienced the situation over the last two weeks.</b><br>
Please consider only the aspect of the situation that is described, paying particular attention to
the <u>underlined text</u>. For example, if the statement says, ""<u>I wanted</u> to meet new people,"" rate
how much you wanted or would have wanted to meet new people over the last two weeks,
assuming that the opportunity presented itself. Do not consider what the situation would have
required of you or whether it would have been possible for you to meet people.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5f5f66b2c050a00169ba939c,11:22:24,15/01/2024
