exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,rest_warning,span,answer,correct,correct_full,span_history,q_name,choice_idxs,prolificID,start_time,date
all,fullscreen,GxfubOWloJeHxXBPpHpGnMTKMtJ2,GxfubOWloJeHxXBPpHpGnMTKMtJ2,lmdlab-fullscreen,0,2555,0.0-0.0,,,,,,,,,,,,,,,571a720a6a1c6300134b8d2c,11:23:29,15/01/2024
delaylearn,instructions,GxfubOWloJeHxXBPpHpGnMTKMtJ2,GxfubOWloJeHxXBPpHpGnMTKMtJ2,lmdlab-rest-trial,1,12591,0.0-1.0,9531.5,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,571a720a6a1c6300134b8d2c,11:23:29,15/01/2024
delaylearn,survey,GxfubOWloJeHxXBPpHpGnMTKMtJ2,GxfubOWloJeHxXBPpHpGnMTKMtJ2,lmdlab-html-vas-response,2,18408,0.0-2.0,4279.0,How <b>happy</b> are you right now?,0.9847222222222223,,,,,,,,,,,,571a720a6a1c6300134b8d2c,11:23:29,15/01/2024
delaylearn,instructions,GxfubOWloJeHxXBPpHpGnMTKMtJ2,GxfubOWloJeHxXBPpHpGnMTKMtJ2,lmdlab-rest-trial,3,22479,0.0-3.0,3568.0,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,571a720a6a1c6300134b8d2c,11:23:29,15/01/2024
survey,introduction,GxfubOWloJeHxXBPpHpGnMTKMtJ2,,html-button-response,4,26905,0.0-4.0-0.0-0.0,4424.9000000003725,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,,,,,,,,,,,,571a720a6a1c6300134b8d2c,11:23:29,15/01/2024
survey,PHQ9,GxfubOWloJeHxXBPpHpGnMTKMtJ2,,html-button-response,5,29953,0.0-4.0-1.0-0.0-0.0,3045.699999999255,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Over the <u>last two weeks</u>, how often have you been bothered by any of the following problems?</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,571a720a6a1c6300134b8d2c,11:23:29,15/01/2024
survey,PHQ9,GxfubOWloJeHxXBPpHpGnMTKMtJ2,,lmdlab-survey-likert,6,53872,0.0-4.0-1.0-0.0-1.0,,,,"{""PHQ1"":0,""PHQ2"":0,""PHQ3"":1,""PHQ4"":1,""Catch"":0,""PHQ5"":1,""PHQ6"":0,""PHQ7"":0,""PHQ8"":0,""PHQ9"":0}","{""trialStart"":103807,""PHQ1"":2228.300000000745,""PHQ2"":4257.600000000559,""PHQ3"":6101.100000000559,""PHQ4"":8568.400000000373,""Catch"":10961.400000000373,""PHQ5"":13140.900000000373,""PHQ6"":14995.300000000745,""PHQ7"":16686.200000000186,""PHQ8"":20432.200000000186,""PHQ9"":21758.10000000056}","[0,1,2,3,4,5,6,7,8,9]",,,,,,,,,571a720a6a1c6300134b8d2c,11:23:29,15/01/2024
survey,STAI,GxfubOWloJeHxXBPpHpGnMTKMtJ2,,html-button-response,7,58715,0.0-4.0-1.0-1.0-0.0,4840.5,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> A number of statements which people have used to describe themselves are
given below. Read each statement and then rate according to the labels to
indicate <b>how you generally feel</b>.<br>
There are no right or wrong answers. Do not spend too much time on any one
statement but give the answer which seems to describe how you generally feel.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,571a720a6a1c6300134b8d2c,11:23:29,15/01/2024
survey,STAI,GxfubOWloJeHxXBPpHpGnMTKMtJ2,,lmdlab-survey-likert,8,102794,0.0-4.0-1.0-1.0-1.0,,,,"{""STAI1"":3,""STAI3"":3,""STAI4"":0,""STAI6"":2,""STAI7"":3,""STAI8"":0,""STAI9"":2,""STAI10"":3,""STAI11"":1,""STAI12"":1,""STAI13"":3,""STAI14"":3,""Catch"":0,""STAI15"":1,""STAI16"":2,""STAI17"":2,""STAI18"":1,""STAI19"":3,""STAI20"":1,""BDI5"":3,""LOTR1"":1,""RRQ3"":2}","{""trialStart"":132571.10000000056,""STAI1"":2996.0999999996275,""STAI3"":3926,""STAI4"":5709.5,""STAI6"":8195.200000000186,""STAI7"":9796.899999999441,""STAI8"":11519.5,""STAI9"":13235.399999999441,""STAI10"":14525.299999999814,""STAI11"":16498.799999999814,""STAI12"":17659.299999999814,""STAI13"":19625.599999999627,""STAI14"":21309.599999999627,""Catch"":22677.099999999627,""STAI15"":24915.700000000186,""STAI16"":26531.299999999814,""STAI17"":28493.799999999814,""STAI18"":30494.299999999814,""STAI19"":32338.599999999627,""STAI20"":35618.5,""BDI5"":37970.39999999944,""LOTR1"":40229.299999999814,""RRQ3"":42070.59999999963}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,,,,,,,,571a720a6a1c6300134b8d2c,11:23:29,15/01/2024
survey,PVSS,GxfubOWloJeHxXBPpHpGnMTKMtJ2,,html-button-response,9,111686,0.0-4.0-1.0-2.0-0.0,8889.400000000373,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Please indicate to what extent these statements describe your responses <b>over the last two 
weeks, including today</b>.<br>
Did you <b>not</b> have this experience? No problem. Please indicate how you <u>would have responded</u>
if you had experienced the situation over the last two weeks.</b><br>
Please consider only the aspect of the situation that is described, paying particular attention to
the <u>underlined text</u>. For example, if the statement says, ""<u>I wanted</u> to meet new people,"" rate
how much you wanted or would have wanted to meet new people over the last two weeks,
assuming that the opportunity presented itself. Do not consider what the situation would have
required of you or whether it would have been possible for you to meet people.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,571a720a6a1c6300134b8d2c,11:23:29,15/01/2024
