exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,rest_warning,span,answer,correct,correct_full,span_history,q_name,choice_idxs,prolificID,start_time,date
all,fullscreen,mc62QXQv4nPg1mHWpi3nu917h2h1,mc62QXQv4nPg1mHWpi3nu917h2h1,lmdlab-fullscreen,0,2964,0.0-0.0,,,,,,,,,,,,,,,61673b692a55fba0f6b8abf1,11:24:28,15/01/2024
delaylearn,instructions,mc62QXQv4nPg1mHWpi3nu917h2h1,mc62QXQv4nPg1mHWpi3nu917h2h1,lmdlab-rest-trial,1,17655,0.0-1.0,14180.199999999255,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,61673b692a55fba0f6b8abf1,11:24:28,15/01/2024
delaylearn,survey,mc62QXQv4nPg1mHWpi3nu917h2h1,mc62QXQv4nPg1mHWpi3nu917h2h1,lmdlab-html-vas-response,2,22334,0.0-2.0,3149.0,How <b>happy</b> are you right now?,0.6643518518518519,,,,,,,,,,,,61673b692a55fba0f6b8abf1,11:24:28,15/01/2024
delaylearn,instructions,mc62QXQv4nPg1mHWpi3nu917h2h1,mc62QXQv4nPg1mHWpi3nu917h2h1,lmdlab-rest-trial,3,29347,0.0-3.0,6497.400000002235,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,61673b692a55fba0f6b8abf1,11:24:28,15/01/2024
survey,introduction,mc62QXQv4nPg1mHWpi3nu917h2h1,,html-button-response,4,60522,0.0-4.0-0.0-0.0,31172.39999999851,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,,,,,,,,,,,,61673b692a55fba0f6b8abf1,11:24:28,15/01/2024
survey,AES,mc62QXQv4nPg1mHWpi3nu917h2h1,,html-button-response,5,65224,0.0-4.0-1.0-0.0-0.0,4698.400000002235,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> For each question, choose the answer that best describes your
thoughts, feelings, and actions during the <b>past 4 weeks</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,61673b692a55fba0f6b8abf1,11:24:28,15/01/2024
survey,AES,mc62QXQv4nPg1mHWpi3nu917h2h1,,lmdlab-survey-likert,6,118946,0.0-4.0-1.0-0.0-1.0,,,,"{""AES1"":2,""AES2"":2,""AES3"":2,""AES4"":3,""AES5"":3,""AES6"":0,""AES7"":2,""AES8"":2,""Catch"":0,""AES9"":3,""AES10"":0,""AES11"":1,""AES12"":1,""AES13"":2,""AES14"":3,""AES15"":3,""AES16"":2,""AES17"":2,""AES18"":2,""FSS9"":2}","{""trialStart"":118190.5,""AES1"":3979,""AES2"":5748.199999999255,""AES3"":8593.60000000149,""AES4"":10846.199999999255,""AES5"":13250.300000000745,""AES6"":16023.300000000745,""AES7"":18334.89999999851,""AES8"":20574.60000000149,""Catch"":22738.60000000149,""AES9"":25770.5,""AES10"":28066.5,""AES11"":31121.60000000149,""AES12"":33355.89999999851,""AES13"":35636.60000000149,""AES14"":38879.699999999255,""AES15"":40326.10000000149,""AES16"":44184.60000000149,""AES17"":46145.699999999255,""AES18"":47283.5,""FSS9"":48447.800000000745}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]",,,,,,,,,61673b692a55fba0f6b8abf1,11:24:28,15/01/2024
survey,STAI,mc62QXQv4nPg1mHWpi3nu917h2h1,,html-button-response,7,128666,0.0-4.0-1.0-1.0-0.0,9716.5,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> A number of statements which people have used to describe themselves are
given below. Read each statement and then rate according to the labels to
indicate <b>how you generally feel</b>.<br>
There are no right or wrong answers. Do not spend too much time on any one
statement but give the answer which seems to describe how you generally feel.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,61673b692a55fba0f6b8abf1,11:24:28,15/01/2024
survey,STAI,mc62QXQv4nPg1mHWpi3nu917h2h1,,lmdlab-survey-likert,8,194526,0.0-4.0-1.0-1.0-1.0,,,,"{""STAI1"":2,""STAI3"":2,""STAI4"":0,""STAI6"":1,""STAI7"":1,""STAI8"":1,""STAI9"":1,""STAI10"":2,""STAI11"":0,""STAI12"":1,""STAI13"":1,""STAI14"":2,""Catch"":0,""STAI15"":1,""STAI16"":2,""STAI17"":2,""STAI18"":1,""STAI19"":1,""STAI20"":1,""BDI5"":1,""LOTR1"":2,""RRQ3"":1}","{""trialStart"":181632.3999999985,""STAI1"":6652.10000000149,""STAI3"":7826.60000000149,""STAI4"":11782.20000000298,""STAI6"":13572.10000000149,""STAI7"":15453.900000002235,""STAI8"":17707.10000000149,""STAI9"":19117.20000000298,""STAI10"":20550.60000000149,""STAI11"":23306.800000000745,""STAI12"":25231.10000000149,""STAI13"":26492.10000000149,""STAI14"":27820.900000002235,""Catch"":30287.400000002235,""STAI15"":32778.5,""STAI16"":34056.60000000149,""STAI17"":37105.20000000298,""STAI18"":40626.70000000298,""STAI19"":41947.5,""STAI20"":56043.900000002235,""BDI5"":57692.20000000298,""LOTR1"":59866.400000002235,""RRQ3"":63645.60000000149}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,,,,,,,,61673b692a55fba0f6b8abf1,11:24:28,15/01/2024
survey,OCIR,mc62QXQv4nPg1mHWpi3nu917h2h1,,html-button-response,9,203709,0.0-4.0-1.0-2.0-0.0,9179.800000000745,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> The following statements refer to experiences that many people have in their
everyday lives. Rate according to the label that best describes <b>how much</b>
that experience has <b>distressed</b> or <b>bothered</b> you during the <b>past month</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,61673b692a55fba0f6b8abf1,11:24:28,15/01/2024
