exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,rest_warning,span,answer,correct,correct_full,span_history,q_name,choice_idxs,prolificID,start_time,date
all,fullscreen,CZQkZD6MOiaopjuwuPhgEaLGPz93,CZQkZD6MOiaopjuwuPhgEaLGPz93,lmdlab-fullscreen,0,2976,0.0-0.0,,,,,,,,,,,,,,,57144a4cc9fbf700124c0ed5,11:24:51 AM,1/15/2024
delaylearn,instructions,CZQkZD6MOiaopjuwuPhgEaLGPz93,CZQkZD6MOiaopjuwuPhgEaLGPz93,lmdlab-rest-trial,1,19309,0.0-1.0,15831.0,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,57144a4cc9fbf700124c0ed5,11:24:51 AM,1/15/2024
delaylearn,survey,CZQkZD6MOiaopjuwuPhgEaLGPz93,CZQkZD6MOiaopjuwuPhgEaLGPz93,lmdlab-html-vas-response,2,24950,0.0-2.0,4119.0,How <b>happy</b> are you right now?,0.2141431567086086,,,,,,,,,,,,57144a4cc9fbf700124c0ed5,11:24:51 AM,1/15/2024
delaylearn,instructions,CZQkZD6MOiaopjuwuPhgEaLGPz93,CZQkZD6MOiaopjuwuPhgEaLGPz93,lmdlab-rest-trial,3,29856,0.0-3.0,4400.5,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,57144a4cc9fbf700124c0ed5,11:24:51 AM,1/15/2024
survey,introduction,CZQkZD6MOiaopjuwuPhgEaLGPz93,,html-button-response,4,39986,0.0-4.0-0.0-0.0,10129.19999999972,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,,,,,,,,,,,,57144a4cc9fbf700124c0ed5,11:24:51 AM,1/15/2024
survey,OCIR,CZQkZD6MOiaopjuwuPhgEaLGPz93,,html-button-response,5,50601,0.0-4.0-1.0-0.0-0.0,10613.299999999814,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> The following statements refer to experiences that many people have in their
everyday lives. Rate according to the label that best describes <b>how much</b>
that experience has <b>distressed</b> or <b>bothered</b> you during the <b>past month</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,57144a4cc9fbf700124c0ed5,11:24:51 AM,1/15/2024
survey,OCIR_10,CZQkZD6MOiaopjuwuPhgEaLGPz93,,lmdlab-survey-likert,6,87812,0.0-4.0-1.0-0.0-1.0,,,,"{""OCIR2"":0,""OCIR3"":0,""OCIR4"":0,""OCIR6"":3,""OCIR7"":1,""OCIR9"":1,""OCIR12"":2,""OCIR13"":2,""OCIR15"":0,""OCIR18"":2}","{""trialStart"":94753.6000000001,""OCIR2"":4430.100000000093,""OCIR3"":5862.700000000186,""OCIR4"":7870.5,""OCIR6"":10527,""OCIR7"":14598.899999999907,""OCIR9"":19437.30000000028,""OCIR12"":22981.399999999907,""OCIR13"":25550.600000000093,""OCIR15"":30486.399999999907,""OCIR18"":34726.60000000009}","[0,1,2,3,4,5,6,7,8,9]",,,,,,,,,57144a4cc9fbf700124c0ed5,11:24:51 AM,1/15/2024
survey,PVSS,CZQkZD6MOiaopjuwuPhgEaLGPz93,,html-button-response,7,101434,0.0-4.0-1.0-1.0-0.0,13619.80000000028,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Please indicate to what extent these statements describe your responses <b>over the last two 
weeks, including today</b>.<br>
Did you <b>not</b> have this experience? No problem. Please indicate how you <u>would have responded</u>
if you had experienced the situation over the last two weeks.</b><br>
Please consider only the aspect of the situation that is described, paying particular attention to
the <u>underlined text</u>. For example, if the statement says, ""<u>I wanted</u> to meet new people,"" rate
how much you wanted or would have wanted to meet new people over the last two weeks,
assuming that the opportunity presented itself. Do not consider what the situation would have
required of you or whether it would have been possible for you to meet people.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,57144a4cc9fbf700124c0ed5,11:24:51 AM,1/15/2024
survey,PVSS,CZQkZD6MOiaopjuwuPhgEaLGPz93,,lmdlab-survey-likert,8,189972,0.0-4.0-1.0-1.0-1.0,,,,"{""PVSS1"":7,""PVSS2"":7,""PVSS3"":7,""PVSS4"":6,""PVSS5"":5,""PVSS6"":6,""PVSS7"":6,""PVSS8"":4,""Catch"":8,""PVSS9"":7,""PVSS10"":6,""PVSS11"":6,""PVSS12"":7,""PVSS13"":7,""PVSS14"":6,""PVSS15"":5,""PVSS16"":7,""PVSS17"":7,""PVSS18"":7,""PVSS19"":4,""PVSS20"":7,""PVSS21"":3}","{""trialStart"":145586.6000000001,""PVSS1"":5556.899999999907,""PVSS2"":8004.899999999907,""PVSS3"":10950.80000000028,""PVSS4"":17462,""PVSS5"":22332.80000000028,""PVSS6"":24669.30000000028,""PVSS7"":27189.899999999907,""PVSS8"":29613.5,""Catch"":31901.200000000186,""PVSS9"":35317.39999999991,""PVSS10"":41725.89999999991,""PVSS11"":45740.89999999991,""PVSS12"":51669.200000000186,""PVSS13"":55253.60000000009,""PVSS14"":58687.89999999991,""PVSS15"":69349.70000000019,""PVSS16"":71333.5,""PVSS17"":73101.80000000028,""PVSS18"":75269.30000000028,""PVSS19"":78614,""PVSS20"":83437.80000000028,""PVSS21"":86285.80000000028}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,,,,,,,,57144a4cc9fbf700124c0ed5,11:24:51 AM,1/15/2024
survey,STAI,CZQkZD6MOiaopjuwuPhgEaLGPz93,,html-button-response,9,214609,0.0-4.0-1.0-2.0-0.0,24635.30000000028,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> A number of statements which people have used to describe themselves are
given below. Read each statement and then rate according to the labels to
indicate <b>how you generally feel</b>.<br>
There are no right or wrong answers. Do not spend too much time on any one
statement but give the answer which seems to describe how you generally feel.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,57144a4cc9fbf700124c0ed5,11:24:51 AM,1/15/2024
