exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,rest_warning,span,answer,correct,correct_full,span_history,q_name,choice_idxs,prolificID,start_time,date
all,fullscreen,9fFttmpcM3PbBOGyxbcPdevQ1Eg1,9fFttmpcM3PbBOGyxbcPdevQ1Eg1,lmdlab-fullscreen,0,8348,0.0-0.0,,,,,,,,,,,,,,,5b7550cb09105000015131ae,11:25:02 AM,1/15/2024
delaylearn,instructions,9fFttmpcM3PbBOGyxbcPdevQ1Eg1,9fFttmpcM3PbBOGyxbcPdevQ1Eg1,lmdlab-rest-trial,1,24801,0.0-1.0,15948.400000035763,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,5b7550cb09105000015131ae,11:25:02 AM,1/15/2024
delaylearn,survey,9fFttmpcM3PbBOGyxbcPdevQ1Eg1,9fFttmpcM3PbBOGyxbcPdevQ1Eg1,lmdlab-html-vas-response,2,32422,0.0-2.0,6104.0,How <b>happy</b> are you right now?,0.6188271604938271,,,,,,,,,,,,5b7550cb09105000015131ae,11:25:02 AM,1/15/2024
delaylearn,instructions,9fFttmpcM3PbBOGyxbcPdevQ1Eg1,9fFttmpcM3PbBOGyxbcPdevQ1Eg1,lmdlab-rest-trial,3,51390,0.0-3.0,18457.80000001192,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,5b7550cb09105000015131ae,11:25:02 AM,1/15/2024
survey,introduction,9fFttmpcM3PbBOGyxbcPdevQ1Eg1,,html-button-response,4,55229,0.0-4.0-0.0-0.0,3837.300000011921,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,,,,,,,,,,,,5b7550cb09105000015131ae,11:25:02 AM,1/15/2024
survey,BIS,9fFttmpcM3PbBOGyxbcPdevQ1Eg1,,html-button-response,5,60812,0.0-4.0-1.0-0.0-0.0,5580.899999976158,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> People differ in the ways they act and think in different situations.
This is a test to measure some of the ways in which you act and think.
Read each statement and select the option that describes you.
Do not spend too much time on any statement. Answer quickly and honestly.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5b7550cb09105000015131ae,11:25:02 AM,1/15/2024
survey,BIS_12,9fFttmpcM3PbBOGyxbcPdevQ1Eg1,9fFttmpcM3PbBOGyxbcPdevQ1Eg1,lmdlab-survey-likert,6,81931,0.0-4.0-1.0-0.0-1.0,,,,"{""BIS6"":0,""BIS14"":1,""Catch"":1,""BIS17"":0,""BIS19"":1,""BIS22"":1,""BIS25"":0}","{""trialStart"":92329.89999997616,""BIS6"":2322,""BIS14"":3984,""Catch"":8879.100000023842,""BIS17"":10304.199999988079,""BIS19"":12558.899999976158,""BIS22"":14560.800000011921,""BIS25"":19404.899999976158}","[0,1,2,3,4,5,6]",,,,,,,,,5b7550cb09105000015131ae,11:25:02 AM,1/15/2024
survey,OCIR,9fFttmpcM3PbBOGyxbcPdevQ1Eg1,,html-button-response,7,85673,0.0-4.0-1.0-1.0-0.0,3740.5,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> The following statements refer to experiences that many people have in their
everyday lives. Rate according to the label that best describes <b>how much</b>
that experience has <b>distressed</b> or <b>bothered</b> you during the <b>past month</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5b7550cb09105000015131ae,11:25:02 AM,1/15/2024
survey,OCIR_10,9fFttmpcM3PbBOGyxbcPdevQ1Eg1,,lmdlab-survey-likert,8,126540,0.0-4.0-1.0-1.0-1.0,,,,"{""OCIR2"":1,""OCIR3"":0,""OCIR4"":0,""OCIR6"":0,""OCIR7"":1,""OCIR9"":0,""OCIR12"":0,""OCIR13"":1,""OCIR15"":0,""OCIR18"":0}","{""trialStart"":117189.59999996424,""OCIR2"":2393.100000023842,""OCIR3"":4115.300000011921,""OCIR4"":7688.199999988079,""OCIR6"":12053,""OCIR7"":13979.199999988079,""OCIR9"":17027.30000001192,""OCIR12"":27755.19999998808,""OCIR13"":30370.69999998808,""OCIR15"":34851.30000001192,""OCIR18"":39159.10000002384}","[0,1,2,3,4,5,6,7,8,9]",,,,,,,,,5b7550cb09105000015131ae,11:25:02 AM,1/15/2024
survey,SDS,9fFttmpcM3PbBOGyxbcPdevQ1Eg1,,html-button-response,9,168762,0.0-4.0-1.0-2.0-0.0,42220.5,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Please read each statement and decide <b>how much</b> of the
time the statement describes how you have been feeling
during the <b>past several days</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5b7550cb09105000015131ae,11:25:02 AM,1/15/2024
survey,SDS,9fFttmpcM3PbBOGyxbcPdevQ1Eg1,,lmdlab-survey-likert,10,200901,0.0-4.0-1.0-2.0-1.0,,,,"{""SDS2"":1,""SDS3"":0,""SDS5"":1,""SDS6"":3,""SDS7"":0,""SDS8"":0,""Catch"":0,""SDS9"":1,""SDS10"":1,""SDS11"":3,""SDS12"":2,""SDS14"":1,""SDS16"":2,""SDS17"":2,""SDS18"":1,""SDS20"":3}","{""trialStart"":200279.79999995232,""SDS2"":1735.1000000238419,""SDS3"":3093.100000023842,""SDS5"":4787,""SDS6"":6164.800000011921,""SDS7"":8804.900000035763,""SDS8"":9559,""Catch"":11926.800000011921,""SDS9"":16127.300000011921,""SDS10"":17414.30000001192,""SDS11"":19065.100000023842,""SDS12"":20539.100000023842,""SDS14"":22564.400000035763,""SDS16"":24296.900000035763,""SDS17"":25820.900000035763,""SDS18"":28101,""SDS20"":29829.900000035763}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,,,,,,5b7550cb09105000015131ae,11:25:02 AM,1/15/2024
survey,STAI,9fFttmpcM3PbBOGyxbcPdevQ1Eg1,,html-button-response,11,202926,0.0-4.0-1.0-3.0-0.0,2023.6000000238419,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> A number of statements which people have used to describe themselves are
given below. Read each statement and then rate according to the labels to
indicate <b>how you generally feel</b>.<br>
There are no right or wrong answers. Do not spend too much time on any one
statement but give the answer which seems to describe how you generally feel.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5b7550cb09105000015131ae,11:25:02 AM,1/15/2024
survey,STAI,9fFttmpcM3PbBOGyxbcPdevQ1Eg1,,lmdlab-survey-likert,12,241525,0.0-4.0-1.0-3.0-1.0,,,,"{""STAI1"":2,""STAI3"":1,""STAI4"":2,""STAI6"":2,""STAI7"":2,""STAI8"":0,""STAI9"":0,""STAI10"":1,""STAI11"":0,""STAI12"":2,""STAI13"":1,""STAI14"":1,""Catch"":0,""STAI15"":1,""STAI16"":2,""STAI17"":1,""STAI18"":0,""STAI19"":3,""STAI20"":0,""BDI5"":1,""LOTR1"":1,""RRQ3"":0}","{""trialStart"":234443.29999995232,""STAI1"":2048.400000035763,""STAI3"":2923.600000023842,""STAI4"":4295.5,""STAI6"":5691,""STAI7"":7506.900000035763,""STAI8"":9509.100000023842,""STAI9"":11216.100000023842,""STAI10"":12353.600000023842,""STAI11"":13589.400000035763,""STAI12"":15109.300000011921,""STAI13"":16219.5,""STAI14"":18435.600000023842,""Catch"":19644.200000047684,""STAI15"":22157.600000023842,""STAI16"":23287.5,""STAI17"":24707.400000035763,""STAI18"":26946.400000035763,""STAI19"":29705.5,""STAI20"":31598.100000023842,""BDI5"":33463.60000002384,""LOTR1"":35193.5,""RRQ3"":36821.40000003576}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,,,,,,,,5b7550cb09105000015131ae,11:25:02 AM,1/15/2024
survey,STICSA,9fFttmpcM3PbBOGyxbcPdevQ1Eg1,,html-button-response,13,245355,0.0-4.0-1.0-4.0-0.0,3828.300000011921,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> You will see a list of statements which can be used to describe how people feel.
Below each statement are four options which indicate how often each statement
is true of you. Please read each statement carefully and select the option which best indicates
how often, <b>in general</b>, the statement is true of you.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5b7550cb09105000015131ae,11:25:02 AM,1/15/2024
survey,STICSA,9fFttmpcM3PbBOGyxbcPdevQ1Eg1,,lmdlab-survey-likert,14,262641,0.0-4.0-1.0-4.0-1.0,,,,"{""STICSA2"":1,""STICSA6"":0,""STICSA7"":0,""STICSA8"":0,""STICSA12"":0,""STICSA14"":0,""Catch"":3,""STICSA15"":0,""STICSA18"":0,""STICSA20"":0,""STICSA21"":0}","{""trialStart"":276872.5,""STICSA2"":1812.5,""STICSA6"":2868,""STICSA7"":4098.299999952316,""STICSA8"":5414.399999976158,""STICSA12"":6542.299999952316,""STICSA14"":7606.199999988079,""Catch"":9182.399999976158,""STICSA15"":10696.399999976158,""STICSA18"":12188,""STICSA20"":14679.5,""STICSA21"":15376.299999952316}","[0,1,2,3,4,5,6,7,8,9,10]",,,,,,,,,5b7550cb09105000015131ae,11:25:02 AM,1/15/2024
survey,resources,9fFttmpcM3PbBOGyxbcPdevQ1Eg1,,html-button-response,15,265140,0.0-4.0-2.0-0.0,2496.900000035763,"<p style=""font-size: 3.5rem; line-height: 1.5"">If you feel affected by the issues raised by these questions and<br>wish to access any further support with regards to your mental<br>health you can find more information on this website:<br><br><b>https://www.nhs.uk/nhs-services/mental-health-services/where-to-get-urgent-help-for-mental-health/</b><br><br><br>Should you wish to talk, any time of day or night, you can call<br>116 123 to talk to the Samaritans you can also text ""SHOUT""<br>to 85258 to contact the Shout Crisis Text Line.<br><br><br><br></p>",0,,,,,,,,,,,,5b7550cb09105000015131ae,11:25:02 AM,1/15/2024
survey,finish,9fFttmpcM3PbBOGyxbcPdevQ1Eg1,,html-button-response,16,266477,0.0-4.0-3.0,1336.199999988079,"<p style=""font-size: 3rem"">Thank you!  You have finished this part of the experiment!<br><br><br>",0,,,,,,,,,,,,5b7550cb09105000015131ae,11:25:02 AM,1/15/2024
delaylearn,survey,9fFttmpcM3PbBOGyxbcPdevQ1Eg1,9fFttmpcM3PbBOGyxbcPdevQ1Eg1,lmdlab-html-vas-response,17,270397,0.0-5.0,2407.0,How <b>happy</b> are you right now?,0.625,,,,,,,,,,,,5b7550cb09105000015131ae,11:25:02 AM,1/15/2024
