exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,rest_warning,span,answer,correct,correct_full,span_history,q_name,choice_idxs,prolificID,start_time,date
all,fullscreen,lrfNUwW18whyXQtadw8Epe3hu1f2,lrfNUwW18whyXQtadw8Epe3hu1f2,lmdlab-fullscreen,0,7675,0.0-0.0,,,,,,,,,,,,,,,60e2e1deafbbcd1c20bb3706,11:25:15 AM,1/15/2024
delaylearn,instructions,lrfNUwW18whyXQtadw8Epe3hu1f2,lrfNUwW18whyXQtadw8Epe3hu1f2,lmdlab-rest-trial,1,14868,0.0-1.0,6684.899999976158,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,60e2e1deafbbcd1c20bb3706,11:25:15 AM,1/15/2024
delaylearn,survey,lrfNUwW18whyXQtadw8Epe3hu1f2,lrfNUwW18whyXQtadw8Epe3hu1f2,lmdlab-html-vas-response,2,43685,0.0-2.0,27281.0,How <b>happy</b> are you right now?,0.6832561053402698,,,,,,,,,,,,60e2e1deafbbcd1c20bb3706,11:25:15 AM,1/15/2024
delaylearn,instructions,lrfNUwW18whyXQtadw8Epe3hu1f2,lrfNUwW18whyXQtadw8Epe3hu1f2,lmdlab-rest-trial,3,47874,0.0-3.0,3678.199999988079,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,60e2e1deafbbcd1c20bb3706,11:25:15 AM,1/15/2024
survey,introduction,lrfNUwW18whyXQtadw8Epe3hu1f2,,html-button-response,4,50095,0.0-4.0-0.0-0.0,2218.0,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,,,,,,,,,,,,60e2e1deafbbcd1c20bb3706,11:25:15 AM,1/15/2024
survey,STICSA,lrfNUwW18whyXQtadw8Epe3hu1f2,,html-button-response,5,52655,0.0-4.0-1.0-0.0-0.0,2557.5,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> You will see a list of statements which can be used to describe how people feel.
Below each statement are four options which indicate how often each statement
is true of you. Please read each statement carefully and select the option which best indicates
how often, <b>in general</b>, the statement is true of you.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,60e2e1deafbbcd1c20bb3706,11:25:15 AM,1/15/2024
survey,STICSA,lrfNUwW18whyXQtadw8Epe3hu1f2,,lmdlab-survey-likert,6,72256,0.0-4.0-1.0-0.0-1.0,,,,"{""STICSA2"":1,""STICSA6"":0,""STICSA7"":0,""STICSA8"":0,""STICSA12"":1,""STICSA14"":0,""Catch"":3,""STICSA15"":1,""STICSA18"":1,""STICSA20"":1,""STICSA21"":1}","{""trialStart"":78207.19999998808,""STICSA2"":3057.100000023842,""STICSA6"":3869.100000023842,""STICSA7"":6565.5,""STICSA8"":7369.5,""STICSA12"":8709.100000023842,""STICSA14"":10149,""Catch"":11421.5,""STICSA15"":13157,""STICSA18"":14232.900000035763,""STICSA20"":16357,""STICSA21"":17940.80000001192}","[0,1,2,3,4,5,6,7,8,9,10]",,,,,,,,,60e2e1deafbbcd1c20bb3706,11:25:15 AM,1/15/2024
survey,PVSS,lrfNUwW18whyXQtadw8Epe3hu1f2,,html-button-response,7,86771,0.0-4.0-1.0-1.0-0.0,14512.099999964237,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Please indicate to what extent these statements describe your responses <b>over the last two 
weeks, including today</b>.<br>
Did you <b>not</b> have this experience? No problem. Please indicate how you <u>would have responded</u>
if you had experienced the situation over the last two weeks.</b><br>
Please consider only the aspect of the situation that is described, paying particular attention to
the <u>underlined text</u>. For example, if the statement says, ""<u>I wanted</u> to meet new people,"" rate
how much you wanted or would have wanted to meet new people over the last two weeks,
assuming that the opportunity presented itself. Do not consider what the situation would have
required of you or whether it would have been possible for you to meet people.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,60e2e1deafbbcd1c20bb3706,11:25:15 AM,1/15/2024
survey,PVSS,lrfNUwW18whyXQtadw8Epe3hu1f2,,lmdlab-survey-likert,8,150535,0.0-4.0-1.0-1.0-1.0,,,,"{""PVSS1"":3,""PVSS2"":6,""PVSS3"":5,""PVSS4"":7,""PVSS5"":5,""PVSS6"":6,""PVSS7"":7,""PVSS8"":7,""Catch"":8,""PVSS9"":6,""PVSS10"":6,""PVSS11"":6,""PVSS12"":7,""PVSS13"":7,""PVSS14"":7,""PVSS15"":6,""PVSS16"":6,""PVSS17"":7,""PVSS18"":6,""PVSS19"":7,""PVSS20"":6,""PVSS21"":7}","{""trialStart"":112323.80000001192,""PVSS1"":4852.399999976158,""PVSS2"":6808.699999988079,""PVSS3"":8569,""PVSS4"":10912.800000011921,""PVSS5"":13316.600000023842,""PVSS6"":15172.899999976158,""PVSS7"":16692.600000023842,""PVSS8"":18880.5,""Catch"":19900.399999976158,""PVSS10"":23640.69999998808,""PVSS11"":25100.5,""PVSS12"":26652.5,""PVSS13"":29560.5,""PVSS14"":31144.600000023842,""PVSS15"":33956.39999997616,""PVSS17"":36964.5,""PVSS18"":38188.30000001192,""PVSS19"":39548.39999997616,""PVSS20"":40916.39999997616,""PVSS21"":42052.30000001192,""PVSS9"":47093,""PVSS16"":61016.5}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,,,,,,,,60e2e1deafbbcd1c20bb3706,11:25:15 AM,1/15/2024
survey,GAD7,lrfNUwW18whyXQtadw8Epe3hu1f2,,html-button-response,9,152583,0.0-4.0-1.0-2.0-0.0,2046.0,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Over the <u>last two weeks</u>, how often have you been bothered by the following problems?</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,60e2e1deafbbcd1c20bb3706,11:25:15 AM,1/15/2024
survey,GAD7,lrfNUwW18whyXQtadw8Epe3hu1f2,,lmdlab-survey-likert,10,167454,0.0-4.0-1.0-2.0-1.0,,,,"{""GAD1"":1,""GAD2"":1,""GAD3"":1,""GAD4"":1,""GAD5"":2,""GAD6"":1,""GAD7"":1}","{""trialStart"":178133.90000003576,""GAD1"":2010.5999999642372,""GAD2"":3115.2999999523163,""GAD3"":5106.599999964237,""GAD4"":6278,""GAD5"":8850.699999988079,""GAD6"":10810,""GAD7"":12986.299999952316}","[0,1,2,3,4,5,6]",,,,,,,,,60e2e1deafbbcd1c20bb3706,11:25:15 AM,1/15/2024
survey,STAI,lrfNUwW18whyXQtadw8Epe3hu1f2,,html-button-response,11,202431,0.0-4.0-1.0-3.0-0.0,34974.0,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> A number of statements which people have used to describe themselves are
given below. Read each statement and then rate according to the labels to
indicate <b>how you generally feel</b>.<br>
There are no right or wrong answers. Do not spend too much time on any one
statement but give the answer which seems to describe how you generally feel.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,60e2e1deafbbcd1c20bb3706,11:25:15 AM,1/15/2024
survey,STAI,lrfNUwW18whyXQtadw8Epe3hu1f2,,lmdlab-survey-likert,12,287820,0.0-4.0-1.0-3.0-1.0,,,,"{""STAI1"":2,""STAI3"":3,""STAI4"":1,""STAI6"":2,""STAI7"":2,""STAI8"":0,""STAI9"":1,""STAI10"":2,""STAI11"":0,""STAI12"":1,""STAI13"":2,""STAI14"":2,""Catch"":0,""STAI15"":1,""STAI16"":2,""STAI17"":1,""STAI18"":2,""STAI19"":2,""STAI20"":0,""BDI5"":1,""LOTR1"":2,""RRQ3"":0}","{""trialStart"":227982.5,""STAI1"":22213.69999998808,""STAI3"":23166.30000001192,""STAI4"":42905.5,""STAI6"":44737.69999998808,""STAI7"":46141.5,""STAI8"":49421.40000003576,""STAI9"":53069.60000002384,""STAI10"":54041.90000003576,""STAI11"":56569.5,""STAI12"":58394.5,""STAI13"":59893.80000001192,""STAI14"":60769.80000001192,""Catch"":62313.80000001192,""STAI15"":63805.5,""STAI16"":67289.60000002384,""STAI17"":69905.60000002384,""STAI18"":71657.5,""STAI19"":73533.5,""STAI20"":77533.40000003576,""BDI5"":79569.5,""LOTR1"":81701.40000003576,""RRQ3"":83589.40000003576}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,,,,,,,,60e2e1deafbbcd1c20bb3706,11:25:15 AM,1/15/2024
survey,OCIR,lrfNUwW18whyXQtadw8Epe3hu1f2,,html-button-response,13,290219,0.0-4.0-1.0-4.0-0.0,2395.699999988079,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> The following statements refer to experiences that many people have in their
everyday lives. Rate according to the label that best describes <b>how much</b>
that experience has <b>distressed</b> or <b>bothered</b> you during the <b>past month</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,60e2e1deafbbcd1c20bb3706,11:25:15 AM,1/15/2024
survey,OCIR_10,lrfNUwW18whyXQtadw8Epe3hu1f2,,lmdlab-survey-likert,14,314947,0.0-4.0-1.0-4.0-1.0,,,,"{""OCIR2"":2,""OCIR3"":0,""OCIR4"":0,""OCIR6"":0,""OCIR7"":0,""OCIR9"":1,""OCIR12"":0,""OCIR13"":2,""OCIR15"":1,""OCIR18"":0}","{""trialStart"":315770.3000000119,""OCIR2"":2098.300000011921,""OCIR3"":3362,""OCIR4"":7197.699999988079,""OCIR6"":8614,""OCIR7"":10869.800000011921,""OCIR9"":13653.699999988079,""OCIR12"":15865.899999976158,""OCIR13"":19173.80000001192,""OCIR15"":21258.100000023842,""OCIR18"":22565.80000001192}","[0,1,2,3,4,5,6,7,8,9]",,,,,,,,,60e2e1deafbbcd1c20bb3706,11:25:15 AM,1/15/2024
survey,resources,lrfNUwW18whyXQtadw8Epe3hu1f2,,html-button-response,15,331447,0.0-4.0-2.0-0.0,16497.30000001192,"<p style=""font-size: 3.5rem; line-height: 1.5"">If you feel affected by the issues raised by these questions and<br>wish to access any further support with regards to your mental<br>health you can find more information on this website:<br><br><b>https://www.nhs.uk/nhs-services/mental-health-services/where-to-get-urgent-help-for-mental-health/</b><br><br><br>Should you wish to talk, any time of day or night, you can call<br>116 123 to talk to the Samaritans you can also text ""SHOUT""<br>to 85258 to contact the Shout Crisis Text Line.<br><br><br><br></p>",0,,,,,,,,,,,,60e2e1deafbbcd1c20bb3706,11:25:15 AM,1/15/2024
survey,finish,lrfNUwW18whyXQtadw8Epe3hu1f2,,html-button-response,16,332583,0.0-4.0-3.0,1134.300000011921,"<p style=""font-size: 3rem"">Thank you!  You have finished this part of the experiment!<br><br><br>",0,,,,,,,,,,,,60e2e1deafbbcd1c20bb3706,11:25:15 AM,1/15/2024
delaylearn,survey,lrfNUwW18whyXQtadw8Epe3hu1f2,lrfNUwW18whyXQtadw8Epe3hu1f2,lmdlab-html-vas-response,17,336241,0.0-5.0,2130.0,How <b>happy</b> are you right now?,0.687114129849934,,,,,,,,,,,,60e2e1deafbbcd1c20bb3706,11:25:15 AM,1/15/2024
