exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,rest_warning,span,answer,correct,correct_full,span_history,q_name,choice_idxs,prolificID,start_time,date
all,fullscreen,I2GnMQ1wCrZjUmBxz9pPhSJSxPl1,I2GnMQ1wCrZjUmBxz9pPhSJSxPl1,lmdlab-fullscreen,0,50174,0.0-0.0,,,,,,,,,,,,,,,60bf8f44f1188266dd8a3e85,11:26:04,15/01/2024
delaylearn,instructions,I2GnMQ1wCrZjUmBxz9pPhSJSxPl1,I2GnMQ1wCrZjUmBxz9pPhSJSxPl1,lmdlab-rest-trial,1,66982,0.0-1.0,16289.900000035763,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,60bf8f44f1188266dd8a3e85,11:26:04,15/01/2024
delaylearn,survey,I2GnMQ1wCrZjUmBxz9pPhSJSxPl1,I2GnMQ1wCrZjUmBxz9pPhSJSxPl1,lmdlab-html-vas-response,2,74004,0.0-2.0,5480.0,How <b>happy</b> are you right now?,0.3329151266488081,,,,,,,,,,,,60bf8f44f1188266dd8a3e85,11:26:04,15/01/2024
delaylearn,instructions,I2GnMQ1wCrZjUmBxz9pPhSJSxPl1,I2GnMQ1wCrZjUmBxz9pPhSJSxPl1,lmdlab-rest-trial,3,79713,0.0-3.0,5198.099999964237,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,60bf8f44f1188266dd8a3e85,11:26:04,15/01/2024
survey,introduction,I2GnMQ1wCrZjUmBxz9pPhSJSxPl1,,html-button-response,4,90294,0.0-4.0-0.0-0.0,10577.199999988079,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,,,,,,,,,,,,60bf8f44f1188266dd8a3e85,11:26:04,15/01/2024
survey,MASQ_7,I2GnMQ1wCrZjUmBxz9pPhSJSxPl1,,html-button-response,5,97749,0.0-4.0-1.0-0.0-0.0,7447.699999988079,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Below is a list of feelings, sensations, problems, and experiences that people sometimes have.
Read each item and then choose the response that best describes how much you have felt or
experienced things this way during the <b>past week, including today</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,60bf8f44f1188266dd8a3e85,11:26:04,15/01/2024
survey,MASQ_7,I2GnMQ1wCrZjUmBxz9pPhSJSxPl1,,lmdlab-survey-likert,6,126780,0.0-4.0-1.0-0.0-1.0,,,,"{""MASQ1"":0,""MASQ5"":3,""MASQ9"":1,""MASQ11"":3,""MASQ15"":1,""MASQ19"":0,""MASQ23"":1,""MASQ25"":0,""HADS2"":3,""HADS6"":3}","{""trialStart"":124757.59999996424,""MASQ1"":5924.900000035763,""MASQ5"":7200.5,""MASQ9"":10244.400000035763,""MASQ11"":11846.800000011921,""MASQ15"":14358.800000011921,""MASQ19"":15482.800000011921,""MASQ23"":16339.699999988079,""MASQ25"":18774.600000023842,""HADS2"":24747.400000035763,""HADS6"":23793}","[0,1,2,3,4,5,6,7,8,9]",,,,,,,,,60bf8f44f1188266dd8a3e85,11:26:04,15/01/2024
survey,PHQ9,I2GnMQ1wCrZjUmBxz9pPhSJSxPl1,,html-button-response,7,138758,0.0-4.0-1.0-1.0-0.0,11973.699999988079,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Over the <u>last two weeks</u>, how often have you been bothered by any of the following problems?</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,60bf8f44f1188266dd8a3e85,11:26:04,15/01/2024
survey,PHQ9,I2GnMQ1wCrZjUmBxz9pPhSJSxPl1,,lmdlab-survey-likert,8,169670,0.0-4.0-1.0-1.0-1.0,,,,"{""PHQ1"":2,""PHQ2"":2,""PHQ3"":3,""PHQ4"":3,""Catch"":0,""PHQ5"":2,""PHQ6"":1,""PHQ7"":1,""PHQ8"":0,""PHQ9"":0}","{""trialStart"":165763.19999998808,""PHQ1"":2699.800000011921,""PHQ2"":3739.899999976158,""PHQ3"":7704.899999976158,""PHQ4"":8879.5,""Catch"":13211,""PHQ5"":16614.599999964237,""PHQ6"":20004.80000001192,""PHQ7"":21349.5,""PHQ8"":26417.399999976158,""PHQ9"":27825.5}","[0,1,2,3,4,5,6,7,8,9]",,,,,,,,,60bf8f44f1188266dd8a3e85,11:26:04,15/01/2024
survey,SDS,I2GnMQ1wCrZjUmBxz9pPhSJSxPl1,,html-button-response,9,173014,0.0-4.0-1.0-2.0-0.0,3340.800000011921,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Please read each statement and decide <b>how much</b> of the
time the statement describes how you have been feeling
during the <b>past several days</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,60bf8f44f1188266dd8a3e85,11:26:04,15/01/2024
