exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,rest_warning,span,answer,correct,correct_full,span_history,q_name,choice_idxs,prolificID,start_time,date
all,fullscreen,HvbM0JazDpXz29ORPGHP5rGbdqp1,HvbM0JazDpXz29ORPGHP5rGbdqp1,lmdlab-fullscreen,0,2140,0.0-0.0,,,,,,,,,,,,,,,5efbc6d2c1afc617b36fdd7d,11:26:43,15/01/2024
delaylearn,instructions,HvbM0JazDpXz29ORPGHP5rGbdqp1,HvbM0JazDpXz29ORPGHP5rGbdqp1,lmdlab-rest-trial,1,18941,0.0-1.0,16293.39999999106,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,5efbc6d2c1afc617b36fdd7d,11:26:43,15/01/2024
delaylearn,survey,HvbM0JazDpXz29ORPGHP5rGbdqp1,HvbM0JazDpXz29ORPGHP5rGbdqp1,lmdlab-html-vas-response,2,24131,0.0-2.0,3649.0,How <b>happy</b> are you right now?,0.6134259259259259,,,,,,,,,,,,5efbc6d2c1afc617b36fdd7d,11:26:43,15/01/2024
delaylearn,instructions,HvbM0JazDpXz29ORPGHP5rGbdqp1,HvbM0JazDpXz29ORPGHP5rGbdqp1,lmdlab-rest-trial,3,28780,0.0-3.0,4140.5,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,5efbc6d2c1afc617b36fdd7d,11:26:43,15/01/2024
survey,introduction,HvbM0JazDpXz29ORPGHP5rGbdqp1,not found,html-button-response,4,35487,0.0-4.0-0.0-0.0,6705.800000011921,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,,,,,,,,,,,,5efbc6d2c1afc617b36fdd7d,11:26:43,15/01/2024
survey,STICSA,HvbM0JazDpXz29ORPGHP5rGbdqp1,not found,html-button-response,5,42591,0.0-4.0-1.0-0.0-0.0,7102.4000000059605,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> You will see a list of statements which can be used to describe how people feel.
Below each statement are four options which indicate how often each statement
is true of you. Please read each statement carefully and select the option which best indicates
how often, <b>in general</b>, the statement is true of you.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5efbc6d2c1afc617b36fdd7d,11:26:43,15/01/2024
survey,STICSA,HvbM0JazDpXz29ORPGHP5rGbdqp1,not found,lmdlab-survey-likert,6,71772,0.0-4.0-1.0-0.0-1.0,,,,"{""STICSA2"":1,""STICSA6"":0,""STICSA7"":1,""STICSA8"":1,""STICSA12"":1,""STICSA14"":0,""Catch"":3,""STICSA15"":1,""STICSA18"":1,""STICSA20"":2,""STICSA21"":1}","{""trialStart"":88979,""STICSA2"":4623.600000008941,""STICSA6"":6492.5,""STICSA7"":10326.70000000298,""STICSA8"":12357.5,""STICSA12"":14462,""STICSA14"":16118.90000000596,""Catch"":17923.10000000894,""STICSA15"":19873.29999999702,""STICSA18"":21691.60000000894,""STICSA20"":24097.20000000298,""STICSA21"":26868.10000000894}","[0,1,2,3,4,5,6,7,8,9,10]",,,,,,,,,5efbc6d2c1afc617b36fdd7d,11:26:43,15/01/2024
survey,MASQ_7,HvbM0JazDpXz29ORPGHP5rGbdqp1,not found,html-button-response,7,73444,0.0-4.0-1.0-1.0-0.0,1670.0,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Below is a list of feelings, sensations, problems, and experiences that people sometimes have.
Read each item and then choose the response that best describes how much you have felt or
experienced things this way during the <b>past week, including today</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5efbc6d2c1afc617b36fdd7d,11:26:43,15/01/2024
survey,MASQ_7,HvbM0JazDpXz29ORPGHP5rGbdqp1,not found,lmdlab-survey-likert,8,126171,0.0-4.0-1.0-1.0-1.0,,,,"{""MASQ1"":1,""MASQ5"":2,""MASQ9"":0,""MASQ11"":1,""MASQ15"":1,""MASQ19"":1,""MASQ23"":2,""MASQ25"":1,""HADS2"":1,""HADS6"":0}","{""trialStart"":119830.20000000298,""MASQ1"":5658.5,""MASQ5"":8583.90000000596,""MASQ9"":19376.90000000596,""MASQ11"":27274,""MASQ15"":30866.90000000596,""MASQ19"":32611.5,""MASQ23"":35947.90000000596,""MASQ25"":43800.70000000298,""HADS2"":46836.5,""HADS6"":49776.59999999404}","[0,1,2,3,4,5,6,7,8,9]",,,,,,,,,5efbc6d2c1afc617b36fdd7d,11:26:43,15/01/2024
survey,GAD7,HvbM0JazDpXz29ORPGHP5rGbdqp1,not found,html-button-response,9,128383,0.0-4.0-1.0-2.0-0.0,2209.5999999940395,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Over the <u>last two weeks</u>, how often have you been bothered by the following problems?</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5efbc6d2c1afc617b36fdd7d,11:26:43,15/01/2024
