exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,rest_warning,span,answer,correct,correct_full,span_history,q_name,choice_idxs,prolificID,start_time,date
all,fullscreen,tmPItnWM4gOa3CJ1lqOqq4n8cD02,tmPItnWM4gOa3CJ1lqOqq4n8cD02,lmdlab-fullscreen,0,2357,0.0-0.0,,,,,,,,,,,,,,,6085a4cc5f5f9ba1a3bfd785,11:27:16,15/01/2024
delaylearn,instructions,tmPItnWM4gOa3CJ1lqOqq4n8cD02,tmPItnWM4gOa3CJ1lqOqq4n8cD02,lmdlab-rest-trial,1,25430,0.0-1.0,22554.5,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,6085a4cc5f5f9ba1a3bfd785,11:27:16,15/01/2024
delaylearn,survey,tmPItnWM4gOa3CJ1lqOqq4n8cD02,tmPItnWM4gOa3CJ1lqOqq4n8cD02,lmdlab-html-vas-response,2,33589,0.0-2.0,6640.0,How <b>happy</b> are you right now?,0.594521541617992,,,,,,,,,,,,6085a4cc5f5f9ba1a3bfd785,11:27:16,15/01/2024
delaylearn,instructions,tmPItnWM4gOa3CJ1lqOqq4n8cD02,tmPItnWM4gOa3CJ1lqOqq4n8cD02,lmdlab-rest-trial,3,42197,0.0-3.0,8089.0,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,6085a4cc5f5f9ba1a3bfd785,11:27:16,15/01/2024
survey,introduction,tmPItnWM4gOa3CJ1lqOqq4n8cD02,not found,html-button-response,4,46225,0.0-4.0-0.0-0.0,4025.800000011921,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,,,,,,,,,,,,6085a4cc5f5f9ba1a3bfd785,11:27:16,15/01/2024
survey,PVSS,tmPItnWM4gOa3CJ1lqOqq4n8cD02,not found,html-button-response,5,58960,0.0-4.0-1.0-0.0-0.0,12732.900000035763,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Please indicate to what extent these statements describe your responses <b>over the last two 
weeks, including today</b>.<br>
Did you <b>not</b> have this experience? No problem. Please indicate how you <u>would have responded</u>
if you had experienced the situation over the last two weeks.</b><br>
Please consider only the aspect of the situation that is described, paying particular attention to
the <u>underlined text</u>. For example, if the statement says, ""<u>I wanted</u> to meet new people,"" rate
how much you wanted or would have wanted to meet new people over the last two weeks,
assuming that the opportunity presented itself. Do not consider what the situation would have
required of you or whether it would have been possible for you to meet people.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,6085a4cc5f5f9ba1a3bfd785,11:27:16,15/01/2024
survey,PVSS,tmPItnWM4gOa3CJ1lqOqq4n8cD02,not found,lmdlab-survey-likert,6,192244,0.0-4.0-1.0-0.0-1.0,,,,"{""PVSS1"":5,""PVSS2"":6,""PVSS3"":6,""PVSS4"":7,""PVSS5"":4,""PVSS6"":5,""PVSS7"":4,""PVSS8"":7,""Catch"":8,""PVSS9"":8,""PVSS10"":5,""PVSS11"":5,""PVSS12"":8,""PVSS13"":4,""PVSS14"":5,""PVSS15"":7,""PVSS16"":8,""PVSS17"":8,""PVSS18"":4,""PVSS19"":6,""PVSS20"":5,""PVSS21"":4}","{""trialStart"":163084.5,""PVSS1"":13988,""PVSS2"":23941.80000001192,""PVSS3"":29382,""PVSS4"":32396.100000023842,""PVSS5"":38868.700000047684,""PVSS6"":47892.40000003576,""PVSS7"":53228.40000003576,""PVSS8"":60685,""Catch"":66933.30000001192,""PVSS9"":73241,""PVSS10"":79357.40000003576,""PVSS11"":84741.30000001192,""PVSS12"":86733.10000002384,""PVSS13"":93029.60000002384,""PVSS14"":98398.40000003576,""PVSS15"":101599.10000002384,""PVSS16"":104174.30000001192,""PVSS17"":110430.40000003576,""PVSS18"":116300.40000003576,""PVSS19"":121110.30000001192,""PVSS20"":125478.40000003576,""PVSS21"":130990}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,,,,,,,,6085a4cc5f5f9ba1a3bfd785,11:27:16,15/01/2024
survey,GAD7,tmPItnWM4gOa3CJ1lqOqq4n8cD02,not found,html-button-response,7,196393,0.0-4.0-1.0-1.0-0.0,4146.899999976158,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Over the <u>last two weeks</u>, how often have you been bothered by the following problems?</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,6085a4cc5f5f9ba1a3bfd785,11:27:16,15/01/2024
survey,GAD7,tmPItnWM4gOa3CJ1lqOqq4n8cD02,not found,lmdlab-survey-likert,8,221957,0.0-4.0-1.0-1.0-1.0,,,,"{""GAD1"":0,""GAD2"":0,""GAD3"":0,""GAD4"":3,""GAD5"":0,""GAD6"":2,""GAD7"":0}","{""trialStart"":300514.90000003576,""GAD1"":3619.399999976158,""GAD2"":5045.899999976158,""GAD3"":9078.5,""GAD4"":11304.399999976158,""GAD5"":14718.5,""GAD6"":18478.099999964237,""GAD7"":23351.599999964237}","[0,1,2,3,4,5,6]",,,,,,,,,6085a4cc5f5f9ba1a3bfd785,11:27:16,15/01/2024
survey,BIS,tmPItnWM4gOa3CJ1lqOqq4n8cD02,not found,html-button-response,9,229401,0.0-4.0-1.0-2.0-0.0,7442.299999952316,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> People differ in the ways they act and think in different situations.
This is a test to measure some of the ways in which you act and think.
Read each statement and select the option that describes you.
Do not spend too much time on any statement. Answer quickly and honestly.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,6085a4cc5f5f9ba1a3bfd785,11:27:16,15/01/2024
