exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,rest_warning,span,answer,correct,correct_full,span_history,q_name,choice_idxs,prolificID,start_time,date
all,fullscreen,3Y6X4Bnau6bC2oQcEH0qTsw1VkC2,3Y6X4Bnau6bC2oQcEH0qTsw1VkC2,lmdlab-fullscreen,0,14673,0.0-0.0,,,,,,,,,,,,,,,5f3a7e7b3a55e009ff81175e,11:28:42,15/01/2024
delaylearn,instructions,3Y6X4Bnau6bC2oQcEH0qTsw1VkC2,3Y6X4Bnau6bC2oQcEH0qTsw1VkC2,lmdlab-rest-trial,1,29879,0.0-1.0,14691.400000035763,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,5f3a7e7b3a55e009ff81175e,11:28:42,15/01/2024
delaylearn,survey,3Y6X4Bnau6bC2oQcEH0qTsw1VkC2,3Y6X4Bnau6bC2oQcEH0qTsw1VkC2,lmdlab-html-vas-response,2,34780,0.0-2.0,3365.0,How <b>happy</b> are you right now?,0.49035487985705717,,,,,,,,,,,,5f3a7e7b3a55e009ff81175e,11:28:42,15/01/2024
delaylearn,instructions,3Y6X4Bnau6bC2oQcEH0qTsw1VkC2,3Y6X4Bnau6bC2oQcEH0qTsw1VkC2,lmdlab-rest-trial,3,82795,0.0-3.0,47501.0,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,5f3a7e7b3a55e009ff81175e,11:28:42,15/01/2024
survey,introduction,3Y6X4Bnau6bC2oQcEH0qTsw1VkC2,,html-button-response,4,88665,0.0-4.0-0.0-0.0,5867.399999976158,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,,,,,,,,,,,,5f3a7e7b3a55e009ff81175e,11:28:42,15/01/2024
survey,AES,3Y6X4Bnau6bC2oQcEH0qTsw1VkC2,,html-button-response,5,92167,0.0-4.0-1.0-0.0-0.0,3499.599999964237,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> For each question, choose the answer that best describes your
thoughts, feelings, and actions during the <b>past 4 weeks</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5f3a7e7b3a55e009ff81175e,11:28:42,15/01/2024
survey,AES,3Y6X4Bnau6bC2oQcEH0qTsw1VkC2,,lmdlab-survey-likert,6,148429,0.0-4.0-1.0-0.0-1.0,,,,"{""AES1"":1,""AES2"":2,""AES3"":2,""AES4"":1,""AES5"":2,""AES6"":2,""AES7"":0,""AES8"":1,""Catch"":0,""AES9"":2,""AES10"":0,""AES11"":1,""AES12"":1,""AES13"":0,""AES14"":1,""AES15"":2,""AES16"":2,""AES17"":1,""AES18"":1,""FSS9"":1}","{""trialStart"":133431.39999997616,""AES1"":2365.100000023842,""AES2"":4531.100000023842,""AES3"":11931.200000047684,""AES4"":12896.900000035763,""AES5"":13994.800000011921,""AES6"":16881.5,""AES7"":18578.80000001192,""AES8"":21316.5,""Catch"":22380.100000023842,""AES9"":23720.5,""AES10"":27330.600000023842,""AES11"":29442.5,""AES12"":31797.5,""AES13"":32931.60000002384,""AES14"":34225.40000003576,""AES15"":38361.60000002384,""AES16"":39461,""AES17"":49799.40000003576,""AES18"":50816.60000002384,""FSS9"":53995.60000002384}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]",,,,,,,,,5f3a7e7b3a55e009ff81175e,11:28:42,15/01/2024
survey,PHQ9,3Y6X4Bnau6bC2oQcEH0qTsw1VkC2,,html-button-response,7,150648,0.0-4.0-1.0-1.0-0.0,2216.5,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Over the <u>last two weeks</u>, how often have you been bothered by any of the following problems?</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5f3a7e7b3a55e009ff81175e,11:28:42,15/01/2024
survey,PHQ9,3Y6X4Bnau6bC2oQcEH0qTsw1VkC2,,lmdlab-survey-likert,8,176045,0.0-4.0-1.0-1.0-1.0,,,,"{""PHQ1"":2,""PHQ2"":2,""PHQ3"":1,""PHQ4"":2,""Catch"":0,""PHQ5"":2,""PHQ6"":2,""PHQ7"":1,""PHQ8"":1,""PHQ9"":2}","{""trialStart"":191910.69999998808,""PHQ1"":1850.800000011921,""PHQ2"":2863.199999988079,""PHQ3"":7866.600000023842,""PHQ4"":8817.699999988079,""Catch"":12152.199999988079,""PHQ5"":14129.400000035763,""PHQ6"":15375.900000035763,""PHQ7"":17749.19999998808,""PHQ8"":20213.5,""PHQ9"":23369.19999998808}","[0,1,2,3,4,5,6,7,8,9]",,,,,,,,,5f3a7e7b3a55e009ff81175e,11:28:42,15/01/2024
survey,STAI,3Y6X4Bnau6bC2oQcEH0qTsw1VkC2,,html-button-response,9,178482,0.0-4.0-1.0-2.0-0.0,2434.199999988079,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> A number of statements which people have used to describe themselves are
given below. Read each statement and then rate according to the labels to
indicate <b>how you generally feel</b>.<br>
There are no right or wrong answers. Do not spend too much time on any one
statement but give the answer which seems to describe how you generally feel.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5f3a7e7b3a55e009ff81175e,11:28:42,15/01/2024
