exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,rest_warning,span,answer,correct,correct_full,span_history,q_name,choice_idxs,prolificID,start_time,date
all,fullscreen,sjAannmt3JPZXAGVAotLBUUqIty2,sjAannmt3JPZXAGVAotLBUUqIty2,lmdlab-fullscreen,0,9343,0.0-0.0,,,,,,,,,,,,,,,651c10cdf893ceabafc002da,11:29:59 AM,1/15/2024
delaylearn,instructions,sjAannmt3JPZXAGVAotLBUUqIty2,sjAannmt3JPZXAGVAotLBUUqIty2,lmdlab-rest-trial,1,53443,0.0-1.0,43592.0,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,651c10cdf893ceabafc002da,11:29:59 AM,1/15/2024
delaylearn,survey,sjAannmt3JPZXAGVAotLBUUqIty2,sjAannmt3JPZXAGVAotLBUUqIty2,lmdlab-html-vas-response,2,57900,0.0-2.0,2945.0,How <b>happy</b> are you right now?,0.9882812629350362,,,,,,,,,,,,651c10cdf893ceabafc002da,11:29:59 AM,1/15/2024
delaylearn,instructions,sjAannmt3JPZXAGVAotLBUUqIty2,sjAannmt3JPZXAGVAotLBUUqIty2,lmdlab-rest-trial,3,65483,0.0-3.0,7073.0,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,651c10cdf893ceabafc002da,11:29:59 AM,1/15/2024
survey,introduction,sjAannmt3JPZXAGVAotLBUUqIty2,,html-button-response,4,78263,0.0-4.0-0.0-0.0,12779.0,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,,,,,,,,,,,,651c10cdf893ceabafc002da,11:29:59 AM,1/15/2024
survey,STAI,sjAannmt3JPZXAGVAotLBUUqIty2,,html-button-response,5,85367,0.0-4.0-1.0-0.0-0.0,7099.0,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> A number of statements which people have used to describe themselves are
given below. Read each statement and then rate according to the labels to
indicate <b>how you generally feel</b>.<br>
There are no right or wrong answers. Do not spend too much time on any one
statement but give the answer which seems to describe how you generally feel.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,651c10cdf893ceabafc002da,11:29:59 AM,1/15/2024
survey,STAI,sjAannmt3JPZXAGVAotLBUUqIty2,,lmdlab-survey-likert,6,149663,0.0-4.0-1.0-0.0-1.0,,,,"{""STAI1"":2,""STAI3"":3,""STAI4"":0,""STAI6"":2,""STAI7"":2,""STAI8"":1,""STAI9"":1,""STAI10"":2,""STAI11"":1,""STAI12"":0,""STAI13"":2,""STAI14"":1,""Catch"":0,""STAI15"":0,""STAI16"":2,""STAI17"":1,""STAI18"":1,""STAI19"":2,""STAI20"":0,""BDI5"":2,""LOTR1"":2,""RRQ3"":1}","{""trialStart"":240408,""STAI1"":2212,""STAI3"":4028,""STAI4"":8779,""STAI6"":10659,""STAI7"":12412,""STAI8"":15315,""STAI9"":19548,""STAI10"":21084,""STAI11"":23076,""STAI12"":24587,""STAI13"":26212,""STAI14"":27388,""Catch"":31508,""STAI15"":34645,""STAI16"":36021,""STAI17"":40500,""STAI18"":43868,""STAI19"":45244,""STAI20"":51340,""BDI5"":55428,""LOTR1"":59316,""RRQ3"":62236}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,,,,,,,,651c10cdf893ceabafc002da,11:29:59 AM,1/15/2024
survey,OCIR,sjAannmt3JPZXAGVAotLBUUqIty2,,html-button-response,7,173687,0.0-4.0-1.0-1.0-0.0,24023.0,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> The following statements refer to experiences that many people have in their
everyday lives. Rate according to the label that best describes <b>how much</b>
that experience has <b>distressed</b> or <b>bothered</b> you during the <b>past month</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,651c10cdf893ceabafc002da,11:29:59 AM,1/15/2024
survey,OCIR_10,sjAannmt3JPZXAGVAotLBUUqIty2,,lmdlab-survey-likert,8,223634,0.0-4.0-1.0-1.0-1.0,,,,"{""OCIR2"":2,""OCIR3"":3,""OCIR4"":0,""OCIR6"":1,""OCIR7"":0,""OCIR9"":2,""OCIR12"":2,""OCIR13"":0,""OCIR15"":3,""OCIR18"":2}","{""trialStart"":328726,""OCIR2"":3942,""OCIR3"":6198,""OCIR4"":9526,""OCIR6"":16309,""OCIR7"":19013,""OCIR9"":22430,""OCIR12"":29862,""OCIR13"":41901,""OCIR15"":45070,""OCIR18"":47886}","[0,1,2,3,4,5,6,7,8,9]",,,,,,,,,651c10cdf893ceabafc002da,11:29:59 AM,1/15/2024
survey,MASQ_7,sjAannmt3JPZXAGVAotLBUUqIty2,,html-button-response,9,227591,0.0-4.0-1.0-2.0-0.0,3955.0,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Below is a list of feelings, sensations, problems, and experiences that people sometimes have.
Read each item and then choose the response that best describes how much you have felt or
experienced things this way during the <b>past week, including today</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,651c10cdf893ceabafc002da,11:29:59 AM,1/15/2024
