exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,rest_warning,span,answer,correct,correct_full,span_history,q_name,choice_idxs,prolificID,start_time,date
all,fullscreen,0mUDLqmnzRQsprvEsjA3RvdieDT2,0mUDLqmnzRQsprvEsjA3RvdieDT2,lmdlab-fullscreen,0,2799,0.0-0.0,,,,,,,,,,,,,,,5ecaf63fc6a81f000bd94777,11:32:22,15/01/2024
delaylearn,instructions,0mUDLqmnzRQsprvEsjA3RvdieDT2,0mUDLqmnzRQsprvEsjA3RvdieDT2,lmdlab-rest-trial,1,337406,0.0-1.0,334092.6999999881,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,5ecaf63fc6a81f000bd94777,11:32:22,15/01/2024
delaylearn,survey,0mUDLqmnzRQsprvEsjA3RvdieDT2,0mUDLqmnzRQsprvEsjA3RvdieDT2,lmdlab-html-vas-response,2,342536,0.0-2.0,3604.0,How <b>happy</b> are you right now?,0.6902777777777778,,,,,,,,,,,,5ecaf63fc6a81f000bd94777,11:32:22,15/01/2024
delaylearn,instructions,0mUDLqmnzRQsprvEsjA3RvdieDT2,0mUDLqmnzRQsprvEsjA3RvdieDT2,lmdlab-rest-trial,3,348376,0.0-3.0,5338.200000047684,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,5ecaf63fc6a81f000bd94777,11:32:22,15/01/2024
survey,introduction,0mUDLqmnzRQsprvEsjA3RvdieDT2,,html-button-response,4,362042,0.0-4.0-0.0-0.0,13663.599999964237,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,,,,,,,,,,,,5ecaf63fc6a81f000bd94777,11:32:22,15/01/2024
survey,PHQ9,0mUDLqmnzRQsprvEsjA3RvdieDT2,,html-button-response,5,367943,0.0-4.0-1.0-0.0-0.0,5896.699999988079,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Over the <u>last two weeks</u>, how often have you been bothered by any of the following problems?</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5ecaf63fc6a81f000bd94777,11:32:22,15/01/2024
survey,PHQ9,0mUDLqmnzRQsprvEsjA3RvdieDT2,,lmdlab-survey-likert,6,417824,0.0-4.0-1.0-0.0-1.0,,,,"{""PHQ1"":1,""PHQ2"":0,""PHQ3"":2,""PHQ4"":1,""Catch"":0,""PHQ5"":1,""PHQ6"":1,""PHQ7"":1,""PHQ8"":0,""PHQ9"":0}","{""trialStart"":451170.3000000119,""PHQ1"":4890.600000023842,""PHQ2"":8187.300000011921,""PHQ3"":11385.199999988079,""PHQ4"":14691,""Catch"":21117.19999998808,""PHQ5"":30576.80000001192,""PHQ6"":36679,""PHQ7"":39145.19999998808,""PHQ8"":44854.60000002384,""PHQ9"":47636.10000002384}","[0,1,2,3,4,5,6,7,8,9]",,,,,,,,,5ecaf63fc6a81f000bd94777,11:32:22,15/01/2024
survey,SDS,0mUDLqmnzRQsprvEsjA3RvdieDT2,,html-button-response,7,423755,0.0-4.0-1.0-1.0-0.0,5929.400000035763,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Please read each statement and decide <b>how much</b> of the
time the statement describes how you have been feeling
during the <b>past several days</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5ecaf63fc6a81f000bd94777,11:32:22,15/01/2024
survey,SDS,0mUDLqmnzRQsprvEsjA3RvdieDT2,,lmdlab-survey-likert,8,483989,0.0-4.0-1.0-1.0-1.0,,,,"{""SDS2"":1,""SDS3"":0,""SDS5"":2,""SDS6"":1,""SDS7"":1,""SDS8"":0,""Catch"":0,""SDS9"":0,""SDS10"":0,""SDS11"":2,""SDS12"":2,""SDS14"":3,""SDS16"":2,""SDS17"":2,""SDS18"":1,""SDS20"":2}","{""trialStart"":506979,""SDS2"":5028.300000011921,""SDS3"":6765,""SDS5"":10830.100000023842,""SDS6"":14262.700000047684,""SDS8"":20464.400000035763,""Catch"":24256.100000023842,""SDS9"":26884.700000047684,""SDS10"":28878,""SDS11"":31584,""SDS12"":33744.10000002384,""SDS14"":37821.90000003576,""SDS16"":39291.90000003576,""SDS17"":41736.5,""SDS18"":44224.5,""SDS20"":45852.10000002384,""SDS7"":50312.10000002384}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,,,,,,5ecaf63fc6a81f000bd94777,11:32:22,15/01/2024
survey,PVSS,0mUDLqmnzRQsprvEsjA3RvdieDT2,,html-button-response,9,505389,0.0-4.0-1.0-2.0-0.0,21396.19999998808,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Please indicate to what extent these statements describe your responses <b>over the last two 
weeks, including today</b>.<br>
Did you <b>not</b> have this experience? No problem. Please indicate how you <u>would have responded</u>
if you had experienced the situation over the last two weeks.</b><br>
Please consider only the aspect of the situation that is described, paying particular attention to
the <u>underlined text</u>. For example, if the statement says, ""<u>I wanted</u> to meet new people,"" rate
how much you wanted or would have wanted to meet new people over the last two weeks,
assuming that the opportunity presented itself. Do not consider what the situation would have
required of you or whether it would have been possible for you to meet people.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5ecaf63fc6a81f000bd94777,11:32:22,15/01/2024
