exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,rest_warning,span,answer,correct,correct_full,span_history,q_name,choice_idxs,prolificID,start_time,date
all,fullscreen,u4KBl5Z9qCPr3K5JLVq9vgC4Du13,u4KBl5Z9qCPr3K5JLVq9vgC4Du13,lmdlab-fullscreen,0,2700,0.0-0.0,,,,,,,,,,,,,,,65031d5ca9f619d9e0412f0a,11:32:31,15/01/2024
delaylearn,instructions,u4KBl5Z9qCPr3K5JLVq9vgC4Du13,u4KBl5Z9qCPr3K5JLVq9vgC4Du13,lmdlab-rest-trial,1,26315,0.0-1.0,23108.899999999994,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,65031d5ca9f619d9e0412f0a,11:32:31,15/01/2024
delaylearn,survey,u4KBl5Z9qCPr3K5JLVq9vgC4Du13,u4KBl5Z9qCPr3K5JLVq9vgC4Du13,lmdlab-html-vas-response,2,31108,0.0-2.0,3244.0,How <b>happy</b> are you right now?,0.7565585710238906,,,,,,,,,,,,65031d5ca9f619d9e0412f0a,11:32:31,15/01/2024
delaylearn,instructions,u4KBl5Z9qCPr3K5JLVq9vgC4Du13,u4KBl5Z9qCPr3K5JLVq9vgC4Du13,lmdlab-rest-trial,3,39276,0.0-3.0,7659.100000000006,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,65031d5ca9f619d9e0412f0a,11:32:31,15/01/2024
survey,introduction,u4KBl5Z9qCPr3K5JLVq9vgC4Du13,,html-button-response,4,49470,0.0-4.0-0.0-0.0,10191.599999999991,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,,,,,,,,,,,,65031d5ca9f619d9e0412f0a,11:32:31,15/01/2024
survey,GAD7,u4KBl5Z9qCPr3K5JLVq9vgC4Du13,,html-button-response,5,65527,0.0-4.0-1.0-0.0-0.0,16053.599999999977,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Over the <u>last two weeks</u>, how often have you been bothered by the following problems?</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,65031d5ca9f619d9e0412f0a,11:32:31,15/01/2024
survey,GAD7,u4KBl5Z9qCPr3K5JLVq9vgC4Du13,,lmdlab-survey-likert,6,119066,0.0-4.0-1.0-0.0-1.0,,,,"{""GAD1"":1,""GAD2"":1,""GAD3"":1,""GAD4"":0,""GAD5"":0,""GAD6"":1,""GAD7"":0}","{""trialStart"":155089.3,""GAD1"":13363.400000000023,""GAD2"":22450.100000000035,""GAD3"":27232.600000000035,""GAD4"":29202.29999999999,""GAD5"":38575.79999999999,""GAD6"":40745.40000000002,""GAD7"":48307.90000000002}","[0,1,2,3,4,5,6]",,,,,,,,,65031d5ca9f619d9e0412f0a,11:32:31,15/01/2024
survey,STICSA,u4KBl5Z9qCPr3K5JLVq9vgC4Du13,,html-button-response,7,146635,0.0-4.0-1.0-1.0-0.0,27565.79999999999,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> You will see a list of statements which can be used to describe how people feel.
Below each statement are four options which indicate how often each statement
is true of you. Please read each statement carefully and select the option which best indicates
how often, <b>in general</b>, the statement is true of you.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,65031d5ca9f619d9e0412f0a,11:32:31,15/01/2024
survey,STICSA,u4KBl5Z9qCPr3K5JLVq9vgC4Du13,,lmdlab-survey-likert,8,197808,0.0-4.0-1.0-1.0-1.0,,,,"{""STICSA2"":0,""STICSA6"":0,""STICSA7"":0,""STICSA8"":0,""STICSA12"":1,""STICSA14"":0,""Catch"":3,""STICSA15"":1,""STICSA18"":1,""STICSA20"":1,""STICSA21"":0}","{""trialStart"":236197.7,""STICSA2"":11127.799999999988,""STICSA6"":9998.099999999977,""STICSA7"":15769.799999999988,""STICSA8"":19411.599999999977,""STICSA12"":24094.29999999999,""STICSA14"":26277,""Catch"":29630.5,""STICSA15"":31816.29999999999,""STICSA18"":39388.09999999998,""STICSA20"":42646.899999999965,""STICSA21"":46883.19999999995}","[0,1,2,3,4,5,6,7,8,9,10]",,,,,,,,,65031d5ca9f619d9e0412f0a,11:32:31,15/01/2024
survey,BIS,u4KBl5Z9qCPr3K5JLVq9vgC4Du13,,html-button-response,9,206009,0.0-4.0-1.0-2.0-0.0,8197.0,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> People differ in the ways they act and think in different situations.
This is a test to measure some of the ways in which you act and think.
Read each statement and select the option that describes you.
Do not spend too much time on any statement. Answer quickly and honestly.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,65031d5ca9f619d9e0412f0a,11:32:31,15/01/2024
survey,BIS_12,u4KBl5Z9qCPr3K5JLVq9vgC4Du13,u4KBl5Z9qCPr3K5JLVq9vgC4Du13,lmdlab-survey-likert,10,251194,0.0-4.0-1.0-2.0-1.0,,,,"{""BIS6"":1,""BIS14"":1,""Catch"":0,""BIS17"":1,""BIS19"":2,""BIS22"":1,""BIS25"":1}","{""trialStart"":295571.7,""BIS6"":2485,""BIS14"":9573.399999999965,""Catch"":18369.29999999999,""BIS17"":25479.699999999953,""BIS19"":32102.599999999977,""BIS22"":34650.399999999965,""BIS25"":40466.399999999965}","[0,1,2,3,4,5,6]",,,,,,,,,65031d5ca9f619d9e0412f0a,11:32:31,15/01/2024
