exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,rest_warning,span,answer,correct,correct_full,span_history,q_name,choice_idxs,prolificID,start_time,date
all,fullscreen,fr16PuQqGGRsUeHJUOTdCQEy3kZ2,fr16PuQqGGRsUeHJUOTdCQEy3kZ2,lmdlab-fullscreen,0,2447,0.0-0.0,,,,,,,,,,,,,,,5fa3f7e08b658405a2f1bd36,11:33:11,15/01/2024
delaylearn,instructions,fr16PuQqGGRsUeHJUOTdCQEy3kZ2,fr16PuQqGGRsUeHJUOTdCQEy3kZ2,lmdlab-rest-trial,1,18336,0.0-1.0,15374.199999988079,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,5fa3f7e08b658405a2f1bd36,11:33:11,15/01/2024
delaylearn,survey,fr16PuQqGGRsUeHJUOTdCQEy3kZ2,fr16PuQqGGRsUeHJUOTdCQEy3kZ2,lmdlab-html-vas-response,2,22877,0.0-2.0,3020.0,How <b>happy</b> are you right now?,0.9890046649509006,,,,,,,,,,,,5fa3f7e08b658405a2f1bd36,11:33:11,15/01/2024
delaylearn,instructions,fr16PuQqGGRsUeHJUOTdCQEy3kZ2,fr16PuQqGGRsUeHJUOTdCQEy3kZ2,lmdlab-rest-trial,3,27755,0.0-3.0,4374.400000035763,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,5fa3f7e08b658405a2f1bd36,11:33:11,15/01/2024
survey,introduction,fr16PuQqGGRsUeHJUOTdCQEy3kZ2,,html-button-response,4,31438,0.0-4.0-0.0-0.0,3680.699999988079,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,,,,,,,,,,,,5fa3f7e08b658405a2f1bd36,11:33:11,15/01/2024
survey,PVSS,fr16PuQqGGRsUeHJUOTdCQEy3kZ2,,html-button-response,5,47591,0.0-4.0-1.0-0.0-0.0,16148.699999988079,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Please indicate to what extent these statements describe your responses <b>over the last two 
weeks, including today</b>.<br>
Did you <b>not</b> have this experience? No problem. Please indicate how you <u>would have responded</u>
if you had experienced the situation over the last two weeks.</b><br>
Please consider only the aspect of the situation that is described, paying particular attention to
the <u>underlined text</u>. For example, if the statement says, ""<u>I wanted</u> to meet new people,"" rate
how much you wanted or would have wanted to meet new people over the last two weeks,
assuming that the opportunity presented itself. Do not consider what the situation would have
required of you or whether it would have been possible for you to meet people.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5fa3f7e08b658405a2f1bd36,11:33:11,15/01/2024
survey,PVSS,fr16PuQqGGRsUeHJUOTdCQEy3kZ2,,lmdlab-survey-likert,6,134502,0.0-4.0-1.0-0.0-1.0,,,,"{""PVSS1"":8,""PVSS2"":8,""PVSS3"":6,""PVSS4"":5,""PVSS5"":8,""PVSS6"":4,""PVSS7"":6,""PVSS8"":8,""Catch"":8,""PVSS9"":8,""PVSS10"":6,""PVSS11"":4,""PVSS12"":8,""PVSS13"":8,""PVSS14"":8,""PVSS15"":8,""PVSS16"":8,""PVSS17"":8,""PVSS18"":0,""PVSS19"":8,""PVSS20"":5,""PVSS21"":3}","{""trialStart"":69689.30000001192,""PVSS1"":3938.199999988079,""PVSS2"":9754.399999976158,""PVSS3"":12954,""PVSS4"":15361.399999976158,""PVSS5"":18946.69999998808,""PVSS6"":23089.899999976158,""PVSS7"":26497.30000001192,""PVSS8"":32234.599999964237,""Catch"":35193.19999998808,""PVSS9"":41441.59999996424,""PVSS10"":46730,""PVSS11"":50481.80000001192,""PVSS12"":55081.5,""PVSS13"":58049.59999996424,""PVSS14"":63914.39999997616,""PVSS15"":66402.69999998808,""PVSS16"":68736.89999997616,""PVSS17"":70651,""PVSS18"":75257.19999998808,""PVSS19"":78802.5,""PVSS20"":82258.89999997616,""PVSS21"":84858.19999998808}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,,,,,,,,5fa3f7e08b658405a2f1bd36,11:33:11,15/01/2024
survey,SDS,fr16PuQqGGRsUeHJUOTdCQEy3kZ2,,html-button-response,7,139657,0.0-4.0-1.0-1.0-0.0,5151.300000011921,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Please read each statement and decide <b>how much</b> of the
time the statement describes how you have been feeling
during the <b>past several days</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5fa3f7e08b658405a2f1bd36,11:33:11,15/01/2024
survey,SDS,fr16PuQqGGRsUeHJUOTdCQEy3kZ2,,lmdlab-survey-likert,8,182659,0.0-4.0-1.0-1.0-1.0,,,,"{""SDS2"":3,""SDS3"":1,""SDS5"":0,""SDS6"":0,""SDS7"":2,""SDS8"":0,""Catch"":0,""SDS9"":1,""SDS10"":1,""SDS11"":2,""SDS12"":3,""SDS14"":3,""SDS16"":3,""SDS17"":3,""SDS18"":3,""SDS20"":3}","{""trialStart"":161752.30000001192,""SDS2"":3306.899999976158,""SDS3"":8273.699999988079,""SDS5"":10330.5,""SDS6"":11842.399999976158,""SDS7"":14139.099999964237,""SDS8"":16738.399999976158,""Catch"":21859,""SDS9"":26027.19999998808,""SDS10"":28442.80000001192,""SDS11"":30883,""SDS12"":33010.89999997616,""SDS14"":34515,""SDS16"":36179.09999996424,""SDS17"":37947,""SDS18"":40090.69999998808,""SDS20"":41091}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,,,,,,5fa3f7e08b658405a2f1bd36,11:33:11,15/01/2024
survey,AES,fr16PuQqGGRsUeHJUOTdCQEy3kZ2,,html-button-response,9,186872,0.0-4.0-1.0-2.0-0.0,4209.299999952316,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> For each question, choose the answer that best describes your
thoughts, feelings, and actions during the <b>past 4 weeks</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5fa3f7e08b658405a2f1bd36,11:33:11,15/01/2024
