exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,rest_warning,span,answer,correct,correct_full,span_history,q_name,choice_idxs,prolificID,start_time,date
all,fullscreen,SqFeJRlV9ucg0TYrolwcRaN2cNv1,SqFeJRlV9ucg0TYrolwcRaN2cNv1,lmdlab-fullscreen,0,2317,0.0-0.0,,,,,,,,,,,,,,,5cdf33619e96db0015aec6a6,11:35:11,15/01/2024
delaylearn,instructions,SqFeJRlV9ucg0TYrolwcRaN2cNv1,SqFeJRlV9ucg0TYrolwcRaN2cNv1,lmdlab-rest-trial,1,597790,0.0-1.0,594970.9000000004,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,5cdf33619e96db0015aec6a6,11:35:11,15/01/2024
delaylearn,survey,SqFeJRlV9ucg0TYrolwcRaN2cNv1,SqFeJRlV9ucg0TYrolwcRaN2cNv1,lmdlab-html-vas-response,2,602973,0.0-2.0,3653.0,How <b>happy</b> are you right now?,0.6481481481481481,,,,,,,,,,,,5cdf33619e96db0015aec6a6,11:35:11,15/01/2024
delaylearn,instructions,SqFeJRlV9ucg0TYrolwcRaN2cNv1,SqFeJRlV9ucg0TYrolwcRaN2cNv1,lmdlab-rest-trial,3,608796,0.0-3.0,5305.899999999441,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,5cdf33619e96db0015aec6a6,11:35:11,15/01/2024
survey,introduction,SqFeJRlV9ucg0TYrolwcRaN2cNv1,,html-button-response,4,616718,0.0-4.0-0.0-0.0,7921.5,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,,,,,,,,,,,,5cdf33619e96db0015aec6a6,11:35:11,15/01/2024
survey,STAI,SqFeJRlV9ucg0TYrolwcRaN2cNv1,,html-button-response,5,626552,0.0-4.0-1.0-0.0-0.0,9832.400000000373,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> A number of statements which people have used to describe themselves are
given below. Read each statement and then rate according to the labels to
indicate <b>how you generally feel</b>.<br>
There are no right or wrong answers. Do not spend too much time on any one
statement but give the answer which seems to describe how you generally feel.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5cdf33619e96db0015aec6a6,11:35:11,15/01/2024
survey,STAI,SqFeJRlV9ucg0TYrolwcRaN2cNv1,,lmdlab-survey-likert,6,698578,0.0-4.0-1.0-0.0-1.0,,,,"{""STAI1"":1,""STAI3"":1,""STAI4"":1,""STAI6"":0,""STAI7"":1,""STAI8"":0,""STAI9"":0,""STAI10"":1,""STAI11"":0,""STAI12"":2,""STAI13"":1,""STAI14"":2,""Catch"":0,""STAI15"":1,""STAI16"":1,""STAI17"":0,""STAI18"":0,""STAI19"":2,""STAI20"":0,""BDI5"":2,""LOTR1"":0,""RRQ3"":0}","{""trialStart"":655600.5,""STAI1"":9911.200000000186,""STAI3"":11469.299999999814,""STAI4"":15311.799999999814,""STAI6"":17392.099999999627,""STAI7"":20306,""STAI8"":24255.200000000186,""STAI9"":26188,""STAI10"":27303.599999999627,""STAI11"":28805.599999999627,""STAI12"":31116.599999999627,""STAI13"":32891.299999999814,""STAI14"":34300.799999999814,""Catch"":36040.799999999814,""STAI15"":38662.40000000037,""STAI16"":40048.5,""STAI17"":42504,""STAI18"":47861.90000000037,""STAI19"":49346.799999999814,""STAI20"":57460.90000000037,""BDI5"":59677.09999999963,""LOTR1"":66385.5,""RRQ3"":70224.29999999981}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,,,,,,,,5cdf33619e96db0015aec6a6,11:35:11,15/01/2024
survey,SDS,SqFeJRlV9ucg0TYrolwcRaN2cNv1,,html-button-response,7,703733,0.0-4.0-1.0-1.0-0.0,5153.199999999255,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Please read each statement and decide <b>how much</b> of the
time the statement describes how you have been feeling
during the <b>past several days</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5cdf33619e96db0015aec6a6,11:35:11,15/01/2024
survey,SDS,SqFeJRlV9ucg0TYrolwcRaN2cNv1,,lmdlab-survey-likert,8,770794,0.0-4.0-1.0-1.0-1.0,,,,"{""SDS2"":0,""SDS3"":0,""SDS5"":2,""SDS6"":2,""SDS7"":0,""SDS8"":0,""Catch"":0,""SDS9"":0,""SDS10"":2,""SDS11"":1,""SDS12"":2,""SDS14"":1,""SDS16"":2,""SDS17"":1,""SDS18"":1,""SDS20"":2}","{""trialStart"":732780.2000000002,""SDS2"":2605.899999999441,""SDS3"":4042.7999999998137,""SDS5"":7561.5,""SDS6"":9253.700000000186,""SDS7"":12832.599999999627,""SDS8"":15352.599999999627,""Catch"":26334.39999999944,""SDS9"":28065.39999999944,""SDS10"":33390.39999999944,""SDS11"":35049.799999999814,""SDS12"":37331.299999999814,""SDS14"":38735,""SDS16"":40929.39999999944,""SDS17"":62823.39999999944,""SDS18"":64280.89999999944,""SDS20"":65479.09999999963}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,,,,,,5cdf33619e96db0015aec6a6,11:35:11,15/01/2024
survey,BIS,SqFeJRlV9ucg0TYrolwcRaN2cNv1,,html-button-response,9,778602,0.0-4.0-1.0-2.0-0.0,7807.700000000186,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> People differ in the ways they act and think in different situations.
This is a test to measure some of the ways in which you act and think.
Read each statement and select the option that describes you.
Do not spend too much time on any statement. Answer quickly and honestly.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5cdf33619e96db0015aec6a6,11:35:11,15/01/2024
survey,BIS_12,SqFeJRlV9ucg0TYrolwcRaN2cNv1,SqFeJRlV9ucg0TYrolwcRaN2cNv1,lmdlab-survey-likert,10,801455,0.0-4.0-1.0-2.0-1.0,,,,"{""BIS6"":0,""BIS14"":1,""Catch"":0,""BIS17"":2,""BIS19"":2,""BIS22"":1,""BIS25"":1}","{""trialStart"":807649.4000000004,""BIS6"":5110.0999999996275,""BIS14"":7596.399999999441,""Catch"":11758,""BIS17"":14314.399999999441,""BIS19"":15304.599999999627,""BIS22"":16993.799999999814,""BIS25"":19930.099999999627}","[0,1,2,3,4,5,6]",,,,,,,,,5cdf33619e96db0015aec6a6,11:35:11,15/01/2024
survey,OCIR,SqFeJRlV9ucg0TYrolwcRaN2cNv1,,html-button-response,11,815224,0.0-4.0-1.0-3.0-0.0,13768.299999999814,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> The following statements refer to experiences that many people have in their
everyday lives. Rate according to the label that best describes <b>how much</b>
that experience has <b>distressed</b> or <b>bothered</b> you during the <b>past month</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5cdf33619e96db0015aec6a6,11:35:11,15/01/2024
survey,OCIR_10,SqFeJRlV9ucg0TYrolwcRaN2cNv1,,lmdlab-survey-likert,12,856134,0.0-4.0-1.0-3.0-1.0,,,,"{""OCIR2"":1,""OCIR3"":0,""OCIR4"":0,""OCIR6"":2,""OCIR7"":1,""OCIR9"":0,""OCIR12"":1,""OCIR13"":1,""OCIR15"":0,""OCIR18"":0}","{""trialStart"":844271.5,""OCIR2"":1884.7999999998137,""OCIR3"":5376.9000000003725,""OCIR4"":7118.700000000186,""OCIR6"":9970.099999999627,""OCIR7"":11420.5,""OCIR9"":13357.599999999627,""OCIR12"":31699.299999999814,""OCIR13"":35484.5,""OCIR15"":37342.09999999963,""OCIR18"":39339.40000000037}","[0,1,2,3,4,5,6,7,8,9]",,,,,,,,,5cdf33619e96db0015aec6a6,11:35:11,15/01/2024
