exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,rest_warning,span,answer,correct,correct_full,span_history,q_name,choice_idxs,prolificID,start_time,date
all,fullscreen,gWU5ytj7RgcqFo322Mxc5ZjSWD73,gWU5ytj7RgcqFo322Mxc5ZjSWD73,lmdlab-fullscreen,0,2418,0.0-0.0,,,,,,,,,,,,,,,5d8492ecb485f60018b006a6,11:36:20,15/01/2024
delaylearn,instructions,gWU5ytj7RgcqFo322Mxc5ZjSWD73,gWU5ytj7RgcqFo322Mxc5ZjSWD73,lmdlab-rest-trial,1,19495,0.0-1.0,16574.399999999907,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,5d8492ecb485f60018b006a6,11:36:20,15/01/2024
delaylearn,survey,gWU5ytj7RgcqFo322Mxc5ZjSWD73,gWU5ytj7RgcqFo322Mxc5ZjSWD73,lmdlab-html-vas-response,2,26703,0.0-2.0,5680.0,How <b>happy</b> are you right now?,0.23148148148148148,,,,,,,,,,,,5d8492ecb485f60018b006a6,11:36:20,15/01/2024
delaylearn,instructions,gWU5ytj7RgcqFo322Mxc5ZjSWD73,gWU5ytj7RgcqFo322Mxc5ZjSWD73,lmdlab-rest-trial,3,32057,0.0-3.0,4851.0,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,5d8492ecb485f60018b006a6,11:36:20,15/01/2024
survey,introduction,gWU5ytj7RgcqFo322Mxc5ZjSWD73,,html-button-response,4,40220,0.0-4.0-0.0-0.0,8160.800000000279,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,,,,,,,,,,,,5d8492ecb485f60018b006a6,11:36:20,15/01/2024
survey,PHQ9,gWU5ytj7RgcqFo322Mxc5ZjSWD73,,html-button-response,5,44969,0.0-4.0-1.0-0.0-0.0,4746.399999999907,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Over the <u>last two weeks</u>, how often have you been bothered by any of the following problems?</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5d8492ecb485f60018b006a6,11:36:20,15/01/2024
survey,PHQ9,gWU5ytj7RgcqFo322Mxc5ZjSWD73,,lmdlab-survey-likert,6,85728,0.0-4.0-1.0-0.0-1.0,,,,"{""PHQ1"":0,""PHQ2"":1,""PHQ3"":1,""PHQ4"":1,""Catch"":1,""PHQ5"":0,""PHQ6"":1,""PHQ7"":1,""PHQ8"":0,""PHQ9"":0}","{""trialStart"":160998.5,""PHQ1"":6103.4000000003725,""PHQ2"":8308,""PHQ3"":14198.900000000373,""PHQ4"":16821.100000000093,""Catch"":20798.200000000186,""PHQ5"":23032.100000000093,""PHQ6"":27097.30000000028,""PHQ7"":31199,""PHQ8"":33629.60000000009,""PHQ9"":38608.60000000009}","[0,1,2,3,4,5,6,7,8,9]",,,,,,,,,5d8492ecb485f60018b006a6,11:36:20,15/01/2024
survey,GAD7,gWU5ytj7RgcqFo322Mxc5ZjSWD73,,html-button-response,7,88933,0.0-4.0-1.0-1.0-0.0,3203.600000000093,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Over the <u>last two weeks</u>, how often have you been bothered by the following problems?</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5d8492ecb485f60018b006a6,11:36:20,15/01/2024
survey,GAD7,gWU5ytj7RgcqFo322Mxc5ZjSWD73,,lmdlab-survey-likert,8,110605,0.0-4.0-1.0-1.0-1.0,,,,"{""GAD1"":1,""GAD2"":1,""GAD3"":0,""GAD4"":1,""GAD5"":1,""GAD6"":1,""GAD7"":0}","{""trialStart"":204957.30000000028,""GAD1"":4393.699999999721,""GAD2"":6838.399999999907,""GAD3"":9576.5,""GAD4"":13559.5,""GAD5"":15554,""GAD6"":16881.19999999972,""GAD7"":19596.100000000093}","[0,1,2,3,4,5,6]",,,,,,,,,5d8492ecb485f60018b006a6,11:36:20,15/01/2024
survey,MASQ_7,gWU5ytj7RgcqFo322Mxc5ZjSWD73,,html-button-response,9,179747,0.0-4.0-1.0-2.0-0.0,69139.30000000028,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Below is a list of feelings, sensations, problems, and experiences that people sometimes have.
Read each item and then choose the response that best describes how much you have felt or
experienced things this way during the <b>past week, including today</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5d8492ecb485f60018b006a6,11:36:20,15/01/2024
