exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,rest_warning,span,answer,correct,correct_full,span_history,q_name,choice_idxs,prolificID,start_time,date
all,fullscreen,6mrkX4UgxeZLKOZ3deC3wAz8w3S2,6mrkX4UgxeZLKOZ3deC3wAz8w3S2,lmdlab-fullscreen,0,2511,0.0-0.0,,,,,,,,,,,,,,,629f2a1f516a323b811b8273,11:37:22,15/01/2024
delaylearn,instructions,6mrkX4UgxeZLKOZ3deC3wAz8w3S2,6mrkX4UgxeZLKOZ3deC3wAz8w3S2,lmdlab-rest-trial,1,6194,0.0-1.0,3169.5,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,629f2a1f516a323b811b8273,11:37:22,15/01/2024
delaylearn,survey,6mrkX4UgxeZLKOZ3deC3wAz8w3S2,6mrkX4UgxeZLKOZ3deC3wAz8w3S2,lmdlab-html-vas-response,2,11630,0.0-2.0,3907.0,How <b>happy</b> are you right now?,0.7449844974948978,,,,,,,,,,,,629f2a1f516a323b811b8273,11:37:22,15/01/2024
delaylearn,instructions,6mrkX4UgxeZLKOZ3deC3wAz8w3S2,6mrkX4UgxeZLKOZ3deC3wAz8w3S2,lmdlab-rest-trial,3,22492,0.0-3.0,10356.200000017881,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,629f2a1f516a323b811b8273,11:37:22,15/01/2024
survey,introduction,6mrkX4UgxeZLKOZ3deC3wAz8w3S2,,html-button-response,4,33404,0.0-4.0-0.0-0.0,10908.899999976158,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,,,,,,,,,,,,629f2a1f516a323b811b8273,11:37:22,15/01/2024
survey,MASQ_7,6mrkX4UgxeZLKOZ3deC3wAz8w3S2,,html-button-response,5,45608,0.0-4.0-1.0-0.0-0.0,12203.09999999404,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Below is a list of feelings, sensations, problems, and experiences that people sometimes have.
Read each item and then choose the response that best describes how much you have felt or
experienced things this way during the <b>past week, including today</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,629f2a1f516a323b811b8273,11:37:22,15/01/2024
survey,MASQ_7,6mrkX4UgxeZLKOZ3deC3wAz8w3S2,,lmdlab-survey-likert,6,101575,0.0-4.0-1.0-0.0-1.0,,,,"{""MASQ1"":2,""MASQ5"":1,""MASQ9"":1,""MASQ11"":3,""MASQ15"":2,""MASQ19"":1,""MASQ23"":2,""MASQ25"":0,""HADS2"":3,""HADS6"":0}","{""trialStart"":73575.20000001788,""MASQ1"":17887.5,""MASQ5"":9176.59999999404,""MASQ9"":13632.699999988079,""MASQ11"":16121,""MASQ15"":24029.09999999404,""MASQ19"":28523.899999976158,""MASQ23"":31896.79999998212,""MASQ25"":36151.09999999404,""HADS2"":45398.5,""HADS6"":52919.69999998808}","[0,1,2,3,4,5,6,7,8,9]",,,,,,,,,629f2a1f516a323b811b8273,11:37:22,15/01/2024
survey,STAI,6mrkX4UgxeZLKOZ3deC3wAz8w3S2,,html-button-response,7,107769,0.0-4.0-1.0-1.0-0.0,6191.700000017881,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> A number of statements which people have used to describe themselves are
given below. Read each statement and then rate according to the labels to
indicate <b>how you generally feel</b>.<br>
There are no right or wrong answers. Do not spend too much time on any one
statement but give the answer which seems to describe how you generally feel.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,629f2a1f516a323b811b8273,11:37:22,15/01/2024
survey,STAI,6mrkX4UgxeZLKOZ3deC3wAz8w3S2,,lmdlab-survey-likert,8,187278,0.0-4.0-1.0-1.0-1.0,,,,"{""STAI1"":2,""STAI3"":1,""STAI4"":1,""STAI6"":0,""STAI7"":3,""STAI8"":0,""STAI9"":1,""STAI10"":2,""STAI11"":0,""STAI12"":0,""STAI13"":2,""STAI14"":2,""Catch"":0,""STAI15"":0,""STAI16"":2,""STAI17"":2,""STAI18"":1,""STAI19"":2,""STAI20"":2,""BDI5"":0,""LOTR1"":2,""RRQ3"":1}","{""trialStart"":135735.59999999404,""STAI1"":3007.7000000178814,""STAI3"":5592.300000011921,""STAI4"":9533,""STAI6"":11715.100000023842,""STAI7"":14098.90000000596,""STAI8"":20671.5,""STAI9"":28230.600000023842,""STAI10"":29795.80000001192,""STAI11"":32171.90000000596,""STAI12"":34586.80000001192,""STAI13"":37026.60000002384,""STAI14"":38832.70000001788,""Catch"":41224.90000000596,""STAI15"":43543.80000001192,""STAI16"":46481.30000001192,""STAI17"":50059.90000000596,""STAI18"":63100.70000001788,""STAI19"":65186.5,""STAI20"":69591.30000001192,""BDI5"":73924.80000001192,""LOTR1"":76068.20000001788,""RRQ3"":77552.30000001192}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,,,,,,,,629f2a1f516a323b811b8273,11:37:22,15/01/2024
survey,PVSS,6mrkX4UgxeZLKOZ3deC3wAz8w3S2,,html-button-response,9,593894,0.0-4.0-1.0-2.0-0.0,406613.7000000179,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Please indicate to what extent these statements describe your responses <b>over the last two 
weeks, including today</b>.<br>
Did you <b>not</b> have this experience? No problem. Please indicate how you <u>would have responded</u>
if you had experienced the situation over the last two weeks.</b><br>
Please consider only the aspect of the situation that is described, paying particular attention to
the <u>underlined text</u>. For example, if the statement says, ""<u>I wanted</u> to meet new people,"" rate
how much you wanted or would have wanted to meet new people over the last two weeks,
assuming that the opportunity presented itself. Do not consider what the situation would have
required of you or whether it would have been possible for you to meet people.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,629f2a1f516a323b811b8273,11:37:22,15/01/2024
