exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,rest_warning,span,answer,correct,correct_full,span_history,q_name,choice_idxs,prolificID,start_time,date
all,fullscreen,awfAWVpPVhM8vSB83vWjyQIJoZu1,awfAWVpPVhM8vSB83vWjyQIJoZu1,lmdlab-fullscreen,0,3406,0.0-0.0,,,,,,,,,,,,,,,5ae5a3ff3ab2fb0001ef2b91,11:49:07,15/01/2024
delaylearn,instructions,awfAWVpPVhM8vSB83vWjyQIJoZu1,awfAWVpPVhM8vSB83vWjyQIJoZu1,lmdlab-rest-trial,1,52833,0.0-1.0,48915.5,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,5ae5a3ff3ab2fb0001ef2b91,11:49:07,15/01/2024
delaylearn,survey,awfAWVpPVhM8vSB83vWjyQIJoZu1,awfAWVpPVhM8vSB83vWjyQIJoZu1,lmdlab-html-vas-response,2,58180,0.0-2.0,3821.0,How <b>happy</b> are you right now?,0.7703703703703704,,,,,,,,,,,,5ae5a3ff3ab2fb0001ef2b91,11:49:07,15/01/2024
delaylearn,instructions,awfAWVpPVhM8vSB83vWjyQIJoZu1,awfAWVpPVhM8vSB83vWjyQIJoZu1,lmdlab-rest-trial,3,253944,0.0-3.0,195254.89999997616,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,5ae5a3ff3ab2fb0001ef2b91,11:49:07,15/01/2024
survey,introduction,awfAWVpPVhM8vSB83vWjyQIJoZu1,,html-button-response,4,384538,0.0-4.0-0.0-0.0,130589.10000002384,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,,,,,,,,,,,,5ae5a3ff3ab2fb0001ef2b91,11:49:07,15/01/2024
survey,MASQ_7,awfAWVpPVhM8vSB83vWjyQIJoZu1,,html-button-response,5,429726,0.0-4.0-1.0-0.0-0.0,45185.90000003576,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Below is a list of feelings, sensations, problems, and experiences that people sometimes have.
Read each item and then choose the response that best describes how much you have felt or
experienced things this way during the <b>past week, including today</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5ae5a3ff3ab2fb0001ef2b91,11:49:07,15/01/2024
survey,MASQ_7,awfAWVpPVhM8vSB83vWjyQIJoZu1,,lmdlab-survey-likert,6,491049,0.0-4.0-1.0-0.0-1.0,,,,"{""MASQ1"":3,""MASQ5"":1,""MASQ9"":3,""MASQ11"":3,""MASQ15"":3,""MASQ19"":3,""MASQ23"":3,""MASQ25"":3,""HADS2"":3,""HADS6"":3}","{""trialStart"":1098537.699999988,""MASQ1"":3434.399999976158,""MASQ5"":5795.699999988079,""MASQ9"":9156.699999988079,""MASQ11"":10130.699999988079,""MASQ19"":14755.899999976158,""MASQ23"":28739.099999964237,""MASQ25"":40132.89999997616,""HADS2"":44095.19999998808,""HADS6"":45191.30000001192,""MASQ15"":52153.59999996424}","[0,1,2,3,4,5,6,7,8,9]",,,,,,,,,5ae5a3ff3ab2fb0001ef2b91,11:49:07,15/01/2024
survey,SDS,awfAWVpPVhM8vSB83vWjyQIJoZu1,,html-button-response,7,524974,0.0-4.0-1.0-1.0-0.0,33920.69999998808,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Please read each statement and decide <b>how much</b> of the
time the statement describes how you have been feeling
during the <b>past several days</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5ae5a3ff3ab2fb0001ef2b91,11:49:07,15/01/2024
survey,SDS,awfAWVpPVhM8vSB83vWjyQIJoZu1,,lmdlab-survey-likert,8,592035,0.0-4.0-1.0-1.0-1.0,,,,"{""SDS2"":2,""SDS3"":1,""SDS5"":2,""SDS6"":2,""SDS7"":2,""SDS8"":1,""Catch"":0,""SDS9"":2,""SDS10"":1,""SDS11"":2,""SDS12"":2,""SDS14"":2,""SDS16"":2,""SDS17"":2,""SDS18"":2,""SDS20"":2}","{""trialStart"":1193777.8999999762,""SDS2"":2489.199999988079,""SDS3"":4874.899999976158,""SDS5"":8342.899999976158,""SDS6"":10848.5,""SDS7"":11860.899999976158,""SDS8"":26590.399999976158,""Catch"":21820.399999976158,""SDS10"":31444,""SDS11"":33069.19999998808,""SDS12"":34093.10000002384,""SDS14"":37489.39999997616,""SDS16"":41897.60000002384,""SDS17"":45438.89999997616,""SDS18"":48582.69999998808,""SDS20"":50087.89999997616,""SDS9"":61023.30000001192}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,,,,,,5ae5a3ff3ab2fb0001ef2b91,11:49:07,15/01/2024
survey,PVSS,awfAWVpPVhM8vSB83vWjyQIJoZu1,,html-button-response,9,630098,0.0-4.0-1.0-2.0-0.0,38057.700000047684,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Please indicate to what extent these statements describe your responses <b>over the last two 
weeks, including today</b>.<br>
Did you <b>not</b> have this experience? No problem. Please indicate how you <u>would have responded</u>
if you had experienced the situation over the last two weeks.</b><br>
Please consider only the aspect of the situation that is described, paying particular attention to
the <u>underlined text</u>. For example, if the statement says, ""<u>I wanted</u> to meet new people,"" rate
how much you wanted or would have wanted to meet new people over the last two weeks,
assuming that the opportunity presented itself. Do not consider what the situation would have
required of you or whether it would have been possible for you to meet people.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5ae5a3ff3ab2fb0001ef2b91,11:49:07,15/01/2024
