exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,rest_warning,span,answer,correct,correct_full,span_history,q_name,choice_idxs,prolificID,start_time,date
all,fullscreen,Vuj7LiRQc9Nx3P898vCEPPM08V32,Vuj7LiRQc9Nx3P898vCEPPM08V32,lmdlab-fullscreen,0,3295,0.0-0.0,,,,,,,,,,,,,,,644164d75b4cbe61ff891e64,11:56:43,15/01/2024
delaylearn,instructions,Vuj7LiRQc9Nx3P898vCEPPM08V32,Vuj7LiRQc9Nx3P898vCEPPM08V32,lmdlab-rest-trial,1,228843,0.0-1.0,225051.80000019073,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,644164d75b4cbe61ff891e64,11:56:43,15/01/2024
delaylearn,survey,Vuj7LiRQc9Nx3P898vCEPPM08V32,Vuj7LiRQc9Nx3P898vCEPPM08V32,lmdlab-html-vas-response,2,619112,0.0-2.0,388767.0,How <b>happy</b> are you right now?,0.34814814814814815,,,,,,,,,,,,644164d75b4cbe61ff891e64,11:56:43,15/01/2024
delaylearn,instructions,Vuj7LiRQc9Nx3P898vCEPPM08V32,Vuj7LiRQc9Nx3P898vCEPPM08V32,lmdlab-rest-trial,3,624164,0.0-3.0,4544.300000190735,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,644164d75b4cbe61ff891e64,11:56:43,15/01/2024
survey,introduction,Vuj7LiRQc9Nx3P898vCEPPM08V32,,html-button-response,4,684562,0.0-4.0-0.0-0.0,60396.89999961853,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,,,,,,,,,,,,644164d75b4cbe61ff891e64,11:56:43,15/01/2024
survey,BIS,Vuj7LiRQc9Nx3P898vCEPPM08V32,,html-button-response,5,692794,0.0-4.0-1.0-0.0-0.0,8228.599999427795,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> People differ in the ways they act and think in different situations.
This is a test to measure some of the ways in which you act and think.
Read each statement and select the option that describes you.
Do not spend too much time on any statement. Answer quickly and honestly.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,644164d75b4cbe61ff891e64,11:56:43,15/01/2024
survey,BIS_12,Vuj7LiRQc9Nx3P898vCEPPM08V32,Vuj7LiRQc9Nx3P898vCEPPM08V32,lmdlab-survey-likert,6,718637,0.0-4.0-1.0-0.0-1.0,,,,"{""BIS6"":2,""BIS14"":1,""Catch"":0,""BIS17"":2,""BIS19"":2,""BIS22"":0,""BIS25"":2}","{""trialStart"":711897.3999996185,""BIS6"":4312.800000190735,""BIS14"":5962.900000572205,""Catch"":12779.60000038147,""BIS17"":16096.900000572205,""BIS19"":18046.300000190735,""BIS22"":19879.900000572205,""BIS25"":23114}","[0,1,2,3,4,5,6]",,,,,,,,,644164d75b4cbe61ff891e64,11:56:43,15/01/2024
survey,STICSA,Vuj7LiRQc9Nx3P898vCEPPM08V32,,html-button-response,7,724512,0.0-4.0-1.0-1.0-0.0,5872.699999809265,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> You will see a list of statements which can be used to describe how people feel.
Below each statement are four options which indicate how often each statement
is true of you. Please read each statement carefully and select the option which best indicates
how often, <b>in general</b>, the statement is true of you.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,644164d75b4cbe61ff891e64,11:56:43,15/01/2024
survey,STICSA,Vuj7LiRQc9Nx3P898vCEPPM08V32,,lmdlab-survey-likert,8,751837,0.0-4.0-1.0-1.0-1.0,,,,"{""STICSA2"":3,""STICSA6"":1,""STICSA7"":1,""STICSA8"":1,""STICSA12"":0,""STICSA14"":0,""Catch"":3,""STICSA15"":1,""STICSA18"":0,""STICSA20"":0,""STICSA21"":0}","{""trialStart"":743614.6000003815,""STICSA2"":2480.5999994277954,""STICSA6"":4013.0999994277954,""STICSA7"":8230.5,""STICSA8"":10380.89999961853,""STICSA12"":12214.599999427795,""STICSA14"":13546.79999923706,""Catch"":15613.699999809265,""STICSA15"":18214.699999809265,""STICSA18"":20630.39999961853,""STICSA20"":23364.39999961853,""STICSA21"":25364.099999427795}","[0,1,2,3,4,5,6,7,8,9,10]",,,,,,,,,644164d75b4cbe61ff891e64,11:56:43,15/01/2024
survey,PHQ9,Vuj7LiRQc9Nx3P898vCEPPM08V32,,html-button-response,9,754195,0.0-4.0-1.0-2.0-0.0,2354.699999809265,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Over the <u>last two weeks</u>, how often have you been bothered by any of the following problems?</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,644164d75b4cbe61ff891e64,11:56:43,15/01/2024
