exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,rest_warning,span,answer,correct,correct_full,span_history,q_name,choice_idxs,prolificID,start_time,date
all,fullscreen,r8EMRPGsjTZvmZTCCHYfqKpjk802,r8EMRPGsjTZvmZTCCHYfqKpjk802,lmdlab-fullscreen,0,2587,0.0-0.0,,,,,,,,,,,,,,,60fc1f84103c6aa86a429ada,11:57:56 AM,1/15/2024
delaylearn,instructions,r8EMRPGsjTZvmZTCCHYfqKpjk802,r8EMRPGsjTZvmZTCCHYfqKpjk802,lmdlab-rest-trial,1,32683,0.0-1.0,29581.19999998808,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,60fc1f84103c6aa86a429ada,11:57:56 AM,1/15/2024
delaylearn,survey,r8EMRPGsjTZvmZTCCHYfqKpjk802,r8EMRPGsjTZvmZTCCHYfqKpjk802,lmdlab-html-vas-response,2,40296,0.0-2.0,6083.0,How <b>happy</b> are you right now?,0.24537037037037038,,,,,,,,,,,,60fc1f84103c6aa86a429ada,11:57:56 AM,1/15/2024
delaylearn,instructions,r8EMRPGsjTZvmZTCCHYfqKpjk802,r8EMRPGsjTZvmZTCCHYfqKpjk802,lmdlab-rest-trial,3,49297,0.0-3.0,8482.5,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,60fc1f84103c6aa86a429ada,11:57:56 AM,1/15/2024
survey,introduction,r8EMRPGsjTZvmZTCCHYfqKpjk802,,html-button-response,4,249740,0.0-4.0-0.0-0.0,200440.5,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,,,,,,,,,,,,60fc1f84103c6aa86a429ada,11:57:56 AM,1/15/2024
survey,PHQ9,r8EMRPGsjTZvmZTCCHYfqKpjk802,,html-button-response,5,257508,0.0-4.0-1.0-0.0-0.0,7760.5,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Over the <u>last two weeks</u>, how often have you been bothered by any of the following problems?</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,60fc1f84103c6aa86a429ada,11:57:56 AM,1/15/2024
survey,PHQ9,r8EMRPGsjTZvmZTCCHYfqKpjk802,,lmdlab-survey-likert,6,332608,0.0-4.0-1.0-0.0-1.0,,,,"{""PHQ1"":1,""PHQ2"":1,""PHQ3"":0,""PHQ4"":1,""Catch"":0,""PHQ5"":0,""PHQ6"":3,""PHQ7"":0,""PHQ8"":0,""PHQ9"":3}","{""trialStart"":660429.1999999881,""PHQ1"":5271.199999988079,""PHQ2"":10807.199999988079,""PHQ3"":14351.300000011921,""PHQ4"":22582.399999976158,""Catch"":40269.19999998808,""PHQ5"":42794.89999997616,""PHQ6"":56420.60000002384,""PHQ7"":60630.39999997616,""PHQ8"":66788.80000001192,""PHQ9"":72531.80000001192}","[0,1,2,3,4,5,6,7,8,9]",,,,,,,,,60fc1f84103c6aa86a429ada,11:57:56 AM,1/15/2024
survey,GAD7,r8EMRPGsjTZvmZTCCHYfqKpjk802,,html-button-response,7,337648,0.0-4.0-1.0-1.0-0.0,5034.900000035763,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Over the <u>last two weeks</u>, how often have you been bothered by the following problems?</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,60fc1f84103c6aa86a429ada,11:57:56 AM,1/15/2024
survey,GAD7,r8EMRPGsjTZvmZTCCHYfqKpjk802,,lmdlab-survey-likert,8,401646,0.0-4.0-1.0-1.0-1.0,,,,"{""GAD1"":1,""GAD2"":1,""GAD3"":0,""GAD4"":0,""GAD5"":0,""GAD6"":1,""GAD7"":0}","{""trialStart"":740558.5,""GAD1"":5301.699999988079,""GAD2"":21522.80000001192,""GAD3"":16801.19999998808,""GAD4"":50824.69999998808,""GAD5"":53092,""GAD6"":56318.39999997616,""GAD7"":60409.09999996424}","[0,1,2,3,4,5,6]",,,,,,,,,60fc1f84103c6aa86a429ada,11:57:56 AM,1/15/2024
survey,SDS,r8EMRPGsjTZvmZTCCHYfqKpjk802,,html-button-response,9,413583,0.0-4.0-1.0-2.0-0.0,11933.5,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Please read each statement and decide <b>how much</b> of the
time the statement describes how you have been feeling
during the <b>past several days</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,60fc1f84103c6aa86a429ada,11:57:56 AM,1/15/2024
survey,SDS,r8EMRPGsjTZvmZTCCHYfqKpjk802,,lmdlab-survey-likert,10,539259,0.0-4.0-1.0-2.0-1.0,,,,"{""SDS2"":1,""SDS3"":0,""SDS5"":0,""SDS6"":0,""SDS7"":1,""SDS8"":3,""Catch"":0,""SDS9"":0,""SDS10"":1,""SDS11"":0,""SDS12"":2,""SDS14"":0,""SDS16"":2,""SDS17"":1,""SDS18"":0,""SDS20"":1}","{""trialStart"":816493.6999999881,""SDS2"":42172.10000002384,""SDS3"":44473,""SDS5"":50451.80000001192,""SDS6"":61623.19999998808,""SDS7"":66421.30000001192,""SDS8"":69551.30000001192,""Catch"":75986.89999997616,""SDS9"":81595.69999998808,""SDS10"":85245,""SDS11"":88999.80000001192,""SDS12"":93682.19999998808,""SDS14"":98362.80000001192,""SDS16"":109090.89999997616,""SDS17"":116304.10000002384,""SDS18"":119955.60000002384,""SDS20"":123039.10000002384}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,,,,,,60fc1f84103c6aa86a429ada,11:57:56 AM,1/15/2024
