exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,rest_warning,span,answer,correct,correct_full,span_history,q_name,choice_idxs,prolificID,start_time,date
all,fullscreen,4KbgGiN6UgXbOw3zSpudclFqdMf1,4KbgGiN6UgXbOw3zSpudclFqdMf1,lmdlab-fullscreen,0,2739669,0.0-0.0,,,,,,,,,,,,,,,5f22b52e1c71f8024cba331b,12:06:10,15/01/2024
delaylearn,instructions,4KbgGiN6UgXbOw3zSpudclFqdMf1,4KbgGiN6UgXbOw3zSpudclFqdMf1,lmdlab-rest-trial,1,2753942,0.0-1.0,13762.0,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,5f22b52e1c71f8024cba331b,12:06:10,15/01/2024
delaylearn,survey,4KbgGiN6UgXbOw3zSpudclFqdMf1,4KbgGiN6UgXbOw3zSpudclFqdMf1,lmdlab-html-vas-response,2,2758667,0.0-2.0,3214.0,How <b>happy</b> are you right now?,0.7800925572713217,,,,,,,,,,,,5f22b52e1c71f8024cba331b,12:06:10,15/01/2024
delaylearn,instructions,4KbgGiN6UgXbOw3zSpudclFqdMf1,4KbgGiN6UgXbOw3zSpudclFqdMf1,lmdlab-rest-trial,3,2763136,0.0-3.0,3954.7000000001863,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,5f22b52e1c71f8024cba331b,12:06:10,15/01/2024
survey,introduction,4KbgGiN6UgXbOw3zSpudclFqdMf1,,html-button-response,4,2767403,0.0-4.0-0.0-0.0,4265.800000000745,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,,,,,,,,,,,,5f22b52e1c71f8024cba331b,12:06:10,15/01/2024
survey,SDS,4KbgGiN6UgXbOw3zSpudclFqdMf1,,html-button-response,5,2771399,0.0-4.0-1.0-0.0-0.0,3993.9000000003725,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Please read each statement and decide <b>how much</b> of the
time the statement describes how you have been feeling
during the <b>past several days</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5f22b52e1c71f8024cba331b,12:06:10,15/01/2024
survey,SDS,4KbgGiN6UgXbOw3zSpudclFqdMf1,,lmdlab-survey-likert,6,2823589,0.0-4.0-1.0-0.0-1.0,,,,"{""SDS2"":1,""SDS3"":0,""SDS5"":2,""SDS6"":2,""SDS7"":0,""SDS8"":3,""Catch"":0,""SDS9"":0,""SDS10"":2,""SDS11"":1,""SDS12"":1,""SDS14"":2,""SDS16"":2,""SDS17"":2,""SDS18"":1,""SDS20"":2}","{""trialStart"":2814617.5,""SDS2"":4465.799999999814,""SDS3"":6591.299999999814,""SDS5"":12581.899999999441,""SDS6"":15697.399999999441,""SDS7"":17412.299999999814,""SDS8"":19361.299999999814,""Catch"":27039.299999999814,""SDS9"":29821.200000000186,""SDS10"":31079.700000000186,""SDS11"":32270.700000000186,""SDS12"":36687.39999999944,""SDS14"":37574.700000000186,""SDS16"":39331.200000000186,""SDS17"":42224,""SDS18"":43532.799999999814,""SDS20"":47673.5}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,,,,,,5f22b52e1c71f8024cba331b,12:06:10,15/01/2024
survey,GAD7,4KbgGiN6UgXbOw3zSpudclFqdMf1,,html-button-response,7,2827616,0.0-4.0-1.0-1.0-0.0,4026.2999999998137,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Over the <u>last two weeks</u>, how often have you been bothered by the following problems?</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5f22b52e1c71f8024cba331b,12:06:10,15/01/2024
survey,GAD7,4KbgGiN6UgXbOw3zSpudclFqdMf1,,lmdlab-survey-likert,8,2845941,0.0-4.0-1.0-1.0-1.0,,,,"{""GAD1"":2,""GAD2"":1,""GAD3"":2,""GAD4"":2,""GAD5"":0,""GAD6"":1,""GAD7"":1}","{""trialStart"":2870833.5999999996,""GAD1"":1626.9000000003725,""GAD2"":4919.600000000559,""GAD3"":8729.799999999814,""GAD4"":9825.900000000373,""GAD5"":12915.700000000186,""GAD6"":13991.400000000373,""GAD7"":16409.700000000186}","[0,1,2,3,4,5,6]",,,,,,,,,5f22b52e1c71f8024cba331b,12:06:10,15/01/2024
survey,PHQ9,4KbgGiN6UgXbOw3zSpudclFqdMf1,,html-button-response,9,2848218,0.0-4.0-1.0-2.0-0.0,2276.100000000559,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Over the <u>last two weeks</u>, how often have you been bothered by any of the following problems?</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5f22b52e1c71f8024cba331b,12:06:10,15/01/2024
