exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,rest_warning,span,answer,correct,correct_full,span_history,q_name,choice_idxs,prolificID,start_time,date
all,fullscreen,T6fbqtxfKGaFbzMHvwyvjd8r4Ey2,T6fbqtxfKGaFbzMHvwyvjd8r4Ey2,lmdlab-fullscreen,0,9417,0.0-0.0,,,,,,,,,,,,,,,5eb8c284ab41e18278ccf247,12:14:50 PM,1/15/2024
delaylearn,instructions,T6fbqtxfKGaFbzMHvwyvjd8r4Ey2,T6fbqtxfKGaFbzMHvwyvjd8r4Ey2,lmdlab-rest-trial,1,46885,0.0-1.0,36958.20000000112,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,5eb8c284ab41e18278ccf247,12:14:50 PM,1/15/2024
delaylearn,survey,T6fbqtxfKGaFbzMHvwyvjd8r4Ey2,T6fbqtxfKGaFbzMHvwyvjd8r4Ey2,lmdlab-html-vas-response,2,55178,0.0-2.0,6775.0,How <b>happy</b> are you right now?,0.5868230985724459,,,,,,,,,,,,5eb8c284ab41e18278ccf247,12:14:50 PM,1/15/2024
delaylearn,instructions,T6fbqtxfKGaFbzMHvwyvjd8r4Ey2,T6fbqtxfKGaFbzMHvwyvjd8r4Ey2,lmdlab-rest-trial,3,68059,0.0-3.0,12372.5,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,5eb8c284ab41e18278ccf247,12:14:50 PM,1/15/2024
survey,introduction,T6fbqtxfKGaFbzMHvwyvjd8r4Ey2,,html-button-response,4,84570,0.0-4.0-0.0-0.0,16503.900000000373,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,,,,,,,,,,,,5eb8c284ab41e18278ccf247,12:14:50 PM,1/15/2024
survey,STICSA,T6fbqtxfKGaFbzMHvwyvjd8r4Ey2,,html-button-response,5,102954,0.0-4.0-1.0-0.0-0.0,18378.800000000745,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> You will see a list of statements which can be used to describe how people feel.
Below each statement are four options which indicate how often each statement
is true of you. Please read each statement carefully and select the option which best indicates
how often, <b>in general</b>, the statement is true of you.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5eb8c284ab41e18278ccf247,12:14:50 PM,1/15/2024
survey,STICSA,T6fbqtxfKGaFbzMHvwyvjd8r4Ey2,,lmdlab-survey-likert,6,156605,0.0-4.0-1.0-0.0-1.0,,,,"{""STICSA2"":1,""STICSA6"":2,""STICSA7"":3,""STICSA8"":2,""STICSA12"":3,""STICSA14"":1,""Catch"":3,""STICSA15"":3,""STICSA18"":2,""STICSA20"":2,""STICSA21"":1}","{""trialStart"":146393.8999999985,""STICSA2"":11244.800000000745,""STICSA6"":13436.200000001118,""STICSA7"":19706.800000000745,""STICSA8"":22108.900000000373,""STICSA12"":26897.400000000373,""STICSA14"":29189,""Catch"":35205.70000000112,""STICSA15"":38475.5,""STICSA18"":44086.300000000745,""STICSA20"":46598.5,""STICSA21"":51278.90000000037}","[0,1,2,3,4,5,6,7,8,9,10]",,,,,,,,,5eb8c284ab41e18278ccf247,12:14:50 PM,1/15/2024
survey,STAI,T6fbqtxfKGaFbzMHvwyvjd8r4Ey2,,html-button-response,7,173276,0.0-4.0-1.0-1.0-0.0,16666.89999999851,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> A number of statements which people have used to describe themselves are
given below. Read each statement and then rate according to the labels to
indicate <b>how you generally feel</b>.<br>
There are no right or wrong answers. Do not spend too much time on any one
statement but give the answer which seems to describe how you generally feel.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5eb8c284ab41e18278ccf247,12:14:50 PM,1/15/2024
survey,STAI,T6fbqtxfKGaFbzMHvwyvjd8r4Ey2,,lmdlab-survey-likert,8,302362,0.0-4.0-1.0-1.0-1.0,,,,"{""STAI1"":1,""STAI3"":0,""STAI4"":2,""STAI6"":1,""STAI7"":0,""STAI8"":3,""STAI9"":3,""STAI10"":1,""STAI11"":3,""STAI12"":3,""STAI13"":1,""STAI14"":0,""Catch"":0,""STAI15"":3,""STAI16"":1,""STAI17"":3,""STAI18"":2,""STAI19"":1,""STAI20"":2,""BDI5"":0,""LOTR1"":0,""RRQ3"":3}","{""trialStart"":216693.29999999888,""STAI1"":13386.099999999627,""STAI3"":15555,""STAI4"":23937.300000000745,""STAI6"":26265.300000000745,""STAI7"":29265.900000000373,""STAI8"":37047.40000000037,""STAI9"":39536.20000000112,""STAI10"":44317.300000000745,""STAI11"":46596.20000000112,""STAI12"":50897.70000000112,""STAI13"":52291.40000000037,""STAI14"":54413.800000000745,""Catch"":60489.70000000112,""STAI15"":66443.90000000037,""STAI16"":72277.20000000112,""STAI17"":84765.59999999963,""STAI18"":92920.20000000112,""STAI19"":94827.40000000037,""STAI20"":107475.80000000075,""BDI5"":115147.80000000075,""LOTR1"":119571,""RRQ3"":126189.80000000075}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,,,,,,,,5eb8c284ab41e18278ccf247,12:14:50 PM,1/15/2024
survey,OCIR,T6fbqtxfKGaFbzMHvwyvjd8r4Ey2,,html-button-response,9,318230,0.0-4.0-1.0-2.0-0.0,15860.5,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> The following statements refer to experiences that many people have in their
everyday lives. Rate according to the label that best describes <b>how much</b>
that experience has <b>distressed</b> or <b>bothered</b> you during the <b>past month</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5eb8c284ab41e18278ccf247,12:14:50 PM,1/15/2024
