exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,rest_warning,span,answer,correct,correct_full,span_history,q_name,choice_idxs,prolificID,start_time,date
all,fullscreen,OYQcrxKXiPXWVCx6mCtWpiIxYaH3,OYQcrxKXiPXWVCx6mCtWpiIxYaH3,lmdlab-fullscreen,0,2524,0.0-0.0,,,,,,,,,,,,,,,5d124464019fa6000162bfdb,1:20:37 PM,1/15/2024
delaylearn,instructions,OYQcrxKXiPXWVCx6mCtWpiIxYaH3,OYQcrxKXiPXWVCx6mCtWpiIxYaH3,lmdlab-rest-trial,1,20821,0.0-1.0,17792.5,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,5d124464019fa6000162bfdb,1:20:37 PM,1/15/2024
delaylearn,survey,OYQcrxKXiPXWVCx6mCtWpiIxYaH3,OYQcrxKXiPXWVCx6mCtWpiIxYaH3,lmdlab-html-vas-response,2,26672,0.0-2.0,4307.0,How <b>happy</b> are you right now?,0.779320987654321,,,,,,,,,,,,5d124464019fa6000162bfdb,1:20:37 PM,1/15/2024
delaylearn,instructions,OYQcrxKXiPXWVCx6mCtWpiIxYaH3,OYQcrxKXiPXWVCx6mCtWpiIxYaH3,lmdlab-rest-trial,3,38585,0.0-3.0,11395.200000047684,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,5d124464019fa6000162bfdb,1:20:37 PM,1/15/2024
survey,introduction,OYQcrxKXiPXWVCx6mCtWpiIxYaH3,,html-button-response,4,51726,0.0-4.0-0.0-0.0,13137.399999976158,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,,,,,,,,,,,,5d124464019fa6000162bfdb,1:20:37 PM,1/15/2024
survey,AES,OYQcrxKXiPXWVCx6mCtWpiIxYaH3,,html-button-response,5,58158,0.0-4.0-1.0-0.0-0.0,6429.0,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> For each question, choose the answer that best describes your
thoughts, feelings, and actions during the <b>past 4 weeks</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5d124464019fa6000162bfdb,1:20:37 PM,1/15/2024
survey,AES,OYQcrxKXiPXWVCx6mCtWpiIxYaH3,,lmdlab-survey-likert,6,124018,0.0-4.0-1.0-0.0-1.0,,,,"{""AES1"":3,""AES2"":3,""AES3"":2,""AES4"":2,""AES5"":3,""AES6"":1,""AES7"":0,""AES8"":3,""Catch"":0,""AES9"":2,""AES10"":0,""AES11"":1,""AES12"":3,""AES13"":2,""AES14"":3,""AES15"":1,""AES16"":3,""AES17"":2,""AES18"":3,""FSS9"":0}","{""trialStart"":288207.39999997616,""AES1"":3490.899999976158,""AES2"":6791,""AES3"":8121.199999988079,""AES4"":11325.100000023842,""AES5"":12990.800000011921,""AES6"":15523,""AES7"":23524.80000001192,""AES8"":28746.80000001192,""Catch"":31166.80000001192,""AES9"":35141.19999998808,""AES10"":37678.89999997616,""AES11"":41525.10000002384,""AES12"":43977.19999998808,""AES13"":48223.30000001192,""AES14"":50915.30000001192,""AES15"":53223.30000001192,""AES16"":56122.89999997616,""AES17"":57485.19999998808,""AES18"":60424.80000001192,""FSS9"":63949}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]",,,,,,,,,5d124464019fa6000162bfdb,1:20:37 PM,1/15/2024
survey,BIS,OYQcrxKXiPXWVCx6mCtWpiIxYaH3,,html-button-response,7,163378,0.0-4.0-1.0-1.0-0.0,39355.799999952316,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> People differ in the ways they act and think in different situations.
This is a test to measure some of the ways in which you act and think.
Read each statement and select the option that describes you.
Do not spend too much time on any statement. Answer quickly and honestly.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5d124464019fa6000162bfdb,1:20:37 PM,1/15/2024
survey,BIS_12,OYQcrxKXiPXWVCx6mCtWpiIxYaH3,OYQcrxKXiPXWVCx6mCtWpiIxYaH3,lmdlab-survey-likert,8,190505,0.0-4.0-1.0-1.0-1.0,,,,"{""BIS6"":1,""BIS14"":1,""Catch"":0,""BIS17"":1,""BIS19"":1,""BIS22"":1,""BIS25"":1}","{""trialStart"":393426.1999999881,""BIS6"":3938.099999964237,""BIS14"":5540.099999964237,""Catch"":11060.399999976158,""BIS17"":15642.399999976158,""BIS19"":16748.19999998808,""BIS22"":18382.30000001192,""BIS25"":25174.5}","[0,1,2,3,4,5,6]",,,,,,,,,5d124464019fa6000162bfdb,1:20:37 PM,1/15/2024
survey,GAD7,OYQcrxKXiPXWVCx6mCtWpiIxYaH3,,html-button-response,9,200842,0.0-4.0-1.0-2.0-0.0,10333.100000023842,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Over the <u>last two weeks</u>, how often have you been bothered by the following problems?</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,5d124464019fa6000162bfdb,1:20:37 PM,1/15/2024
