exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,rest_warning,span,answer,correct,correct_full,span_history,q_name,choice_idxs,prolificID,start_time,date
all,fullscreen,boPLSMaQpNgubavvYs3OIhAph4m2,boPLSMaQpNgubavvYs3OIhAph4m2,lmdlab-fullscreen,0,2783,0.0-0.0,,,,,,,,,,,,,,,658a3d6c7b5590fdd3c9e3e5,2:19:49 pm,15/01/2024
delaylearn,instructions,boPLSMaQpNgubavvYs3OIhAph4m2,boPLSMaQpNgubavvYs3OIhAph4m2,lmdlab-rest-trial,1,46373,0.0-1.0,43084.0,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,658a3d6c7b5590fdd3c9e3e5,2:19:49 pm,15/01/2024
delaylearn,survey,boPLSMaQpNgubavvYs3OIhAph4m2,boPLSMaQpNgubavvYs3OIhAph4m2,lmdlab-html-vas-response,2,51523,0.0-2.0,3640.0,How <b>happy</b> are you right now?,0.9111111111111111,,,,,,,,,,,,658a3d6c7b5590fdd3c9e3e5,2:19:49 pm,15/01/2024
delaylearn,instructions,boPLSMaQpNgubavvYs3OIhAph4m2,boPLSMaQpNgubavvYs3OIhAph4m2,lmdlab-rest-trial,3,64854,0.0-3.0,12828.0,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,658a3d6c7b5590fdd3c9e3e5,2:19:49 pm,15/01/2024
survey,introduction,boPLSMaQpNgubavvYs3OIhAph4m2,,html-button-response,4,74348,0.0-4.0-0.0-0.0,9494.0,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,,,,,,,,,,,,658a3d6c7b5590fdd3c9e3e5,2:19:49 pm,15/01/2024
survey,MASQ_7,boPLSMaQpNgubavvYs3OIhAph4m2,,html-button-response,5,94554,0.0-4.0-1.0-0.0-0.0,20203.0,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Below is a list of feelings, sensations, problems, and experiences that people sometimes have.
Read each item and then choose the response that best describes how much you have felt or
experienced things this way during the <b>past week, including today</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,658a3d6c7b5590fdd3c9e3e5,2:19:49 pm,15/01/2024
survey,MASQ_7,boPLSMaQpNgubavvYs3OIhAph4m2,,lmdlab-survey-likert,6,141945,0.0-4.0-1.0-0.0-1.0,,,,"{""MASQ1"":3,""MASQ5"":2,""MASQ9"":4,""MASQ11"":1,""MASQ15"":4,""MASQ19"":4,""MASQ23"":4,""MASQ25"":4,""HADS2"":2,""HADS6"":0}","{""trialStart"":171354,""MASQ1"":8184,""MASQ5"":11890,""MASQ9"":17674,""MASQ11"":21418,""MASQ15"":25471,""MASQ19"":30552,""MASQ23"":32081,""MASQ25"":34949,""HADS2"":39878,""HADS6"":45217}","[0,1,2,3,4,5,6,7,8,9]",,,,,,,,,658a3d6c7b5590fdd3c9e3e5,2:19:49 pm,15/01/2024
survey,PHQ9,boPLSMaQpNgubavvYs3OIhAph4m2,,html-button-response,7,154864,0.0-4.0-1.0-1.0-0.0,12918.0,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Over the <u>last two weeks</u>, how often have you been bothered by any of the following problems?</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,658a3d6c7b5590fdd3c9e3e5,2:19:49 pm,15/01/2024
survey,PHQ9,boPLSMaQpNgubavvYs3OIhAph4m2,,lmdlab-survey-likert,8,207561,0.0-4.0-1.0-1.0-1.0,,,,"{""PHQ1"":1,""PHQ2"":1,""PHQ3"":0,""PHQ4"":1,""Catch"":1,""PHQ5"":2,""PHQ6"":1,""PHQ7"":0,""PHQ8"":0,""PHQ9"":0}","{""trialStart"":231664,""PHQ1"":8490,""PHQ2"":14362,""PHQ3"":21466,""PHQ4"":22976,""Catch"":27495,""PHQ5"":33764,""PHQ6"":38253,""PHQ7"":41652,""PHQ8"":44711,""PHQ9"":50362}","[0,1,2,3,4,5,6,7,8,9]",,,,,,,,,658a3d6c7b5590fdd3c9e3e5,2:19:49 pm,15/01/2024
survey,PVSS,boPLSMaQpNgubavvYs3OIhAph4m2,,html-button-response,9,230558,0.0-4.0-1.0-2.0-0.0,22995.0,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Please indicate to what extent these statements describe your responses <b>over the last two 
weeks, including today</b>.<br>
Did you <b>not</b> have this experience? No problem. Please indicate how you <u>would have responded</u>
if you had experienced the situation over the last two weeks.</b><br>
Please consider only the aspect of the situation that is described, paying particular attention to
the <u>underlined text</u>. For example, if the statement says, ""<u>I wanted</u> to meet new people,"" rate
how much you wanted or would have wanted to meet new people over the last two weeks,
assuming that the opportunity presented itself. Do not consider what the situation would have
required of you or whether it would have been possible for you to meet people.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,658a3d6c7b5590fdd3c9e3e5,2:19:49 pm,15/01/2024
