exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,rest_warning,span,answer,correct,correct_full,span_history,q_name,choice_idxs,prolificID,start_time,date
all,fullscreen,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,lmdlab-fullscreen,0,2338,0.0-0.0,,,,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
delaylearn,instructions,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,lmdlab-rest-trial,1,24682,0.0-1.0,21842.30000001192,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
delaylearn,survey,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,lmdlab-html-vas-response,2,31718,0.0-2.0,5521.0,How <b>happy</b> are you right now?,0.42592592592592593,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
delaylearn,instructions,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,lmdlab-rest-trial,3,37173,0.0-3.0,4950.199999988079,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
survey,introduction,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-button-response,4,46622,0.0-4.0-0.0-0.0,9447.400000035763,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
survey,BIS,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-button-response,5,55566,0.0-4.0-1.0-0.0-0.0,8942.699999988079,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> People differ in the ways they act and think in different situations.
This is a test to measure some of the ways in which you act and think.
Read each statement and select the option that describes you.
Do not spend too much time on any statement. Answer quickly and honestly.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
survey,BIS_12,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,lmdlab-survey-likert,6,82343,0.0-4.0-1.0-0.0-1.0,,,,"{""BIS6"":0,""BIS14"":0,""Catch"":0,""BIS17"":1,""BIS19"":0,""BIS22"":0,""BIS25"":0}","{""trialStart"":94731.39999997616,""BIS6"":10382,""BIS14"":12245.800000011921,""Catch"":16318.100000023842,""BIS17"":19069.900000035763,""BIS19"":20349.900000035763,""BIS22"":22677.80000001192,""BIS25"":24685.80000001192}","[0,1,2,3,4,5,6]",,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
survey,PVSS,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-button-response,7,102693,0.0-4.0-1.0-1.0-0.0,20349.400000035763,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Please indicate to what extent these statements describe your responses <b>over the last two 
weeks, including today</b>.<br>
Did you <b>not</b> have this experience? No problem. Please indicate how you <u>would have responded</u>
if you had experienced the situation over the last two weeks.</b><br>
Please consider only the aspect of the situation that is described, paying particular attention to
the <u>underlined text</u>. For example, if the statement says, ""<u>I wanted</u> to meet new people,"" rate
how much you wanted or would have wanted to meet new people over the last two weeks,
assuming that the opportunity presented itself. Do not consider what the situation would have
required of you or whether it would have been possible for you to meet people.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
survey,PVSS,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,lmdlab-survey-likert,8,188805,0.0-4.0-1.0-1.0-1.0,,,,"{""PVSS1"":0,""PVSS2"":6,""PVSS3"":2,""PVSS4"":2,""PVSS5"":2,""PVSS6"":3,""PVSS7"":1,""PVSS8"":4,""Catch"":8,""PVSS9"":6,""PVSS10"":5,""PVSS11"":3,""PVSS12"":2,""PVSS13"":5,""PVSS14"":5,""PVSS15"":2,""PVSS16"":6,""PVSS17"":7,""PVSS18"":4,""PVSS19"":3,""PVSS20"":4,""PVSS21"":0}","{""trialStart"":141859.19999998808,""PVSS1"":7198.199999988079,""PVSS2"":10910.199999988079,""PVSS3"":15285.900000035763,""PVSS4"":20917.900000035763,""PVSS5"":30414,""PVSS6"":34317.90000003576,""PVSS7"":37790,""PVSS8"":40910.10000002384,""Catch"":43062,""PVSS9"":45806.10000002384,""PVSS10"":49294,""PVSS11"":51646.10000002384,""PVSS12"":55382,""PVSS13"":58758,""PVSS14"":61382,""PVSS15"":63990,""PVSS16"":68317.90000003576,""PVSS17"":71078,""PVSS18"":75341.90000003576,""PVSS19"":78637.90000003576,""PVSS20"":81365.90000003576,""PVSS21"":83701.90000003576}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
survey,SDS,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-button-response,9,196637,0.0-4.0-1.0-2.0-0.0,7831.400000035763,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Please read each statement and decide <b>how much</b> of the
time the statement describes how you have been feeling
during the <b>past several days</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
survey,SDS,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,lmdlab-survey-likert,10,233715,0.0-4.0-1.0-2.0-1.0,,,,"{""SDS2"":1,""SDS3"":0,""SDS5"":3,""SDS6"":1,""SDS7"":0,""SDS8"":0,""Catch"":0,""SDS9"":0,""SDS10"":1,""SDS11"":2,""SDS12"":2,""SDS14"":0,""SDS16"":2,""SDS17"":0,""SDS18"":0,""SDS20"":1}","{""trialStart"":235802.39999997616,""SDS2"":3414.7000000476837,""SDS3"":5070.700000047684,""SDS5"":8310.800000011921,""SDS6"":10374.800000011921,""SDS7"":12366.700000047684,""SDS8"":13758.700000047684,""Catch"":16238.700000047684,""SDS9"":18734.700000047684,""SDS10"":20878.700000047684,""SDS11"":22854.80000001192,""SDS12"":24478.600000023842,""SDS14"":26022.700000047684,""SDS16"":28078.600000023842,""SDS17"":30950.900000035763,""SDS18"":33086.60000002384,""SDS20"":34838.60000002384}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
survey,AES,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-button-response,11,238133,0.0-4.0-1.0-3.0-0.0,4417.699999988079,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> For each question, choose the answer that best describes your
thoughts, feelings, and actions during the <b>past 4 weeks</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
survey,AES,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,lmdlab-survey-likert,12,285693,0.0-4.0-1.0-3.0-1.0,,,,"{""AES1"":1,""AES2"":1,""AES3"":2,""AES4"":0,""AES5"":2,""AES6"":3,""AES7"":0,""AES8"":1,""Catch"":0,""AES9"":2,""AES10"":1,""AES11"":2,""AES12"":0,""AES13"":1,""AES14"":2,""AES15"":2,""AES16"":1,""AES17"":0,""AES18"":0,""FSS9"":0}","{""trialStart"":277298.3000000119,""AES1"":2382.800000011921,""AES2"":4214.800000011921,""AES3"":10198.699999988079,""AES4"":12862.800000011921,""AES5"":14302.599999964237,""AES6"":15950.699999988079,""AES7"":17342.69999998808,""AES8"":20486.69999998808,""Catch"":21590.69999998808,""AES9"":23942.69999998808,""AES10"":26142.69999998808,""AES11"":28446.69999998808,""AES12"":29710.69999998808,""AES13"":31398.69999998808,""AES14"":34703,""AES15"":36807,""AES16"":38894.69999998808,""AES17"":40350.59999996424,""AES18"":42254.69999998808,""FSS9"":45118.59999996424}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]",,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
survey,STAI,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-button-response,13,293229,0.0-4.0-1.0-4.0-0.0,7535.300000011921,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> A number of statements which people have used to describe themselves are
given below. Read each statement and then rate according to the labels to
indicate <b>how you generally feel</b>.<br>
There are no right or wrong answers. Do not spend too much time on any one
statement but give the answer which seems to describe how you generally feel.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
survey,STAI,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,lmdlab-survey-likert,14,339328,0.0-4.0-1.0-4.0-1.0,,,,"{""STAI1"":1,""STAI3"":0,""STAI4"":0,""STAI6"":1,""STAI7"":1,""STAI8"":0,""STAI9"":1,""STAI10"":1,""STAI11"":0,""STAI12"":3,""STAI13"":2,""STAI14"":1,""Catch"":0,""STAI15"":2,""STAI16"":1,""STAI17"":1,""STAI18"":2,""STAI19"":1,""STAI20"":2,""BDI5"":2,""LOTR1"":2,""RRQ3"":1}","{""trialStart"":332394.39999997616,""STAI1"":3438.7000000476837,""STAI3"":5022.600000023842,""STAI4"":6806.700000047684,""STAI6"":8198.600000023842,""STAI7"":9446.5,""STAI8"":11670.5,""STAI9"":15206.600000023842,""STAI10"":16646.80000001192,""STAI11"":17870.900000035763,""STAI12"":19143,""STAI13"":20894.900000035763,""STAI14"":22094.30000001192,""Catch"":23294.900000035763,""STAI15"":24646.600000023842,""STAI16"":26846.900000035763,""STAI17"":28950.600000023842,""STAI18"":30710.900000035763,""STAI19"":31910.80000001192,""STAI20"":36542.60000002384,""BDI5"":38703,""LOTR1"":40902.60000002384,""RRQ3"":43630.700000047684}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
survey,resources,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-button-response,15,342677,0.0-4.0-2.0-0.0,3348.399999976158,"<p style=""font-size: 3.5rem; line-height: 1.5"">If you feel affected by the issues raised by these questions and<br>wish to access any further support with regards to your mental<br>health you can find more information on this website:<br><br><b>https://www.nhs.uk/nhs-services/mental-health-services/where-to-get-urgent-help-for-mental-health/</b><br><br><br>Should you wish to talk, any time of day or night, you can call<br>116 123 to talk to the Samaritans you can also text ""SHOUT""<br>to 85258 to contact the Shout Crisis Text Line.<br><br><br><br></p>",0,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
survey,finish,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-button-response,16,344205,0.0-4.0-3.0,1527.2999999523163,"<p style=""font-size: 3rem"">Thank you!  You have finished this part of the experiment!<br><br><br>",0,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
delaylearn,survey,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,lmdlab-html-vas-response,17,350708,0.0-5.0,4986.0,How <b>happy</b> are you right now?,0.38580246913580246,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
delaylearn,rest,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,lmdlab-rest-trial-limit,18,358848,0.0-6.0,7632.5,"<p style='font-size: 4.4rem; color: white;'>Great work on that part! Please take a break.<br><br><br><br><i>(For example, stand up, stretch, get some water)</i><br><br><br><br><br>When you are ready, press the button<br><br>to start the next section.</p><br><br><br><br>",0,,,,0.0,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
fwdspan,instruct,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-button-response,19,362525,0.0-7.0-0.0,3676.5,"<p style=""font-size:4rem""><br><br>In the next part today, we have a completely different short task.<br><br><br>This part involves keeping numbers in you mind. Participation takes around 5 minutes.<br><br><br></p>",0,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
fwdspan,instruct,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-button-response,20,372749,0.0-7.0-1.0,10223.399999976158,"<p style=""font-size:5rem"">Welcome to the <b>digit span task</b>!<br><br></p><p style=""font-size:3.4rem""><br>On each trial, you will see a sequence of digits, followed by a delay.</p><p style=""font-size:3.4rem""><br>Then you will be asked to type them back in the same order in which they were seen.</p><p style=""font-size:3.4rem""><br><br><br>For example, if you saw the digits <b style=""color:blue;"">1</b>, <b style=""color:blue;"">2</b>, <b style=""color:blue;"">3</b>, you would respond with <b style=""color:blue;"">1</b>, <b style=""color:blue;"">2</b>, <b style=""color:blue;"">3</b></p><p style=""font-size:3.4rem""><br><br><br>To ensure the best measure of true performance for our study,<br><br>it is very important that you do not use any memory aid (e.g., pen and paper).<br><br>Please do the task solely in your head.</p><p style=""font-size:3.4rem""><br><br><br>There will be 12 total trials. Participation takes around 5 minutes.</p><br><br><br>",0,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
fwdspan,start_trial,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-button-response,21,373949,0.0-7.0-2.0-0.0-0.0,1198.199999988079,"<p style=""font-size:3rem"">Trial 1 of 12</p><br><br><br>",0,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
fwdspan,number,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-keyboard-response,22,374958,0.0-7.0-2.0-0.0-1.0-0.0,,"<p style=""font-size:14rem;font-weight:400;"">7</p>",,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
fwdspan,number,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-keyboard-response,23,375971,0.0-7.0-2.0-0.0-1.1-0.1,,"<p style=""font-size:14rem;font-weight:400;"">9</p>",,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
fwdspan,number,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-keyboard-response,24,376996,0.0-7.0-2.0-0.0-1.2-0.2,,"<p style=""font-size:14rem;font-weight:400;"">5</p>",,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
fwdspan,delay,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-keyboard-response,25,377556,0.0-7.0-2.0-0.0-2.0,,[],,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
fwdspan,response,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-keyboard-response,26,382950,0.0-7.0-2.0-0.0-3.0,5393.399999976158,"<div class = numbox><p style=""font-size:2.5rem"">What were the numbers <b>in order</b>?<br>(When you are ready to lock in your answer, press <b>ENTER</b>)</p><button id = button_1 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>1</div></div></button><button id = button_2 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>2</div></div></button><button id = button_3 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>3</div></div></button><button id = button_4 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>4</div></div></button><button id = button_5 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>5</div></div></button><button id = button_6 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>6</div></div></button><button id = button_7 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>7</div></div></button><button id = button_8 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>8</div></div></button><button id = button_9 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>9</div></div></button><button class = clear_button id = ""ClearButton"" onclick = ""clearResponse()"">Clear</button><p><u><b>Current Answer:</b></u></p><div id=echoed_txt style=""font-size: 6rem; color:blue;""><b></b></div></div><br><br><br><br><br><br><br>",enter,,,,,3.0,"[7,9,5]","[7,9,5]",1.0,"[3, 4, 5, 6, 7, 7, 8, 8, 7, 7, 6, 7]",,,58542426733c730001a5d1f4,14:42:33,15/01/2024
fwdspan,update_span,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,call-function,27,383205,0.0-7.0-2.0-0.0-4.0,,,,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
fwdspan,start_trial,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-button-response,28,384661,0.0-7.0-2.1-0.1-0.1,1456.199999988079,"<p style=""font-size:3rem"">Trial 2 of 12</p><br><br><br>",0,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
fwdspan,number,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-keyboard-response,29,385684,0.0-7.0-2.1-0.1-1.3-0.3,,"<p style=""font-size:14rem;font-weight:400;"">3</p>",,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
fwdspan,number,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-keyboard-response,30,386697,0.0-7.0-2.1-0.1-1.4-0.4,,"<p style=""font-size:14rem;font-weight:400;"">9</p>",,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
fwdspan,number,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-keyboard-response,31,387721,0.0-7.0-2.1-0.1-1.5-0.5,,"<p style=""font-size:14rem;font-weight:400;"">2</p>",,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
fwdspan,number,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-keyboard-response,32,388730,0.0-7.0-2.1-0.1-1.6-0.6,,"<p style=""font-size:14rem;font-weight:400;"">1</p>",,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
fwdspan,delay,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-keyboard-response,33,389290,0.0-7.0-2.1-0.1-2.1,,[],,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
fwdspan,response,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-keyboard-response,34,395798,0.0-7.0-2.1-0.1-3.1,6507.399999976158,"<div class = numbox><p style=""font-size:2.5rem"">What were the numbers <b>in order</b>?<br>(When you are ready to lock in your answer, press <b>ENTER</b>)</p><button id = button_1 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>1</div></div></button><button id = button_2 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>2</div></div></button><button id = button_3 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>3</div></div></button><button id = button_4 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>4</div></div></button><button id = button_5 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>5</div></div></button><button id = button_6 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>6</div></div></button><button id = button_7 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>7</div></div></button><button id = button_8 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>8</div></div></button><button id = button_9 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>9</div></div></button><button class = clear_button id = ""ClearButton"" onclick = ""clearResponse()"">Clear</button><p><u><b>Current Answer:</b></u></p><div id=echoed_txt style=""font-size: 6rem; color:blue;""><b></b></div></div><br><br><br><br><br><br><br>",enter,,,,,4.0,"[3,9,2,1]","[3,9,2,1]",1.0,"[3, 4, 5, 6, 7, 7, 8, 8, 7, 7, 6, 7]",,,58542426733c730001a5d1f4,14:42:33,15/01/2024
fwdspan,update_span,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,call-function,35,396058,0.0-7.0-2.1-0.1-4.1,,,,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
fwdspan,start_trial,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-button-response,36,397141,0.0-7.0-2.2-0.2-0.2,1082.9000000357628,"<p style=""font-size:3rem"">Trial 3 of 12</p><br><br><br>",0,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
fwdspan,number,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-keyboard-response,37,398151,0.0-7.0-2.2-0.2-1.7-0.7,,"<p style=""font-size:14rem;font-weight:400;"">8</p>",,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
fwdspan,number,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-keyboard-response,38,399178,0.0-7.0-2.2-0.2-1.8-0.8,,"<p style=""font-size:14rem;font-weight:400;"">3</p>",,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
fwdspan,number,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-keyboard-response,39,400208,0.0-7.0-2.2-0.2-1.9-0.9,,"<p style=""font-size:14rem;font-weight:400;"">5</p>",,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
fwdspan,number,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-keyboard-response,40,401248,0.0-7.0-2.2-0.2-1.10-0.10,,"<p style=""font-size:14rem;font-weight:400;"">2</p>",,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
fwdspan,number,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-keyboard-response,41,402278,0.0-7.0-2.2-0.2-1.11-0.11,,"<p style=""font-size:14rem;font-weight:400;"">4</p>",,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
fwdspan,delay,p5Jz8lwDxTdEyU4ApDpV8tfLwOV2,,html-keyboard-response,42,402857,0.0-7.0-2.2-0.2-2.2,,[],,,,,,,,,,,,,58542426733c730001a5d1f4,14:42:33,15/01/2024
