exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,rest_warning,span,answer,correct,correct_full,span_history,q_name,choice_idxs,prolificID,start_time,date
all,fullscreen,ooadN5z6mNhthdoxMVd0c6O1m9F3,ooadN5z6mNhthdoxMVd0c6O1m9F3,lmdlab-fullscreen,0,2719,0.0-0.0,,,,,,,,,,,,,,,62c5ebe612c40c7e32390bf6,14:50:43,15/01/2024
delaylearn,instructions,ooadN5z6mNhthdoxMVd0c6O1m9F3,ooadN5z6mNhthdoxMVd0c6O1m9F3,lmdlab-rest-trial,1,12780,0.0-1.0,9551.0,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,62c5ebe612c40c7e32390bf6,14:50:43,15/01/2024
delaylearn,survey,ooadN5z6mNhthdoxMVd0c6O1m9F3,ooadN5z6mNhthdoxMVd0c6O1m9F3,lmdlab-html-vas-response,2,20076,0.0-2.0,5772.0,How <b>happy</b> are you right now?,0.6782407407407407,,,,,,,,,,,,62c5ebe612c40c7e32390bf6,14:50:43,15/01/2024
delaylearn,instructions,ooadN5z6mNhthdoxMVd0c6O1m9F3,ooadN5z6mNhthdoxMVd0c6O1m9F3,lmdlab-rest-trial,3,24061,0.0-3.0,3473.199999988079,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,62c5ebe612c40c7e32390bf6,14:50:43,15/01/2024
survey,introduction,ooadN5z6mNhthdoxMVd0c6O1m9F3,,html-button-response,4,28608,0.0-4.0-0.0-0.0,4545.29999999702,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,,,,,,,,,,,,62c5ebe612c40c7e32390bf6,14:50:43,15/01/2024
survey,STICSA,ooadN5z6mNhthdoxMVd0c6O1m9F3,,html-button-response,5,35551,0.0-4.0-1.0-0.0-0.0,6940.29999999702,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> You will see a list of statements which can be used to describe how people feel.
Below each statement are four options which indicate how often each statement
is true of you. Please read each statement carefully and select the option which best indicates
how often, <b>in general</b>, the statement is true of you.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,62c5ebe612c40c7e32390bf6,14:50:43,15/01/2024
survey,STICSA,ooadN5z6mNhthdoxMVd0c6O1m9F3,,lmdlab-survey-likert,6,59161,0.0-4.0-1.0-0.0-1.0,,,,"{""STICSA2"":2,""STICSA6"":2,""STICSA7"":2,""STICSA8"":2,""STICSA12"":3,""STICSA14"":3,""Catch"":3,""STICSA15"":2,""STICSA18"":3,""STICSA20"":3,""STICSA21"":2}","{""trialStart"":154621.10000000894,""STICSA2"":5003.199999988079,""STICSA6"":6508.29999999702,""STICSA7"":7817.79999999702,""STICSA8"":9448.79999999702,""STICSA12"":10800.699999988079,""STICSA14"":11364.09999999404,""Catch"":13137.5,""STICSA15"":15205,""STICSA18"":17037.89999999106,""STICSA20"":19065.89999999106,""STICSA21"":20938.29999999702}","[0,1,2,3,4,5,6,7,8,9,10]",,,,,,,,,62c5ebe612c40c7e32390bf6,14:50:43,15/01/2024
survey,MASQ_7,ooadN5z6mNhthdoxMVd0c6O1m9F3,,html-button-response,7,67964,0.0-4.0-1.0-1.0-0.0,8800.70000000298,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Below is a list of feelings, sensations, problems, and experiences that people sometimes have.
Read each item and then choose the response that best describes how much you have felt or
experienced things this way during the <b>past week, including today</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,62c5ebe612c40c7e32390bf6,14:50:43,15/01/2024
survey,MASQ_7,ooadN5z6mNhthdoxMVd0c6O1m9F3,,lmdlab-survey-likert,8,88994,0.0-4.0-1.0-1.0-1.0,,,,"{""MASQ1"":2,""MASQ5"":4,""MASQ9"":1,""MASQ11"":3,""MASQ15"":1,""MASQ19"":1,""MASQ23"":1,""MASQ25"":1,""HADS2"":3,""HADS6"":3}","{""trialStart"":187032.90000000596,""MASQ1"":1779.2000000029802,""MASQ5"":3642,""MASQ9"":5391.5999999940395,""MASQ11"":7143,""MASQ15"":10030.39999999106,""MASQ19"":11548.09999999404,""MASQ23"":12908.39999999106,""MASQ25"":14888,""HADS2"":16178.20000000298,""HADS6"":18011}","[0,1,2,3,4,5,6,7,8,9]",,,,,,,,,62c5ebe612c40c7e32390bf6,14:50:43,15/01/2024
survey,OCIR,ooadN5z6mNhthdoxMVd0c6O1m9F3,,html-button-response,9,135763,0.0-4.0-1.0-2.0-0.0,46767.29999999702,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> The following statements refer to experiences that many people have in their
everyday lives. Rate according to the label that best describes <b>how much</b>
that experience has <b>distressed</b> or <b>bothered</b> you during the <b>past month</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,62c5ebe612c40c7e32390bf6,14:50:43,15/01/2024
