exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,rest_warning,span,answer,correct,correct_full,span_history,q_name,choice_idxs,prolificID,start_time,date
all,fullscreen,HlE03kQqnwRGzXiSc5uk35J97uc2,HlE03kQqnwRGzXiSc5uk35J97uc2,lmdlab-fullscreen,0,7567,0.0-0.0,,,,,,,,,,,,,,,65313a592d60e2cc4ce90841,3:56:39 PM,1/15/2024
delaylearn,instructions,HlE03kQqnwRGzXiSc5uk35J97uc2,HlE03kQqnwRGzXiSc5uk35J97uc2,lmdlab-rest-trial,1,45365,0.0-1.0,37289.09999999404,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,65313a592d60e2cc4ce90841,3:56:39 PM,1/15/2024
delaylearn,survey,HlE03kQqnwRGzXiSc5uk35J97uc2,HlE03kQqnwRGzXiSc5uk35J97uc2,lmdlab-html-vas-response,2,56390,0.0-2.0,9454.0,How <b>happy</b> are you right now?,0.9926418229290292,,,,,,,,,,,,65313a592d60e2cc4ce90841,3:56:39 PM,1/15/2024
delaylearn,instructions,HlE03kQqnwRGzXiSc5uk35J97uc2,HlE03kQqnwRGzXiSc5uk35J97uc2,lmdlab-rest-trial,3,70392,0.0-3.0,13492.09999999404,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0,,,,,,,,,,,,65313a592d60e2cc4ce90841,3:56:39 PM,1/15/2024
survey,introduction,HlE03kQqnwRGzXiSc5uk35J97uc2,,html-button-response,4,106956,0.0-4.0-0.0-0.0,36550.5,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,,,,,,,,,,,,65313a592d60e2cc4ce90841,3:56:39 PM,1/15/2024
survey,GAD7,HlE03kQqnwRGzXiSc5uk35J97uc2,,html-button-response,5,127138,0.0-4.0-1.0-0.0-0.0,20173.59999999404,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Over the <u>last two weeks</u>, how often have you been bothered by the following problems?</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,65313a592d60e2cc4ce90841,3:56:39 PM,1/15/2024
survey,GAD7,HlE03kQqnwRGzXiSc5uk35J97uc2,,lmdlab-survey-likert,6,176386,0.0-4.0-1.0-0.0-1.0,,,,"{""GAD1"":1,""GAD2"":1,""GAD3"":1,""GAD4"":0,""GAD5"":0,""GAD6"":0,""GAD7"":0}","{""trialStart"":191390.39999997616,""GAD1"":12345,""GAD2"":32344.80000001192,""GAD3"":30641.100000023842,""GAD4"":35456.20000001788,""GAD5"":39040.5,""GAD6"":42248.80000001192,""GAD7"":46625.40000000596}","[0,1,2,3,4,5,6]",,,,,,,,,65313a592d60e2cc4ce90841,3:56:39 PM,1/15/2024
survey,OCIR,HlE03kQqnwRGzXiSc5uk35J97uc2,,html-button-response,7,198587,0.0-4.0-1.0-1.0-0.0,22191.40000000596,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> The following statements refer to experiences that many people have in their
everyday lives. Rate according to the label that best describes <b>how much</b>
that experience has <b>distressed</b> or <b>bothered</b> you during the <b>past month</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,65313a592d60e2cc4ce90841,3:56:39 PM,1/15/2024
survey,OCIR_10,HlE03kQqnwRGzXiSc5uk35J97uc2,,lmdlab-survey-likert,8,265865,0.0-4.0-1.0-1.0-1.0,,,,"{""OCIR2"":1,""OCIR3"":1,""OCIR4"":2,""OCIR6"":0,""OCIR7"":1,""OCIR9"":1,""OCIR12"":0,""OCIR13"":1,""OCIR15"":3,""OCIR18"":1}","{""trialStart"":262839.39999997616,""OCIR2"":7728.5,""OCIR3"":17552.100000023842,""OCIR4"":23256.5,""OCIR6"":31544.100000023842,""OCIR7"":36455.20000001788,""OCIR9"":40785.40000000596,""OCIR12"":47927.5,""OCIR13"":54712.60000002384,""OCIR15"":60720.10000002384,""OCIR18"":64846.90000000596}","[0,1,2,3,4,5,6,7,8,9]",,,,,,,,,65313a592d60e2cc4ce90841,3:56:39 PM,1/15/2024
survey,AES,HlE03kQqnwRGzXiSc5uk35J97uc2,,html-button-response,9,277899,0.0-4.0-1.0-2.0-0.0,12023.299999982119,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> For each question, choose the answer that best describes your
thoughts, feelings, and actions during the <b>past 4 weeks</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,65313a592d60e2cc4ce90841,3:56:39 PM,1/15/2024
survey,AES,HlE03kQqnwRGzXiSc5uk35J97uc2,,lmdlab-survey-likert,10,394664,0.0-4.0-1.0-2.0-1.0,,,,"{""AES1"":2,""AES2"":2,""AES3"":3,""AES4"":3,""AES5"":3,""AES6"":1,""AES7"":3,""AES8"":3,""Catch"":2,""AES9"":3,""AES10"":0,""AES11"":2,""AES12"":3,""AES13"":2,""AES14"":3,""AES15"":3,""AES16"":2,""AES17"":3,""AES18"":3,""FSS9"":2}","{""trialStart"":342154.89999997616,""AES1"":6740.700000017881,""AES2"":9396.600000023842,""AES3"":19196.90000000596,""AES4"":22747.70000001788,""AES5"":27212.70000001788,""AES6"":34716.40000000596,""AES7"":38324.60000002384,""AES8"":43940.20000001788,""Catch"":54772.60000002384,""AES9"":58299.80000001192,""AES10"":67845.5,""AES11"":77693.30000001192,""AES12"":80988.10000002384,""AES13"":85324.40000000596,""AES14"":88556.30000001192,""AES15"":91924.40000000596,""AES16"":102500.30000001192,""AES17"":107068.40000000596,""AES18"":109980.10000002384,""FSS9"":114172.5}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]",,,,,,,,,65313a592d60e2cc4ce90841,3:56:39 PM,1/15/2024
survey,STICSA,HlE03kQqnwRGzXiSc5uk35J97uc2,,html-button-response,11,416874,0.0-4.0-1.0-3.0-0.0,22199.59999999404,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> You will see a list of statements which can be used to describe how people feel.
Below each statement are four options which indicate how often each statement
is true of you. Please read each statement carefully and select the option which best indicates
how often, <b>in general</b>, the statement is true of you.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,65313a592d60e2cc4ce90841,3:56:39 PM,1/15/2024
survey,STICSA,HlE03kQqnwRGzXiSc5uk35J97uc2,,lmdlab-survey-likert,12,461099,0.0-4.0-1.0-3.0-1.0,,,,"{""STICSA2"":0,""STICSA6"":0,""STICSA7"":0,""STICSA8"":0,""STICSA12"":0,""STICSA14"":0,""Catch"":3,""STICSA15"":0,""STICSA18"":0,""STICSA20"":1,""STICSA21"":0}","{""trialStart"":481125.89999997616,""STICSA2"":3417.5,""STICSA6"":5378.300000011921,""STICSA7"":7353.700000017881,""STICSA8"":9377.90000000596,""STICSA12"":12080.300000011921,""STICSA14"":14712.5,""Catch"":19625.40000000596,""STICSA15"":28217.40000000596,""STICSA18"":33368.60000002384,""STICSA20"":37977.40000000596,""STICSA21"":41521.10000002384}","[0,1,2,3,4,5,6,7,8,9,10]",,,,,,,,,65313a592d60e2cc4ce90841,3:56:39 PM,1/15/2024
survey,STAI,HlE03kQqnwRGzXiSc5uk35J97uc2,,html-button-response,13,485851,0.0-4.0-1.0-4.0-0.0,24741.5,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> A number of statements which people have used to describe themselves are
given below. Read each statement and then rate according to the labels to
indicate <b>how you generally feel</b>.<br>
There are no right or wrong answers. Do not spend too much time on any one
statement but give the answer which seems to describe how you generally feel.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,,,,,,,,,,,,65313a592d60e2cc4ce90841,3:56:39 PM,1/15/2024
