filename,prolificID,start_time,date
'taskdata_240227_090717_exp_survey_656514f9443092badedb7003.csv',656514f9443092badedb7003,09:07:17,27/02/2024
'taskdata_240227_090715_exp_survey_5cf66ed8912f0b0017c50b52.csv',5cf66ed8912f0b0017c50b52,09:07:15,27/02/2024
'taskdata_240227_090617_exp_survey_634e460a7da3fef3d5a9faf3.csv',634e460a7da3fef3d5a9faf3,9:06:17 AM,2/27/2024
'taskdata_240227_090801_exp_survey_62ce9f115a24ca323371d2dc.csv',62ce9f115a24ca323371d2dc,09:08:01,27/02/2024
'taskdata_240227_090620_exp_survey_5c7c0337a1b1360011c481fb.csv',5c7c0337a1b1360011c481fb,09:06:20,27/02/2024
'taskdata_240227_090625_exp_survey_60db09ba98a44872897cc587.csv',60db09ba98a44872897cc587,09:06:25,27/02/2024
'taskdata_240226_091741_exp_survey_5e85f667db8aa41f74436a9f.csv',5e85f667db8aa41f74436a9f,09:17:41,26/02/2024
'taskdata_240227_090605_exp_survey_5dbe90f8965e863667a79ca8.csv',5dbe90f8965e863667a79ca8,09:06:05,27/02/2024
'taskdata_240226_092001_exp_survey_641373f8117053037093d10a.csv',641373f8117053037093d10a,09:20:01,26/02/2024
'taskdata_240227_091151_exp_survey_6543af72769aacc0bf14521e.csv',6543af72769aacc0bf14521e,09:11:51,27/02/2024
'taskdata_240226_141908_exp_survey_5e836f61445b1c0761ae6a76.csv',5e836f61445b1c0761ae6a76,14:19:08,26/02/2024
'taskdata_240226_124821_exp_survey_60ec1dd7eaa54649ce2bdd3f.csv',60ec1dd7eaa54649ce2bdd3f,12:48:21,26/02/2024
'taskdata_240227_090607_exp_survey_65562141ae0a6660324ce572.csv',65562141ae0a6660324ce572,09:06:07,27/02/2024
'taskdata_240227_090519_exp_survey_5ee5defbfe74a3000d106f51.csv',5ee5defbfe74a3000d106f51,09:05:19,27/02/2024
'taskdata_240227_100555_exp_survey_65cfd63f31c934ef41d14881.csv',65cfd63f31c934ef41d14881,10:05:55,27/02/2024
'taskdata_240227_100705_exp_survey_65c8ae4d5f25e8b4062a4c93.csv',65c8ae4d5f25e8b4062a4c93,10:07:05,27/02/2024
'taskdata_240227_090626_exp_survey_60fd2a117181bc22b970997d.csv',60fd2a117181bc22b970997d,09:06:26,27/02/2024
'taskdata_240227_091107_exp_survey_62c5d0cfdf443d24e054d302.csv',62c5d0cfdf443d24e054d302,09:11:07,27/02/2024
