cbal1,pair,stim1,stim2,delay,cbal2,pair,stim1,stim2,delay,cbal3,pair,stim1,stim2,delay,cbal4,pair,stim1,stim2,delay,cbal5,pair,stim1,stim2,delay
,1,1,2,1,,1,3,10,1,,1,14,8,1,,1,1,9,1,,1,6,15,1
,2,3,4,1,,2,1,13,1,,2,7,1,1,,2,14,2,1,,2,3,1,1
,3,5,6,1,,3,12,14,1,,3,13,10,1,,3,16,6,1,,3,16,2,1
,4,7,8,1,,4,4,16,1,,4,15,9,1,,4,8,7,1,,4,11,4,1
,5,9,10,0,,5,2,9,0,,5,11,2,0,,5,5,15,0,,5,7,13,0
,6,11,12,0,,6,11,5,0,,6,16,3,0,,6,10,3,0,,6,14,9,0
,7,13,14,0,,7,8,15,0,,7,6,12,0,,7,13,4,0,,7,8,10,0
,8,15,16,0,,8,7,6,0,,8,4,5,0,,8,12,11,0,,8,5,12,0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
cbal1,sort_ratelist,stim,delay,,cbal2,sort_ratelist,stim,delay,,cbal3,sort_ratelist,stim,delay,,cbal4,sort_ratelist,stim,delay,,cbal5,sort_ratelist,stim,delay,
,1,1,1,,,1,3,1,,,1,14,1,,,1,1,1,,,1,6,1,
,2,3,1,,,2,1,1,,,2,7,1,,,2,14,1,,,2,3,1,
,3,5,1,,,3,12,1,,,3,13,1,,,3,16,1,,,3,16,1,
,4,7,1,,,4,4,1,,,4,15,1,,,4,8,1,,,4,11,1,
,5,9,0,,,5,2,0,,,5,11,0,,,5,5,0,,,5,7,0,
,6,11,0,,,6,11,0,,,6,16,0,,,6,10,0,,,6,14,0,
,7,13,0,,,7,8,0,,,7,6,0,,,7,13,0,,,7,8,0,
,8,15,0,,,8,7,0,,,8,4,0,,,8,12,0,,,8,5,0,
,9,2,1,,,9,10,1,,,9,8,1,,,9,9,1,,,9,15,1,
,10,4,1,,,10,13,1,,,10,1,1,,,10,2,1,,,10,1,1,
,11,6,1,,,11,14,1,,,11,10,1,,,11,6,1,,,11,2,1,
,12,8,1,,,12,16,1,,,12,9,1,,,12,7,1,,,12,4,1,
,13,10,0,,,13,9,0,,,13,2,0,,,13,15,0,,,13,13,0,
,14,12,0,,,14,5,0,,,14,3,0,,,14,3,0,,,14,9,0,
,15,14,0,,,15,15,0,,,15,12,0,,,15,4,0,,,15,10,0,
,16,16,0,,,16,6,0,,,16,5,0,,,16,11,0,,,16,12,0,
