trial,sort,part,pair,stim_1,stim_2,stim_left,stim_right,choice_stim_left,choice_stim_right,leftright_counter,longdelay,random
1,6,1,6,13,4,13,4,images/choice_trial_13.png,images/choice_trial_4.png,0,0,0.883657746
2,3,1,3,8,7,7,8,images/choice_trial_7.png,images/choice_trial_8.png,1,1,0.119601035
3,5,1,5,10,3,3,10,images/choice_trial_3.png,images/choice_trial_10.png,1,0,0.549024101
4,4,1,4,5,15,15,5,images/choice_trial_15.png,images/choice_trial_5.png,1,0,0.428214775
5,2,1,2,16,6,16,6,images/choice_trial_16.png,images/choice_trial_6.png,0,1,0.22725576
6,1,1,1,1,9,9,1,images/choice_trial_9.png,images/choice_trial_1.png,1,1,0.17771008
7,10,2,45,5,3,3,5,images/choice_trial_3.png,images/choice_trial_5.png,1,0,0.854608143
8,7,2,12,1,6,1,6,images/choice_trial_1.png,images/choice_trial_6.png,0,1,0.101841237
9,8,2,23,16,7,7,16,images/choice_trial_7.png,images/choice_trial_16.png,1,1,0.705986284
10,11,2,56,10,4,10,4,images/choice_trial_10.png,images/choice_trial_4.png,0,0,0.982332392
11,9,2,31,8,9,8,9,images/choice_trial_8.png,images/choice_trial_9.png,0,1,0.033392193
12,12,2,64,13,15,15,13,images/choice_trial_15.png,images/choice_trial_13.png,1,0,0.07501517
