trial,sort,sort_counterbal,pair,stimid,stimulus,value_true,prob_true,delay,rand
1,11,6,6,11,11,0,0.77,0,0.68878949
2,6,11,3,14,14,0,0.23,1,0.20681007
3,5,3,3,12,12,0,0.77,1,0.20681007
4,13,7,7,8,8,0,0.77,0,0.36389075
5,10,13,5,9,9,0,0.23,0,0.41907637
6,7,4,4,4,4,0,0.77,1,0.81087884
7,14,15,7,15,15,0,0.23,0,0.36389075
8,8,12,4,16,16,0,0.23,1,0.81087884
9,12,14,6,5,5,0,0.23,0,0.68878949
10,1,1,1,3,3,0,0.77,1,0.98718641
11,2,9,1,10,10,0,0.23,1,0.98718641
12,9,5,5,2,2,0,0.77,0,0.41907637
