exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,prolificID,start_time,date
all,fullscreen,4SHkAgJhcYhzMNadXAGnF1H8oBI3,4SHkAgJhcYhzMNadXAGnF1H8oBI3,lmdlab-fullscreen,0,3604,0.0-0.0,,,,,,,60fd274decb79fba37f2e72e,11:14:11,15/01/2024
delaylearn,instructions,4SHkAgJhcYhzMNadXAGnF1H8oBI3,4SHkAgJhcYhzMNadXAGnF1H8oBI3,lmdlab-rest-trial,1,9922,0.0-1.0,5798.0,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0.0,,,,60fd274decb79fba37f2e72e,11:14:11,15/01/2024
delaylearn,survey,4SHkAgJhcYhzMNadXAGnF1H8oBI3,4SHkAgJhcYhzMNadXAGnF1H8oBI3,lmdlab-html-vas-response,2,19770,0.0-2.0,8336.0,How <b>happy</b> are you right now?,0.7425274154292121,,,,60fd274decb79fba37f2e72e,11:14:11,15/01/2024
delaylearn,instructions,4SHkAgJhcYhzMNadXAGnF1H8oBI3,4SHkAgJhcYhzMNadXAGnF1H8oBI3,lmdlab-rest-trial,3,24123,0.0-3.0,3847.0000000000073,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0.0,,,,60fd274decb79fba37f2e72e,11:14:11,15/01/2024
survey,introduction,4SHkAgJhcYhzMNadXAGnF1H8oBI3,,html-button-response,4,27052,0.0-4.0-0.0-0.0,2925.0,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0.0,,,,60fd274decb79fba37f2e72e,11:14:11,15/01/2024
survey,AES,4SHkAgJhcYhzMNadXAGnF1H8oBI3,,html-button-response,5,31351,0.0-4.0-1.0-0.0-0.0,4277.999999999993,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> For each question, choose the answer that best describes your
thoughts, feelings, and actions during the <b>past 4 weeks</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0.0,,,,60fd274decb79fba37f2e72e,11:14:11,15/01/2024
survey,AES,4SHkAgJhcYhzMNadXAGnF1H8oBI3,,lmdlab-survey-likert,6,105909,0.0-4.0-1.0-0.0-1.0,,,,"{""AES1"":2,""AES2"":2,""AES3"":3,""AES4"":1,""AES5"":2,""AES6"":0,""AES7"":2,""AES8"":3,""Catch"":0,""AES9"":2,""AES10"":0,""AES11"":2,""AES12"":3,""AES13"":1,""AES14"":2,""AES15"":3,""AES16"":2,""AES17"":3,""AES18"":3,""FSS9"":2}","{""trialStart"":58711,""AES1"":2994,""AES2"":6745,""AES3"":8812,""AES4"":11267,""AES5"":13203,""AES6"":17520,""AES7"":19122,""AES8"":21890,""Catch"":25358,""AES9"":29943,""AES10"":31993.000000000015,""AES11"":35528,""AES12"":38028,""AES13"":41565,""AES14"":44131,""AES15"":48467,""AES16"":66148.00000000001,""AES17"":67715,""AES18"":70734,""FSS9"":72704}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]",60fd274decb79fba37f2e72e,11:14:11,15/01/2024
survey,OCIR,4SHkAgJhcYhzMNadXAGnF1H8oBI3,,html-button-response,7,109328,0.0-4.0-1.0-1.0-0.0,3415.000000000029,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> The following statements refer to experiences that many people have in their
everyday lives. Rate according to the label that best describes <b>how much</b>
that experience has <b>distressed</b> or <b>bothered</b> you during the <b>past month</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0.0,,,,60fd274decb79fba37f2e72e,11:14:11,15/01/2024
survey,OCIR_10,4SHkAgJhcYhzMNadXAGnF1H8oBI3,,lmdlab-survey-likert,8,140275,0.0-4.0-1.0-1.0-1.0,,,,"{""OCIR2"":3,""OCIR3"":1,""OCIR4"":1,""OCIR6"":3,""OCIR7"":4,""OCIR9"":4,""OCIR12"":4,""OCIR13"":4,""OCIR15"":1,""OCIR18"":4}","{""trialStart"":136687,""OCIR2"":6645,""OCIR3"":9010,""OCIR4"":12362,""OCIR6"":14364.00000000003,""OCIR7"":15530,""OCIR9"":18050,""OCIR12"":20584.00000000003,""OCIR13"":24870.00000000003,""OCIR15"":27219,""OCIR18"":28936}","[0,1,2,3,4,5,6,7,8,9]",60fd274decb79fba37f2e72e,11:14:11,15/01/2024
survey,PHQ9,4SHkAgJhcYhzMNadXAGnF1H8oBI3,,html-button-response,9,142536,0.0-4.0-1.0-2.0-0.0,2255.0,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Over the <u>last two weeks</u>, how often have you been bothered by any of the following problems?</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0.0,,,,60fd274decb79fba37f2e72e,11:14:11,15/01/2024
